,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,156.5,0.8333333333333334,156.5,0.8333333333333334,,,,,,,,,,,,,,,,,,0,1,10.0,0.0,0,20180913165033,,1.2,0.625,
1,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,156.5,0.8333333333333334,156.5,0.8333333333333334,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,10.0,0.0,0,20180913165033,,1.2,0.625,
2,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,156.5,0.8333333333333334,156.5,0.8333333333333334,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,58.0,0,20180913170035.0,11077.0,1.2,0.625,
3,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,155.5,0.8333333333333334,155.5,0.8333333333333334,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,49.0,0,20180913170044.0,11077.0,1.2,0.625,
4,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,155.5,0.8,155.5,0.8695652173913043,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,9.0,41.0,0,20180913170052.0,11077.0,1.2,0.625,
5,,,,3.5,0.8695652173913043,-3.5,0.8,157.5,0.8333333333333334,157.5,0.8333333333333334,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,37.0,0,20180913170056.0,11074.0,1.4,0.5263157894736842,
6,,,,3.5,0.8695652173913043,-3.5,0.8,156.5,0.8695652173913043,156.5,0.8,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,35.0,0,20180913170059.0,21077.0,1.4,0.5263157894736842,
7,,,,3.5,0.8695652173913043,-3.5,0.8,156.5,0.8333333333333334,156.5,0.8333333333333334,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,26.0,0,20180913170107.0,21077.0,1.4,0.5263157894736842,
8,,,,3.5,0.8695652173913043,-3.5,0.8,155.5,0.8333333333333334,155.5,0.8333333333333334,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,18.0,0,20180913170115.0,21077.0,1.4,0.5263157894736842,
9,,,,3.5,0.8695652173913043,-3.5,0.8,154.5,0.8695652173913043,154.5,0.8,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,9.0,10.0,0,20180913170124.0,21077.0,1.4,0.5263157894736842,
