,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.5,0.8,-3.5,0.8695652173913043,136.5,0.8333333333333334,136.5,0.8333333333333334,,,,8.0,2.0,11.0,16.0,9.0,16.0,1,2.0,2.0,2.0,90.0,80.0,55,54,0,1,7.0,45.0,0,20180914172827,11077,1.85,0.38461538461538464
1,,,,3.5,0.8,-3.5,0.8695652173913043,136.5,0.8333333333333334,136.5,0.8333333333333334,,^,,8.0,2.0,11.0,16.0,9.0,16.0,1,2.0,2.0,3.0,90.0,80.0,55,54,0,1,7.0,45.0,0,20180914172837.0,21086^11077,1.85,0.38461538461538464
2,,,,3.5,0.8695652173913043,-3.5,0.8,137.5,0.8695652173913043,137.5,0.8,,1:2,,8.0,2.0,11.0,16.0,9.0,16.0,1,2.0,2.0,3.0,90.0,80.0,55,54,0,1,7.0,45.0,0,20180914172839.0,11078.0,2.15,0.3448275862068966
3,,,,3.5,0.7692307692307693,-3.5,0.9090909090909091,137.5,0.7692307692307693,137.5,0.9090909090909091,,1:2^2:2,,8.0,2.0,11.0,16.0,9.0,16.0,1,2.0,2.0,3.0,81.8,80.0,55,54,0,1,7.0,45.0,0,20180914172858.0,11080^11078,1.7,0.4166666666666667
4,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.8333333333333334,,2:2^,,8.0,2.0,11.0,16.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,54,0,1,7.0,45.0,0,20180914172912.0,11079^21077,1.85,0.38461538461538464
5,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.8333333333333334,,2:2^,,8.0,2.0,11.0,16.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,54,0,1,7.0,45.0,1.0,20180914172926.0,11079^21077,1.85,0.38461538461538464
6,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.8333333333333334,,2:2^,,8.0,2.0,11.0,16.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,54,0,1,7.0,44.0,1.0,20180914172927.0,11079^21077,1.85,0.38461538461538464
7,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.8333333333333334,,,,8.0,2.0,11.0,16.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,54,0,1,7.0,43.0,1.0,20180914172927.0,21077.0,1.85,0.38461538461538464
8,,,,3.5,0.8,-3.5,0.8695652173913043,136.5,0.9090909090909091,136.5,0.7692307692307693,,,,8.0,2.0,11.0,16.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,54,0,1,7.0,34.0,1.0,20180914172936.0,21077.0,1.85,0.38461538461538464
9,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,138.5,0.9090909090909091,138.5,0.7692307692307693,,^,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,7.0,29.0,1.0,20180914172941.0,21074^11077,1.5,0.5
10,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,7.0,26.0,1.0,20180914172945.0,11077.0,1.5,0.5
11,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,138.5,0.7692307692307693,138.5,0.9090909090909091,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,7.0,17.0,1.0,20180914172953.0,11077.0,1.5,0.5
12,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.8333333333333334,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,7.0,9.0,1.0,20180914173001.0,11077.0,1.5,0.5
13,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.8333333333333334,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,7.0,6.0,1.0,20180914173001.0,11077.0,1.5,0.5
14,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,137.5,0.7692307692307693,137.5,0.9090909090909091,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,7.0,1.0,0.0,20180914173009.0,11077.0,1.5,0.5
15,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,137.5,0.7692307692307693,137.5,0.9090909090909091,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,7.0,1.0,1.0,20180914173025.0,11077.0,1.5,0.5
16,,,,2.5,0.8333333333333334,-2.5,0.8333333333333334,137.5,0.7692307692307693,137.5,0.9090909090909091,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,7.0,1.0,1.0,20180914173026.0,11077.0,1.5,0.5
17,,,,1.5,0.8333333333333334,-1.5,0.8333333333333334,136.5,0.8333333333333334,136.5,0.8333333333333334,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,6.0,52.0,1.0,20180914173034.0,21077.0,1.25,0.5714285714285714
18,,,,1.5,0.8333333333333334,-1.5,0.8333333333333334,136.5,0.8333333333333334,136.5,0.8333333333333334,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,6.0,52.0,1.0,20180914173037.0,21077.0,1.25,0.5714285714285714
19,,,,1.5,0.8333333333333334,-1.5,0.8333333333333334,136.5,0.8333333333333334,136.5,0.8333333333333334,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,6.0,52.0,1.0,20180914173050.0,21077.0,1.25,0.5714285714285714
20,,,,2.5,0.8,-2.5,0.8695652173913043,136.5,0.8,136.5,0.8695652173913043,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,6.0,52.0,1.0,20180914173051.0,11077.0,1.5,0.5
21,,,,2.5,0.8,-2.5,0.8695652173913043,135.5,0.9090909090909091,135.5,0.7692307692307693,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,6.0,41.0,1.0,20180914173059.0,11077.0,1.5,0.5
22,,,,2.5,0.8,-2.5,0.8695652173913043,135.5,0.9090909090909091,135.5,0.7692307692307693,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,6.0,35.0,1.0,20180914173106.0,11077.0,1.5,0.5
23,,,,2.5,0.8,-2.5,0.8695652173913043,134.5,0.9090909090909091,134.5,0.7692307692307693,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,6.0,27.0,1.0,20180914173114.0,11077.0,1.5,0.5
24,,,,2.5,0.8,-2.5,0.8695652173913043,134.5,0.8695652173913043,134.5,0.8,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,6.0,25.0,1.0,20180914173116.0,11077.0,1.5,0.5
25,,,,2.5,0.8,-2.5,0.8695652173913043,134.5,0.8695652173913043,134.5,0.8,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,6.0,24.0,1.0,20180914173117.0,11077.0,1.5,0.5
26,,,,2.5,0.8,-2.5,0.8695652173913043,134.5,0.8695652173913043,134.5,0.8,,,,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,3.0,83.3,80.0,56,56,0,1,6.0,24.0,1.0,20180914173118.0,11077.0,1.5,0.5
27,,,,2.5,0.8,-2.5,0.8695652173913043,134.5,0.8333333333333334,134.5,0.8333333333333334,,^,1.0,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,4.0,83.3,80.0,56,56,0,1,6.0,24.0,1.0,20180914173127.0,21086^11077,1.5,0.5
28,,,,2.5,0.8,-2.5,0.8695652173913043,134.5,0.8333333333333334,134.5,0.8333333333333334,,^,1.0,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,4.0,83.3,80.0,56,56,0,1,6.0,24.0,1.0,20180914173128.0,21086^11077,1.5,0.5
29,,,,2.5,0.8,-2.5,0.8695652173913043,134.5,0.8333333333333334,134.5,0.8333333333333334,,^,1.0,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,4.0,83.3,80.0,56,56,0,1,6.0,22.0,1.0,20180914173128.0,21086^11077,1.5,0.5
30,,,,2.5,0.8,-2.5,0.8695652173913043,134.5,0.8333333333333334,134.5,0.8333333333333334,,,1.0,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,4.0,83.3,80.0,56,56,0,1,6.0,22.0,1.0,20180914173147.0,11077.0,1.5,0.5
31,,,,2.5,0.8,-2.5,0.8695652173913043,134.5,0.7692307692307693,134.5,0.9090909090909091,,,1.0,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,4.0,83.3,80.0,56,56,0,1,6.0,13.0,1.0,20180914173155.0,11077.0,1.4,0.5263157894736842
32,,,,2.5,0.7692307692307693,-2.5,0.9090909090909091,133.5,0.8333333333333334,133.5,0.8333333333333334,,,1.0,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,4.0,83.3,80.0,56,56,0,1,6.0,5.0,1.0,20180914173204.0,11077.0,1.4,0.5263157894736842
33,,,,2.5,0.7692307692307693,-2.5,0.9090909090909091,133.5,0.8333333333333334,133.5,0.8333333333333334,,,1.0,8.0,2.0,11.0,17.0,10.0,16.0,1,2.0,2.0,4.0,83.3,80.0,56,56,0,1,6.0,0.0,1.0,20180914173204.0,11077.0,1.4,0.5263157894736842
