,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,-7.5,0.0,7.5,0.0,,,,7,4,,13,14,,17,28,1,2,,2,6,,68.0,75.7,,64,71,0,1,1.0,5.0,0,20180914170017,21078
1,,-8.5,0.0,8.5,0.0,,1:2^2:2,,7,4,,13,14,29.0,17,28,1,2,,2,6,76.3,68.0,75.7,,64,72,0,1,1.0,5.0,0,20180914170042.0,21079^21078
2,,-8.5,0.0,8.5,0.0,2.0,2:2^,,7,4,,13,14,30.0,17,28,1,2,,2,6,76.9,68.0,75.7,,64,73,0,1,1.0,5.0,0,20180914170107.0,21079^11077
3,,-8.5,0.0,8.5,0.0,2.0,2:2^,,7,4,,13,14,30.0,17,28,1,2,,2,6,76.9,68.0,75.7,,64,73,0,1,1.0,5.0,1.0,20180914170121.0,21079^11077
4,,-8.5,0.0,8.5,0.0,2.0,2:2^,,7,4,,13,14,30.0,17,28,1,2,,2,6,76.9,68.0,75.7,,64,73,0,1,1.0,4.0,1.0,20180914170122.0,21079^11077
5,,-8.5,0.0,8.5,0.0,1.0,,,7,4,,13,14,30.0,17,28,1,2,,2,6,76.9,68.0,75.7,,64,73,0,1,0.0,55.0,1.0,20180914170131.0,11077.0
6,,-8.5,0.0,8.5,0.0,1.0,,,7,4,,13,14,30.0,17,28,1,2,,2,6,76.9,68.0,75.7,,64,73,0,1,0.0,47.0,1.0,20180914170139.0,11077.0
7,,-7.5,0.0,7.5,0.0,2.0,^,,7,4,14.0,13,14,30.0,17,28,1,2,,2,6,76.9,68.0,75.7,,66,73,0,1,0.0,55.0,1.0,20180914170140.0,11074^21077
8,,-7.5,0.0,7.5,0.0,2.0,,,7,4,14.0,13,14,30.0,17,28,1,2,,2,6,76.9,68.0,75.7,,66,73,0,1,0.0,54.0,1.0,20180914170140.0,21077.0
9,,-7.5,0.0,7.5,0.0,1.0,,,7,4,14.0,13,14,30.0,17,28,1,2,,2,6,76.9,68.0,75.7,,66,73,0,1,0.0,45.0,1.0,20180914170149.0,21077.0
10,,-7.5,0.0,7.5,0.0,1.0,,,7,4,14.0,13,14,30.0,17,28,1,2,,2,6,76.9,68.0,75.7,,66,73,0,1,0.0,45.0,1.0,20180914170150.0,21077.0
11,,-6.5,0.0,6.5,0.0,3.0,^,,7,4,14.0,13,14,30.0,17,28,1,2,7.0,2,6,76.9,68.0,75.7,,66,73,0,1,0.0,46.0,1.0,20180914170151.0,21086^11077
12,,-6.5,0.0,6.5,0.0,3.0,^,,7,4,14.0,13,14,30.0,17,28,1,2,7.0,2,6,76.9,68.0,75.7,,66,73,0,1,0.0,46.0,1.0,20180914170152.0,21086^11077
13,,-6.5,0.0,6.5,0.0,3.0,1:2,,7,4,14.0,13,14,30.0,17,28,1,2,7.0,2,6,76.9,68.0,75.7,,66,73,0,1,0.0,46.0,1.0,20180914170214.0,11078.0
