,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,1.5,0.0,-1.5,0.0,,,15,13,19,17,,12,21,1,-1,,8,6,,66.7,77.8,95,94,0,1,0,8.0,0,20180914165950,11081
1,,,,1.5,0.0,-1.5,0.0,,^,15,13,19,17,,12,21,1,-1,,8,6,,66.7,77.8,95,94,0,1,0,8.0,0,20180914170049.0,11077^11077
2,,,,1.5,0.0,-1.5,0.0,,^,15,13,19,17,,12,21,1,-1,,8,6,,66.7,77.8,95,94,0,1,0,8.0,1.0,20180914170049.0,11077^11077
3,,,,1.5,0.0,-1.5,0.0,1.0,^,15,13,19,17,,12,21,1,-1,,8,6,,66.7,77.8,95,94,0,1,0,3.0,0.0,20180914170118.0,11077^11077
4,,,,1.5,0.0,-1.5,0.0,1.0,^,15,13,19,17,,12,21,1,-1,,8,6,,66.7,77.8,95,94,0,1,0,3.0,0.0,20180914170124.0,11077^11077
5,,,,1.5,0.0,-1.5,0.0,1.0,^,15,13,19,17,,12,21,1,-1,7.0,8,6,,66.7,77.8,95,94,0,1,0,3.0,0.0,20180914170125.0,21086.0
6,,,,2.5,0.0,-2.5,0.0,2.0,1:2,15,13,19,17,,12,21,1,-1,7.0,8,6,,66.7,77.8,95,94,0,1,0,3.0,0.0,20180914170126.0,11078.0
7,,,,1.5,0.0,-1.5,0.0,2.0,1:2^2:2,15,13,19,17,,12,21,1,-1,7.0,8,6,63.2,66.7,77.8,95,94,0,1,0,3.0,0.0,20180914170145.0,11080^11078
8,,,,1.5,0.0,-1.5,0.0,2.0,,15,13,19,17,13.0,12,21,1,-1,7.0,8,6,65.0,66.7,77.8,95,94,0,1,0,3.0,0.0,20180914170145.0,21077.0
9,,,,1.5,0.0,-1.5,0.0,2.0,,15,13,19,17,13.0,12,21,1,-1,7.0,8,6,65.0,66.7,77.8,95,94,0,1,0,3.0,1.0,20180914170145.0,21077.0
10,,,,1.5,0.0,-1.5,0.0,2.0,,15,13,19,17,13.0,12,21,1,-1,7.0,8,6,65.0,66.7,77.8,95,94,0,1,0,0.0,0.0,20180914170208.0,21077.0
11,,,,1.5,0.0,-1.5,0.0,2.0,,15,13,19,17,13.0,12,21,1,-1,7.0,8,6,65.0,66.7,77.8,95,94,0,1,0,0.0,0.0,20180914170226.0,21077.0
12,,,,1.5,0.0,-1.5,0.0,2.0,,15,13,19,17,13.0,12,21,1,-1,7.0,8,6,65.0,66.7,77.8,95,94,0,1,0,0.0,0.0,20180914170226.0,1084.0
