,ED,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,6,5,27,19,10,0,0,3,3,5,55.6,0.0,81,53,0,1,0,28.0,1,20180914172822,21077
1,,6,5,27,19,10,0,0,3,3,5,55.6,0.0,81,53,0,1,0,20.0,1,20180914172831.0,21077
2,,6,5,27,19,10,0,0,3,3,5,55.6,0.0,81,53,0,1,0,18.0,1,20180914172831.0,21077
3,,6,5,27,19,10,0,0,3,3,5,55.6,0.0,81,53,0,1,0,15.0,0.0,20180914172836.0,21077
4,,6,5,27,19,10,0,0,3,3,5,55.6,0.0,81,53,0,1,0,15.0,1.0,20180914172846.0,21077
5,,6,5,27,19,10,0,0,3,3,5,55.6,0.0,81,53,0,1,0,17.0,1.0,20180914172846.0,21077
6,,6,5,27,19,10,0,0,3,3,5,55.6,0.0,81,53,0,1,0,8.0,1.0,20180914172855.0,21077
7,,6,5,27,19,10,0,0,3,3,5,55.6,0.0,81,53,0,1,0,0.0,0.0,20180914172903.0,21077
8,,6,5,27,19,10,0,0,3,3,5,55.6,0.0,81,53,0,1,0,0.0,0.0,20180914172926.0,21077
9,,6,5,27,19,10,0,0,3,3,5,55.6,0.0,81,53,0,1,0,0.0,0.0,20180914172926.0,1084.0
