,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,-3.5,0.9090909090909091,3.5,0.7692307692307693,,,,6,7,,24,23,11,12,,1,3,4,4,68.8,85.7,77,79,0,1,2.0,7.0,1,20180916153730,11080^21077
1,,,,-2.5,0.8,2.5,0.8695652173913043,,,,6,7,,24,23,11,12,,1,3,4,4,68.8,85.7,77,79,0,1,2.0,7.0,1,20180916153734.0,1077.0
2,,,,-3.5,0.9090909090909091,3.5,0.7692307692307693,4.0,,,6,7,,24,23,11,12,,1,3,4,4,68.8,85.7,77,79,0,1,1.0,58.0,1,20180916153742.0,21077.0
3,,,,-5.5,0.9090909090909091,5.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,,1,3,4,4,68.8,85.7,77,82,0,1,1.0,53.0,1,20180916153747.0,21075^11077
4,,,,-5.5,0.9090909090909091,5.5,0.7692307692307693,4.0,,8.0,6,7,,24,23,11,12,,1,3,4,4,68.8,85.7,77,82,0,1,1.0,52.0,0.0,20180916153747.0,11077.0
5,44.0,5.0,,-5.5,0.9090909090909091,5.5,0.7692307692307693,4.0,,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,52.0,0.0,20180916153748.0,11081.0
6,,,,-5.5,0.9090909090909091,5.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,52.0,0.0,20180916153805.0,11077^11077
7,,,,-5.5,0.9090909090909091,5.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,52.0,1.0,20180916153805.0,11077^11077
8,,,,-5.5,0.9090909090909091,5.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,49.0,1.0,20180916153815.0,11077^11077
9,,,,-5.5,0.9090909090909091,5.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,47.0,1.0,20180916153815.0,11077^11077
10,,,,-5.5,0.9090909090909091,5.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,38.0,1.0,20180916153824.0,11077^11077
11,,,,-4.5,0.9090909090909091,4.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,34.0,1.0,20180916153827.0,11077^11077
12,,,,-4.5,0.9090909090909091,4.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,29.0,0.0,20180916153833.0,11077^11077
13,,,,-4.5,0.9090909090909091,4.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,29.0,0.0,20180916153835.0,11077^11077
14,,,,-5.5,0.9090909090909091,5.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,29.0,0.0,20180916153856.0,21077.0
15,,,,-5.5,0.9090909090909091,5.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,29.0,1.0,20180916153856.0,21077.0
16,,,,-4.5,0.9090909090909091,4.5,0.7692307692307693,4.0,^,8.0,6,7,,24,23,11,12,0.0,1,3,4,4,68.8,85.7,77,82,0,1,1.0,28.0,1.0,20180916153858.0,11077.0
17,,,,-3.5,0.9090909090909091,3.5,0.7692307692307693,4.0,^,8.0,6,7,25.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,1.0,22.0,1.0,20180916153904.0,11074^21077
18,,,,-3.5,0.9090909090909091,3.5,0.7692307692307693,4.0,,8.0,6,7,25.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,1.0,21.0,0.0,20180916153904.0,21077.0
19,,,,-3.5,0.9090909090909091,3.5,0.7692307692307693,4.0,,8.0,6,7,25.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,1.0,21.0,0.0,20180916153905.0,21077.0
20,,,,-3.5,0.9090909090909091,3.5,0.7692307692307693,4.0,,8.0,6,7,25.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,1.0,21.0,0.0,20180916153907.0,21077.0
21,,,,-3.5,0.9090909090909091,3.5,0.7692307692307693,4.0,,8.0,6,7,25.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,1.0,21.0,1.0,20180916153907.0,21077.0
22,,,,-3.5,0.9090909090909091,3.5,0.7692307692307693,4.0,,8.0,6,7,25.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,1.0,18.0,1.0,20180916153909.0,21077.0
23,,,,-3.5,0.9090909090909091,3.5,0.7692307692307693,4.0,,8.0,6,7,25.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,1.0,10.0,1.0,20180916153918.0,21077.0
24,,,,-2.5,0.9090909090909091,2.5,0.7692307692307693,4.0,,8.0,6,7,25.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,1.0,4.0,1.0,20180916153924.0,11077.0
25,,,,-2.5,0.9090909090909091,2.5,0.7692307692307693,3.0,,8.0,6,7,25.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,55.0,1.0,20180916153933.0,11077.0
26,,,,-2.5,0.9090909090909091,2.5,0.7692307692307693,3.0,,8.0,6,7,25.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,47.0,1.0,20180916153941.0,11077.0
27,,,,-2.5,0.9090909090909091,2.5,0.7692307692307693,3.0,,8.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,47.0,1.0,20180916153941.0,21077.0
28,,,,-2.5,0.9090909090909091,2.5,0.7692307692307693,3.0,,8.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,44.0,0.0,20180916153945.0,21077.0
29,,,,-2.5,0.9090909090909091,2.5,0.7692307692307693,3.0,,8.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,44.0,0.0,20180916153946.0,21077.0
30,,,,-2.5,0.9090909090909091,2.5,0.7692307692307693,3.0,,8.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,44.0,1.0,20180916153946.0,21077.0
31,,,,-1.5,0.9090909090909091,1.5,0.7692307692307693,3.0,,8.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,35.0,1.0,20180916153956.0,21077.0
32,,,,-1.5,0.9090909090909091,1.5,0.7692307692307693,2.0,,8.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,27.0,1.0,20180916154003.0,21077.0
33,,,,-1.5,0.9090909090909091,1.5,0.7692307692307693,2.0,,8.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,25.0,1.0,20180916154004.0,21077.0
34,,,,-1.5,0.9090909090909091,1.5,0.7692307692307693,2.0,,8.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,22.0,1.0,20180916154007.0,11077.0
35,,,,-1.5,0.9090909090909091,1.5,0.7692307692307693,2.0,,8.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,13.0,1.0,20180916154015.0,11077.0
36,,,,-1.5,0.9090909090909091,1.5,0.7692307692307693,2.0,,8.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,79,82,0,1,0.0,5.0,1.0,20180916154024.0,11077.0
37,,,,1.5,0.9090909090909091,-1.5,0.7692307692307693,1.0,^,7.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,84,82,0,1,0.0,2.0,1.0,20180916154027.0,11075^21077
38,,,,1.5,0.9090909090909091,-1.5,0.7692307692307693,1.0,^,7.0,6,7,26.0,24,23,11,12,0.0,1,3,4,4,68.8,85.7,84,82,0,1,0.0,2.0,0.0,20180916154027.0,11075^21077
