,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,5.5,0.8333333333333334,-5.5,0.8333333333333334,170.5,0.8,170.5,0.8695652173913043,,,,,4.0,4.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,34,0,1,3.0,57.0,1,20180916153730,21074,2.15,0.3448275862068966
1,,,,,6.5,0.8,-6.5,0.8695652173913043,169.5,0.8333333333333334,169.5,0.8333333333333334,,,,,4.0,4.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,34,0,1,3.0,54.0,1,20180916153734.0,11077.0,2.3,0.3125
2,,,,,6.5,0.8,-6.5,0.8695652173913043,168.5,0.8695652173913043,168.5,0.8,,,,,4.0,4.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,34,0,1,3.0,45.0,1,20180916153742.0,11077.0,2.3,0.3125
3,,,,,5.5,0.8333333333333334,-5.5,0.8333333333333334,168.5,0.8333333333333334,168.5,0.8333333333333334,,,,,4.0,4.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,34,0,1,3.0,42.0,1,20180916153746.0,21077.0,2.15,0.3448275862068966
4,,,,,5.5,0.8333333333333334,-5.5,0.8333333333333334,167.5,0.8695652173913043,167.5,0.8,,,,,4.0,4.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,34,0,1,3.0,33.0,1,20180916153754.0,21077.0,2.15,0.3448275862068966
5,,,,,6.5,0.8,-6.5,0.8695652173913043,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,,4.0,4.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,34,0,1,3.0,31.0,1,20180916153756.0,11077.0,2.3,0.3125
6,,,,,6.5,0.8,-6.5,0.8695652173913043,166.5,0.8695652173913043,166.5,0.8,,,,,4.0,4.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,34,0,1,3.0,22.0,1,20180916153804.0,11077.0,2.3,0.3125
7,,,,,6.5,0.8,-6.5,0.8695652173913043,166.5,0.8695652173913043,166.5,0.8,,,,,4.0,4.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,34,0,1,3.0,14.0,1,20180916153812.0,11077.0,2.3,0.3125
8,,,,,5.5,0.8333333333333334,-5.5,0.8333333333333334,166.5,0.8,166.5,0.8695652173913043,,,,,4.0,4.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,34,0,1,3.0,13.0,1,20180916153814.0,21077.0,2.15,0.3448275862068966
9,,,,,5.5,0.8333333333333334,-5.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,,,,,4.0,4.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,34,0,1,3.0,4.0,1,20180916153822.0,21077.0,2.15,0.3448275862068966
10,,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,169.5,0.8333333333333334,169.5,0.8333333333333334,,,,,4.0,5.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,37,0,1,3.0,4.0,1,20180916153824.0,21075.0,1.4,0.5263157894736842
11,,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,168.5,0.8695652173913043,168.5,0.8,,,,,4.0,5.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,37,0,1,2.0,59.0,1,20180916153828.0,11077.0,1.5,0.5
12,,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,168.5,0.8,168.5,0.8695652173913043,,,,,4.0,5.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,37,0,1,2.0,50.0,1,20180916153836.0,11077.0,1.5,0.5
13,,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,,4.0,5.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,37,0,1,2.0,42.0,1,20180916153844.0,11077.0,1.5,0.5
14,,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,,4.0,5.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,37,0,1,2.0,43.0,0.0,20180916153845.0,11077.0,1.5,0.5
15,,,,,3.5,0.8,-3.5,0.8695652173913043,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,,4.0,5.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,37,0,1,2.0,43.0,0.0,20180916153849.0,11077.0,1.4,0.5263157894736842
16,,,,,3.5,0.8,-3.5,0.8695652173913043,167.5,0.8333333333333334,167.5,0.8333333333333334,,,,,4.0,5.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,37,0,1,2.0,43.0,1.0,20180916153901.0,11077.0,1.4,0.5263157894736842
17,,,,,3.5,0.8,-3.5,0.8695652173913043,166.5,0.8333333333333334,166.5,0.8333333333333334,,,,,4.0,5.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,37,0,1,2.0,34.0,1.0,20180916153909.0,21077.0,1.4,0.5263157894736842
18,,,,,3.5,0.8,-3.5,0.8695652173913043,166.5,0.8,166.5,0.8695652173913043,,,,,4.0,5.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,37,0,1,2.0,29.0,0.0,20180916153915.0,21077.0,1.4,0.5263157894736842
19,,,,,3.5,0.8,-3.5,0.8695652173913043,166.5,0.8,166.5,0.8695652173913043,,,,,4.0,5.0,10.0,9.0,5.0,4.0,4.0,4,3.0,5.0,62.5,50.0,37,37,0,1,2.0,29.0,0.0,20180916153916.0,11086.0,1.4,0.5263157894736842
