,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,-5.5,0.8695652173913043,5.5,0.8,193.5,0.8333333333333334,193.5,0.8333333333333334,,,,5.0,6.0,20.0,18.0,7.0,9.0,4.0,4.0,4.0,4.0,63.6,60.0,62,63.0,0,1,4.0,1.0,0,20180916134229,21086,0.3448275862068966,2.15
1,,,,-5.5,0.8695652173913043,5.5,0.8,193.5,0.8333333333333334,193.5,0.8333333333333334,,,,5.0,6.0,20.0,18.0,7.0,9.0,4.0,4.0,4.0,4.0,63.6,60.0,62,63.0,0,1,4.0,1.0,1.0,20180916134229,21086,0.3448275862068966,2.15
2,,,,-5.5,0.8695652173913043,5.5,0.8,193.5,0.8,193.5,0.8695652173913043,,,,5.0,6.0,20.0,18.0,7.0,9.0,4.0,4.0,4.0,4.0,63.6,60.0,62,63.0,0,1,3.0,58.0,1.0,20180916134243.0,21086,0.3448275862068966,2.15
3,,,,-5.5,0.8695652173913043,5.5,0.8,192.5,0.8695652173913043,192.5,0.8,,,,5.0,6.0,20.0,18.0,7.0,9.0,4.0,4.0,4.0,4.0,63.6,60.0,62,63.0,0,1,3.0,55.0,1.0,20180916134244.0,21086,0.3448275862068966,2.15
4,,,,-5.5,0.8695652173913043,5.5,0.8,192.5,0.8,192.5,0.8695652173913043,,,,5.0,6.0,20.0,18.0,7.0,9.0,4.0,4.0,4.0,4.0,63.6,60.0,62,63.0,0,1,3.0,46.0,1.0,20180916134252.0,21086,0.3448275862068966,2.15
5,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,194.5,0.8333333333333334,194.5,0.8333333333333334,,^,,5.0,6.0,21.0,18.0,7.0,9.0,4.0,4.0,4.0,4.0,63.6,60.0,64,63.0,0,1,3.0,46.0,1.0,20180916134253.0,11074^21077,0.45454545454545453,1.6
6,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,194.5,0.8333333333333334,194.5,0.8333333333333334,,,,5.0,6.0,21.0,18.0,7.0,9.0,4.0,4.0,4.0,4.0,63.6,60.0,64,63.0,0,1,3.0,46.0,1.0,20180916134254.0,21077.0,0.45454545454545453,1.6
7,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,193.5,0.8333333333333334,193.5,0.8333333333333334,,,,5.0,6.0,21.0,18.0,7.0,9.0,4.0,4.0,4.0,4.0,63.6,60.0,64,63.0,0,1,3.0,37.0,1.0,20180916134302.0,21077.0,0.45454545454545453,1.6
8,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,193.5,0.8,193.5,0.8695652173913043,,,,5.0,6.0,21.0,18.0,7.0,9.0,4.0,4.0,4.0,4.0,63.6,60.0,64,63.0,0,1,3.0,29.0,1.0,20180916134310.0,21077.0,0.45454545454545453,1.6
9,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,192.5,0.8333333333333334,192.5,0.8333333333333334,,,,5.0,6.0,21.0,18.0,7.0,9.0,4.0,4.0,4.0,4.0,63.6,60.0,64,63.0,0,1,3.0,21.0,1.0,20180916134318.0,21077.0,0.45454545454545453,1.6
