,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,-3.5,0.8695652173913043,3.5,0.8,127.5,0.8695652173913043,127.5,0.8,,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,2.0,8.0,1,20180916153738,11077,0.5263157894736842,1.4
1,,,,,-3.5,0.8695652173913043,3.5,0.8,127.5,0.8695652173913043,127.5,0.8,,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,2.0,6.0,0.0,20180916153740.0,11077,0.5263157894736842,1.4
2,,,,,-3.5,0.8695652173913043,3.5,0.8,127.5,0.8695652173913043,127.5,0.8,,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,2.0,6.0,1.0,20180916153751.0,11077,0.5263157894736842,1.4
3,,,,,-3.5,0.8695652173913043,3.5,0.8,127.5,0.8333333333333334,127.5,0.8333333333333334,,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,2.0,5.0,1.0,20180916153752.0,11077,0.5263157894736842,1.4
4,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,127.5,0.8333333333333334,127.5,0.8333333333333334,,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,2.0,0.0,1.0,20180916153757.0,21077.0,0.47619047619047616,1.55
5,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,126.5,0.8695652173913043,126.5,0.8,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,51.0,1.0,20180916153805.0,21077.0,0.47619047619047616,1.55
6,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,126.5,0.8333333333333334,126.5,0.8333333333333334,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,43.0,1.0,20180916153813.0,21077.0,0.47619047619047616,1.55
7,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,125.5,0.8333333333333334,125.5,0.8333333333333334,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,34.0,1.0,20180916153822.0,21077.0,0.47619047619047616,1.55
8,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,125.5,0.8,125.5,0.8695652173913043,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,26.0,1.0,20180916153830.0,21077.0,0.47619047619047616,1.55
9,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,125.5,0.8,125.5,0.8695652173913043,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,25.0,0.0,20180916153831.0,21077.0,0.47619047619047616,1.55
10,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,125.5,0.8,125.5,0.8695652173913043,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,25.0,0.0,20180916153832.0,21077.0,0.47619047619047616,1.55
11,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,125.5,0.8,125.5,0.8695652173913043,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,25.0,1.0,20180916153846.0,21077.0,0.47619047619047616,1.55
12,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,125.5,0.8,125.5,0.8695652173913043,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,24.0,1.0,20180916153847.0,21077.0,0.47619047619047616,1.55
13,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,125.5,0.8,125.5,0.8695652173913043,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,25.0,1.0,20180916153847.0,21077.0,0.47619047619047616,1.55
14,,,,,-3.5,0.8695652173913043,3.5,0.8,124.5,0.8695652173913043,124.5,0.8,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,23.0,1.0,20180916153849.0,11077.0,0.5,1.5
15,,,,,-3.5,0.8333333333333334,3.5,0.8333333333333334,124.5,0.8333333333333334,124.5,0.8333333333333334,32.0,,,,4.0,4.0,5.0,8.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,28,0,1,1.0,19.0,1.0,20180916153853.0,21077.0,0.47619047619047616,1.55
16,,,,,-4.5,0.8,4.5,0.8695652173913043,126.5,0.8333333333333334,126.5,0.8333333333333334,32.0,,^,,4.0,4.0,5.0,9.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,30,0,1,1.0,15.0,1.0,20180916153857.0,21074^11077,0.37037037037037035,1.95
17,,,,,-4.5,0.8,4.5,0.8695652173913043,126.5,0.8333333333333334,126.5,0.8333333333333334,32.0,,,,4.0,4.0,5.0,9.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,30,0,1,1.0,14.0,1.0,20180916153858.0,11077.0,0.37037037037037035,1.95
18,,,,,-4.5,0.8,4.5,0.8695652173913043,126.5,0.8,126.5,0.8695652173913043,32.0,,,,4.0,4.0,5.0,9.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,30,0,1,1.0,5.0,1.0,20180916153907.0,11077.0,0.37037037037037035,1.95
19,,,,,-4.5,0.8,4.5,0.8695652173913043,125.5,0.8333333333333334,125.5,0.8333333333333334,31.0,,,,4.0,4.0,5.0,9.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,30,0,1,0.0,56.0,1.0,20180916153915.0,11077.0,0.37037037037037035,1.95
20,,,,,-5.5,0.8333333333333334,5.5,0.8333333333333334,125.5,0.8333333333333334,125.5,0.8333333333333334,31.0,,,,4.0,4.0,5.0,9.0,3.0,2.0,2.0,5.0,6.0,3.0,42.9,50.0,25.0,30,0,1,0.0,56.0,1.0,20180916153916.0,21077.0,0.3333333333333333,2.25
