,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,-1.5,0.8333333333333334,1.5,0.8333333333333334,135.5,0.8695652173913043,135.5,0.8,,,,6.0,4.0,14.0,15.0,6.0,10,3,3.0,1,0.0,100.0,62.5,52,52,0,1,9.0,6.0,1,20180916153740,11077,0.5714285714285714,1.25
1,,,,-1.5,0.8333333333333334,1.5,0.8333333333333334,135.5,0.8,135.5,0.8695652173913043,,,,6.0,4.0,14.0,15.0,6.0,10,3,3.0,1,0.0,100.0,62.5,52,52,0,1,8.0,58.0,1,20180916153748.0,11077,0.5714285714285714,1.25
2,,,,1.5,0.8333333333333334,-1.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.8333333333333334,,,,6.0,4.0,15.0,15.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,52,0,1,8.0,57.0,1,20180916153750.0,11074.0,1.25,0.5714285714285714
3,,,,1.5,0.7692307692307693,-1.5,0.9090909090909091,137.5,0.7692307692307693,137.5,0.9090909090909091,,,,6.0,4.0,15.0,15.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,52,0,1,8.0,52.0,1,20180916153754.0,21077.0,1.2,0.625
4,,,,1.5,0.8333333333333334,-1.5,0.8333333333333334,136.5,0.8333333333333334,136.5,0.8333333333333334,,,,6.0,4.0,15.0,15.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,52,0,1,8.0,43.0,1,20180916153802.0,21077.0,1.1,0.6666666666666666
5,,,,1.5,0.8333333333333334,-1.5,0.8333333333333334,136.5,0.7692307692307693,136.5,0.9090909090909091,,,,6.0,4.0,15.0,15.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,52,0,1,8.0,35.0,1,20180916153810.0,21077.0,1.1,0.6666666666666666
6,,,,1.5,0.8333333333333334,-1.5,0.8333333333333334,135.5,0.8695652173913043,135.5,0.8,,,,6.0,4.0,15.0,15.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,52,0,1,8.0,33.0,1,20180916153813.0,11077.0,1.25,0.5714285714285714
7,,,,1.5,0.8333333333333334,-1.5,0.8333333333333334,135.5,0.8,135.5,0.8695652173913043,,,,6.0,4.0,15.0,15.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,52,0,1,8.0,24.0,1,20180916153821.0,11077.0,1.25,0.5714285714285714
8,,,,1.5,0.8333333333333334,-1.5,0.8333333333333334,135.5,0.8,135.5,0.8695652173913043,,,,6.0,4.0,15.0,15.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,52,0,1,8.0,24.0,1,20180916153823.0,21077.0,1.1,0.6666666666666666
9,,,,1.5,0.8333333333333334,-1.5,0.8333333333333334,134.5,0.8695652173913043,134.5,0.8,,,,6.0,4.0,15.0,15.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,52,0,1,8.0,15.0,1,20180916153831.0,21077.0,1.1,0.6666666666666666
10,,,,-1.5,0.8,1.5,0.8695652173913043,136.5,0.8333333333333334,136.5,0.8333333333333334,,,,6.0,4.0,15.0,16.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,54,0,1,8.0,9.0,1,20180916153837.0,21074.0,0.5714285714285714,1.25
11,,,,-1.5,0.9090909090909091,1.5,0.7692307692307693,136.5,0.8333333333333334,136.5,0.8333333333333334,,,,6.0,4.0,15.0,16.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,54,0,1,8.0,7.0,1,20180916153840.0,11077.0,0.5714285714285714,1.25
12,,,,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.9090909090909091,135.5,0.7692307692307693,,,,6.0,4.0,15.0,16.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,54,0,1,7.0,58.0,1,20180916153848.0,11077.0,0.625,1.2
13,,,,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,6.0,4.0,15.0,16.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,54,0,1,7.0,50.0,1,20180916153856.0,11077.0,0.625,1.2
14,,,,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,6.0,4.0,15.0,16.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,54,0,1,7.0,50.0,0.0,20180916153857.0,11077.0,0.625,1.2
15,,,,-1.5,0.8,1.5,0.8695652173913043,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,6.0,4.0,15.0,16.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,54,0,1,7.0,50.0,0.0,20180916153859.0,11077.0,0.5714285714285714,1.25
16,,,,-1.5,0.8,1.5,0.8695652173913043,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,6.0,4.0,15.0,16.0,6.0,10,3,3.0,1,0.0,100.0,62.5,54,54,0,1,7.0,50.0,0.0,20180916153918.0,21077.0,0.5714285714285714,1.25
