,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,4.5,0.8333333333333334,-4.5,0.8333333333333334,162.5,0.8695652173913043,162.5,0.8,,,,7.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,69,68,0,1,6.0,17.0,0,20180916102809,11079,2.65,0.26666666666666666
1,,,,4.5,0.8333333333333334,-4.5,0.8333333333333334,162.5,0.8695652173913043,162.5,0.8,,,,7.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,69,68,0,1,6.0,17.0,1.0,20180916102819.0,11079,2.65,0.26666666666666666
2,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,162.5,0.8695652173913043,162.5,0.8,,,,7.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,69,68,0,1,6.0,16.0,1.0,20180916102819.0,21077.0,2.05,0.35714285714285715
3,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,161.5,0.9090909090909091,161.5,0.7692307692307693,,,,7.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,69,68,0,1,6.0,5.0,1.0,20180916102821.0,21077.0,2.0,0.36363636363636365
4,,,,3.5,0.8333333333333334,-3.5,0.8333333333333334,161.5,0.7692307692307693,161.5,0.9090909090909091,,,,7.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,69,68,0,1,5.0,55.0,1.0,20180916102821.0,21077.0,2.0,0.36363636363636365
5,,,,3.5,0.8,-3.5,0.8695652173913043,160.5,0.8333333333333334,160.5,0.8333333333333334,,,,7.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,69,68,0,1,5.0,44.0,1.0,20180916102823.0,21077.0,1.95,0.37037037037037035
6,,,,4.5,0.8,-4.5,0.8695652173913043,160.5,0.8,160.5,0.8695652173913043,,,,7.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,69,68,0,1,5.0,43.0,1.0,20180916102823.0,11077.0,2.65,0.26666666666666666
7,,,,6.5,0.9090909090909091,-6.5,0.7692307692307693,163.5,0.8,163.5,0.8695652173913043,,,,8.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,72,68,0,1,5.0,41.0,1.0,20180916102825.0,11075.0,5.0,0.1111111111111111
8,,,,6.5,0.8695652173913043,-6.5,0.8,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,8.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,72,68,0,1,5.0,32.0,1.0,20180916102834.0,11075.0,5.0,0.1111111111111111
9,,,,5.5,0.9090909090909091,-5.5,0.7692307692307693,162.5,0.8,162.5,0.8695652173913043,,,,8.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,72,68,0,1,5.0,27.0,1.0,20180916102839.0,21077.0,3.75,0.15384615384615385
10,,,,5.5,0.8695652173913043,-5.5,0.8,161.5,0.8695652173913043,161.5,0.8,,,,8.0,7,19.0,17.0,9,13,3,5.0,1.0,5,45.0,59.1,72,68,0,1,5.0,18.0,1.0,20180916102847.0,21077.0,3.75,0.15384615384615385
