,ED,HASA,HASA_ODD,HASH,HASH_ODD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4th Quarter,5.5,1.0,-5.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,18,12,0,1,1.0,25.0,0,20180915171641,21077
1,4th Quarter,5.5,1.0,-5.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,20,12,0,1,1.0,25.0,0,20180915171641,21077
2,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,20,12,0,1,1.0,20.0,0,20180915171641,21077
3,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,20,12,0,1,1.0,15.0,0,20180915171641,21077
4,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,20,12,0,1,1.0,5.0,0,20180915171641,21077
5,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,20,12,0,1,1.0,0.0,0,20180915171641,21077
6,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,20,12,0,1,0.0,55.0,0,20180915171641,21077
7,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,20,12,0,1,0.0,55.0,1.0,20180915171836.0,21077
8,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,20,12,0,1,0.0,50.0,1.0,20180915171836.0,21077
9,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,20,12,0,1,0.0,44.0,1.0,20180915171837.0,21077
10,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,20,13,0,1,0.0,44.0,1.0,20180915171837.0,21077
11,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,21,13,0,1,0.0,44.0,1.0,20180915171837.0,21077
12,4th Quarter,7.5,1.0,-7.5,0.7142857142857143,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,21,13,0,1,0.0,4.0,0.0,20180915171837.0,21077
13,4th Quarter,7.5,3.0,-7.5,0.2222222222222222,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,21,13,0,1,0.0,4.0,1.0,20180915171952.0,21077
14,4th Quarter,7.5,3.0,-7.5,0.2222222222222222,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,21,13,0,1,0.0,0.0,0.0,20180915171952.0,21077
15,4th Quarter,7.5,3.0,-7.5,0.2222222222222222,,0,0,4,4,0,0,5,5,0,0,0.0,0.0,21,13,0,1,0.0,0.0,0.0,20180915171952.0,1084.0
16,4th Quarter,7.5,3.0,-7.5,0.2222222222222222,4.0,0,0,4,4,0,0,5,5,0,0,0.0,0.0,21,13,0,1,0.0,0.0,0.0,20180915171952.0,1084.0
17,4th Quarter,7.5,3.0,-7.5,0.2222222222222222,4.0,0,0,4,4,0,0,5,5,0,0,0.0,0.0,21,13,0,1,0.0,0.0,0.0,20180915171952.0,1084.0
18,4th Quarter,0.0,3.0,-7.5,0.2222222222222222,4.0,0,0,4,4,0,0,5,5,0,0,0.0,0.0,21,13,0,1,0.0,0.0,0.0,20180915171952.0,1084.0
19,4th Quarter,0.0,3.0,0.0,0.2222222222222222,4.0,0,0,4,4,0,0,5,5,0,0,0.0,0.0,21,13,0,1,0.0,0.0,0.0,20180915171952.0,1084.0
