,ED,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4,8,18,9,,18,14,5,1,5,5,,78.3,66.7,83,68,0,1,0,56.0,0,20180915171804,11079^11078
1,,2:2,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,56.0,0,20180915171816.0,11079.0
2,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,56.0,1.0,20180915171817.0,21077.0
3,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,47.0,1.0,20180915171825.0,21077.0
4,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,39.0,1.0,20180915171833.0,21077.0
5,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,37.0,1.0,20180915171835.0,11077.0
6,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,28.0,1.0,20180915171844.0,11077.0
7,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,20.0,1.0,20180915171852.0,11077.0
8,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,12.0,1.0,20180915171900.0,11077.0
9,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,10.0,0.0,20180915171902.0,11077.0
10,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,10.0,0.0,20180915171903.0,11077.0
11,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,8.0,0.0,20180915171911.0,11077.0
12,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,8.0,1.0,20180915171914.0,11077.0
13,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,0.0,0.0,20180915171922.0,11077.0
14,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,0.0,0.0,20180915171922.0,1084.0
15,,,4,8,18,9,19.0,18,14,5,1,5,5,79.2,78.3,66.7,84,68,0,1,0,0.0,0.0,20180915171927.0,1084.0
