,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,159.5,0.9090909090909091,159.5,0.7692307692307693,,,,6.0,14.0,21.0,14.0,6.0,7,3.0,2.0,2.0,0.0,60.0,58.3,66.0,77.0,0,1,4.0,20.0,0,20180917070241,11081,0.016666666666666666,10.5
1,,,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,,,,6.0,14.0,21.0,14.0,6.0,7,3.0,2.0,2.0,0.0,60.0,58.3,66.0,77.0,0,1,4.0,16.0,1.0,20180917070426.0,11077.0,0.01,14.0
2,,,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,158.5,1.0,158.5,0.7142857142857143,,,,6.0,14.0,21.0,14.0,6.0,7,3.0,2.0,2.0,0.0,60.0,58.3,66.0,77.0,0,1,4.0,7.0,1.0,20180917070435.0,21077.0,0.01,14.0
3,,,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,158.5,0.8,158.5,0.8695652173913043,,,,6.0,14.0,21.0,14.0,6.0,7,3.0,2.0,2.0,0.0,60.0,58.3,66.0,77.0,0,1,3.0,58.0,1.0,20180917070444.0,21077.0,0.006666666666666667,15.0
4,,,4.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,160.5,0.7692307692307693,160.5,0.9090909090909091,6.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,2.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,55.0,1.0,20180917070447.0,11077.0,0.006666666666666667,15.0
5,,,4.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,159.5,0.9090909090909091,159.5,0.7692307692307693,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,2.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,49.0,0.0,20180917070502.0,11086.0,0.006666666666666667,15.0
6,,,4.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,159.5,0.9090909090909091,159.5,0.7692307692307693,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,2.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,49.0,0.0,20180917070503.0,11086.0,0.006666666666666667,15.0
7,,,4.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,159.5,0.9090909090909091,159.5,0.7692307692307693,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,49.0,0.0,20180917070509.0,11086.0,0.006666666666666667,15.0
8,,,4.0,-13.5,0.8333333333333334,13.5,0.8333333333333334,159.5,0.9090909090909091,159.5,0.7692307692307693,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,49.0,1.0,20180917070511.0,21077.0,0.006666666666666667,15.0
9,,,4.0,-13.5,0.8333333333333334,13.5,0.8333333333333334,159.5,0.7692307692307693,159.5,0.9090909090909091,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,40.0,1.0,20180917070519.0,21077.0,0.006666666666666667,15.0
10,,,4.0,-13.5,0.8333333333333334,13.5,0.8333333333333334,158.5,0.8333333333333334,158.5,0.8333333333333334,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,32.0,0.0,20180917070528.0,21077.0,0.006666666666666667,15.0
11,,,4.0,-13.5,0.8333333333333334,13.5,0.8333333333333334,158.5,0.8333333333333334,158.5,0.8333333333333334,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,32.0,1.0,20180917070546.0,21077.0,0.006666666666666667,15.0
12,,,4.0,-13.5,0.8333333333333334,13.5,0.8333333333333334,158.5,0.7142857142857143,158.5,1.0,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,25.0,0.0,20180917070552.0,21077.0,0.006666666666666667,15.0
13,,,4.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,158.5,0.7692307692307693,158.5,0.9090909090909091,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,25.0,0.0,20180917070601.0,21077.0,0.006666666666666667,15.0
14,,,4.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,158.5,0.7692307692307693,158.5,0.9090909090909091,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,25.0,1.0,20180917070608.0,21077.0,0.006666666666666667,15.0
15,,,4.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,5.0,,,6.0,14.0,21.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,66.0,79.0,0,1,3.0,16.0,1.0,20180917070616.0,11077.0,0.006666666666666667,15.0
16,,,4.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,7.0,,,6.0,14.0,22.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,68.0,79.0,0,1,3.0,12.0,1.0,20180917070621.0,11074.0,0.006666666666666667,15.0
17,,,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,159.5,0.8,159.5,0.8695652173913043,7.0,,,6.0,14.0,22.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,68.0,79.0,0,1,3.0,11.0,1.0,20180917070622.0,21077.0,0.004,17.0
18,,,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,3.0,,,6.0,14.0,22.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,68.0,79.0,0,1,2.0,54.0,1.0,20180917070638.0,21077.0,0.004,17.0
19,,,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,3.0,,,6.0,14.0,22.0,15.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,68.0,79.0,0,1,2.0,46.0,1.0,20180917070646.0,21077.0,0.004,17.0
20,,,4.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,3.0,,,6.0,14.0,22.0,16.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,68.0,81.0,0,1,2.0,43.0,1.0,20180917070650.0,11077.0,0.004,17.0
21,,,4.0,-13.5,0.8333333333333334,13.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,3.0,,,6.0,14.0,22.0,16.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,68.0,81.0,0,1,2.0,25.0,1.0,20180917070707.0,21077.0,0.004,17.0
22,,,4.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,3.0,,,6.0,14.0,22.0,16.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,68.0,81.0,0,1,2.0,24.0,1.0,20180917070709.0,11077.0,0.004,17.0
23,,,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,3.0,,,6.0,14.0,23.0,16.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,70.0,81.0,0,1,2.0,17.0,1.0,20180917070715.0,21077.0,0.004,17.0
24,,,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,3.0,,,6.0,14.0,23.0,16.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,70.0,81.0,0,1,2.0,17.0,0.0,20180917070716.0,21077.0,0.004,17.0
25,44.0,5.0,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,3.0,,,6.0,14.0,23.0,16.0,6.0,7,3.0,2.0,3.0,0.0,60.0,58.3,70.0,81.0,0,1,2.0,17.0,0.0,20180917070718.0,21081.0,0.004,17.0
26,,,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,3.0,,,6.0,14.0,23.0,16.0,6.0,7,3.0,1.0,3.0,0.0,60.0,58.3,70.0,81.0,0,1,2.0,19.0,1.0,20180917070856.0,21077.0,0.004,17.0
27,,,4.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,3.0,,,6.0,14.0,23.0,16.0,6.0,7,3.0,1.0,3.0,0.0,60.0,58.3,70.0,81.0,0,1,2.0,10.0,1.0,20180917070904.0,21077.0,0.004,17.0
28,,,4.0,-10.5,0.0,10.5,0.0,158.5,0.9090909090909091,158.5,0.7692307692307693,2.0,,,6.0,14.0,23.0,16.0,6.0,7,3.0,1.0,3.0,0.0,60.0,58.3,70.0,81.0,0,1,1.0,45.0,0.0,20180917070929.0,11077.0,0.004,17.0
29,,,4.0,-8.5,0.0,8.5,0.0,158.5,0.9090909090909091,158.5,0.7692307692307693,4.0,,,6.0,14.0,24.0,16.0,6.0,7,3.0,1.0,3.0,0.0,60.0,58.3,72.0,81.0,0,1,1.0,45.0,0.0,20180917070935.0,11074.0,0.004,17.0
30,,,4.0,-8.5,0.0,8.5,0.0,158.5,0.9090909090909091,158.5,0.7692307692307693,4.0,,,6.0,14.0,24.0,16.0,6.0,7,3.0,1.0,3.0,0.0,60.0,58.3,72.0,81.0,0,1,1.0,45.0,0.0,20180917070935.0,21086.0,0.004,17.0
