,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,12.5,0.8,-12.5,0.8695652173913043,153.5,0.8695652173913043,153.5,0.8,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,5,5.0,2.0,1.0,0.0,50.0,5.0,1.0,0,1,8.0,14.0,1,20180916153724,11077,4.0,0.14285714285714285
1,,,,,13.5,0.8333333333333334,-13.5,0.8333333333333334,156.5,0.8333333333333334,156.5,0.8333333333333334,,,^,,,1.0,0.0,2.0,0.0,0.0,1.0,5,5.0,2.0,1.0,0.0,50.0,7.0,1.0,0,1,8.0,8.0,1,20180916153730.0,11074^21077,4.5,0.125
2,,,,,13.5,0.8333333333333334,-13.5,0.8333333333333334,156.5,0.8,156.5,0.8695652173913043,,,^,,,1.0,0.0,2.0,0.0,0.0,1.0,5,5.0,2.0,1.0,0.0,50.0,7.0,1.0,0,1,8.0,6.0,0.0,20180916153731.0,11074^21077,4.5,0.125
3,44.0,5.0,,,13.5,0.8333333333333334,-13.5,0.8333333333333334,156.5,0.8,156.5,0.8695652173913043,,,,,,1.0,0.0,2.0,0.0,0.0,1.0,5,4.0,2.0,1.0,0.0,50.0,7.0,1.0,0,1,8.0,7.0,0.0,20180916153734.0,21081.0,4.5,0.125
4,44.0,5.0,,,16.5,0.8333333333333334,-16.5,0.8333333333333334,155.5,0.8695652173913043,155.5,0.8,,,,,,1.0,0.0,2.0,0.0,0.0,1.0,5,4.0,2.0,1.0,0.0,50.0,7.0,1.0,0,1,8.0,6.0,0.0,20180916153906.0,21081.0,7.0,0.0625
5,44.0,5.0,,,16.5,0.8333333333333334,-16.5,0.8333333333333334,155.5,0.8333333333333334,155.5,0.8333333333333334,,,,,,1.0,0.0,2.0,0.0,0.0,1.0,5,4.0,2.0,1.0,0.0,50.0,7.0,1.0,0,1,7.0,57.0,0.0,20180916153914.0,21081.0,7.0,0.0625
6,44.0,5.0,,,16.5,0.8333333333333334,-16.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,,,,,,1.0,0.0,2.0,0.0,0.0,1.0,5,4.0,2.0,1.0,0.0,50.0,7.0,1.0,0,1,7.0,49.0,0.0,20180916153922.0,21081.0,7.0,0.0625
7,44.0,5.0,,,16.5,0.8333333333333334,-16.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,,,,,,1.0,0.0,2.0,0.0,0.0,1.0,5,4.0,2.0,1.0,0.0,50.0,7.0,1.0,0,1,7.0,49.0,0.0,20180916153922.0,21081.0,7.0,0.0625
8,44.0,5.0,,,18.5,0.8,-18.5,0.8695652173913043,156.5,0.8333333333333334,156.5,0.8333333333333334,,,^,,,1.0,0.0,3.0,0.0,0.0,1.0,5,4.0,2.0,1.0,0.0,50.0,9.0,1.0,0,1,7.0,43.0,0.0,20180916153929.0,11074^21077,7.5,0.05
9,44.0,5.0,,,18.5,0.8,-18.5,0.8695652173913043,156.5,0.8333333333333334,156.5,0.8333333333333334,,,,,,1.0,0.0,3.0,0.0,0.0,1.0,5,4.0,2.0,1.0,0.0,50.0,9.0,1.0,0,1,7.0,43.0,0.0,20180916153930.0,21077.0,7.5,0.05
