,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,-5.5,0.8695652173913043,5.5,0.8,166.5,0.8333333333333334,166.5,0.8333333333333334,,,,,3.0,4.0,5.0,7.0,8.0,11.0,3.0,4.0,2.0,2.0,80.0,78.6,27.0,37.0,0,1,5.0,20.0,0,20180916153719,21077^11081,0.4,1.75
1,,,,,-5.5,0.8695652173913043,5.5,0.8,166.5,0.8333333333333334,166.5,0.8333333333333334,,,,,3.0,4.0,5.0,7.0,8.0,11.0,3.0,4.0,2.0,2.0,80.0,78.6,27.0,37.0,0,1,5.0,20.0,1.0,20180916153845.0,21077.0,0.4,1.75
2,,,,,-4.5,0.8333333333333334,4.5,0.8333333333333334,165.5,0.8695652173913043,165.5,0.8,,,,,3.0,4.0,5.0,7.0,8.0,11.0,3.0,4.0,2.0,2.0,80.0,78.6,27.0,37.0,0,1,5.0,11.0,1.0,20180916153853.0,11077.0,0.43478260869565216,1.65
3,,,,,-5.5,0.8695652173913043,5.5,0.8,165.5,0.8333333333333334,165.5,0.8333333333333334,,,,,3.0,4.0,5.0,7.0,8.0,11.0,3.0,4.0,2.0,2.0,80.0,78.6,27.0,37.0,0,1,5.0,9.0,1.0,20180916153857.0,21077.0,0.4,1.75
4,,,,,-5.5,0.8695652173913043,5.5,0.8,165.5,0.8,165.5,0.8695652173913043,,,,,3.0,4.0,5.0,7.0,8.0,11.0,3.0,4.0,2.0,2.0,80.0,78.6,27.0,37.0,0,1,5.0,0.0,1.0,20180916153905.0,21077.0,0.4,1.75
5,,,,,-7.5,0.8,7.5,0.8695652173913043,168.5,0.8,168.5,0.8695652173913043,12.0,,,,3.0,5.0,5.0,7.0,8.0,11.0,3.0,4.0,2.0,2.0,80.0,78.6,27.0,40.0,0,1,4.0,52.0,1.0,20180916153913.0,21075.0,0.25,2.75
6,,,,,-7.5,0.8,7.5,0.8695652173913043,168.5,0.8,168.5,0.8695652173913043,12.0,,,,3.0,5.0,5.0,7.0,8.0,11.0,3.0,4.0,2.0,2.0,80.0,78.6,27.0,40.0,0,1,4.0,51.0,1.0,20180916153913.0,21075.0,0.25,2.75
7,,,,,-7.5,0.8333333333333334,7.5,0.8333333333333334,167.5,0.8695652173913043,167.5,0.8,13.0,,,,3.0,5.0,5.0,7.0,8.0,11.0,3.0,4.0,2.0,2.0,80.0,78.6,27.0,40.0,0,1,4.0,50.0,1.0,20180916153915.0,11077.0,0.26666666666666666,2.65
8,,,,,-7.5,0.8333333333333334,7.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,13.0,,,,3.0,5.0,5.0,7.0,8.0,11.0,3.0,4.0,2.0,2.0,80.0,78.6,27.0,40.0,0,1,4.0,45.0,0.0,20180916153920.0,11077.0,0.26666666666666666,2.65
9,,,,,-7.5,0.8333333333333334,7.5,0.8333333333333334,167.5,0.8333333333333334,167.5,0.8333333333333334,13.0,,,,3.0,5.0,5.0,7.0,8.0,11.0,3.0,4.0,2.0,3.0,80.0,78.6,27.0,40.0,0,1,4.0,45.0,0.0,20180916153928.0,21086.0,0.26666666666666666,2.65
10,,,,,-7.5,0.8333333333333334,7.5,0.8333333333333334,169.5,0.8333333333333334,169.5,0.8333333333333334,13.0,,1:2^2:2,,3.0,5.0,5.0,7.0,9.0,11.0,3.0,4.0,2.0,3.0,81.8,78.6,28.0,40.0,0,1,4.0,45.0,0.0,20180916153950.0,11079^11078,0.3125,2.3
11,,,,,-5.5,0.8333333333333334,5.5,0.8333333333333334,170.5,0.8333333333333334,170.5,0.8333333333333334,13.0,,2:2,,3.0,5.0,5.0,7.0,10.0,11.0,3.0,4.0,2.0,3.0,83.3,78.6,29.0,40.0,0,1,4.0,45.0,0.0,20180916154000.0,11079.0,0.36363636363636365,2.0
12,,,,,-6.5,0.8695652173913043,6.5,0.8,170.5,0.8333333333333334,170.5,0.8333333333333334,13.0,,,,3.0,5.0,5.0,7.0,10.0,11.0,3.0,4.0,2.0,3.0,83.3,78.6,29.0,40.0,0,1,4.0,45.0,1.0,20180916154004.0,21077.0,0.3333333333333333,2.25
13,,,,,-6.5,0.8695652173913043,6.5,0.8,169.5,0.8333333333333334,169.5,0.8333333333333334,13.0,,,,3.0,5.0,5.0,7.0,10.0,11.0,3.0,4.0,2.0,3.0,83.3,78.6,29.0,40.0,0,1,4.0,36.0,1.0,20180916154012.0,21077.0,0.3333333333333333,2.25
14,,,,,-6.5,0.8695652173913043,6.5,0.8,168.5,0.8333333333333334,168.5,0.8333333333333334,13.0,,,,3.0,5.0,5.0,7.0,10.0,11.0,3.0,4.0,2.0,3.0,83.3,78.6,29.0,40.0,0,1,4.0,28.0,1.0,20180916154021.0,21077.0,0.3333333333333333,2.25
15,,,,,-6.5,0.8695652173913043,6.5,0.8,168.5,0.8333333333333334,168.5,0.8333333333333334,13.0,,,,3.0,5.0,5.0,7.0,10.0,11.0,3.0,4.0,2.0,3.0,83.3,78.6,29.0,40.0,0,1,4.0,26.0,0.0,20180916154023.0,21077.0,0.3333333333333333,2.25
