,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,4.0,-25.5,0.7692307692307693,25.5,0.9090909090909091,104.5,0.9090909090909091,104.5,0.7692307692307693,,,,,,4.0,2.0,6.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,30.0,53.0,0,1,7.0,42.0,1,20180917080232,21077
1,,,,4.0,-25.5,0.7692307692307693,25.5,0.9090909090909091,104.5,0.8333333333333334,104.5,0.8333333333333334,,,,,,4.0,2.0,6.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,30.0,53.0,0,1,7.0,33.0,1,20180917080240.0,21077
2,,,,4.0,-24.5,0.8,24.5,0.8695652173913043,104.5,0.7692307692307693,104.5,0.9090909090909091,,,,,,4.0,2.0,6.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,30.0,53.0,0,1,7.0,27.0,1,20180917080246.0,11077.0
3,,,,4.0,-24.5,0.8,24.5,0.8695652173913043,103.5,0.8695652173913043,103.5,0.8,,,,,,4.0,2.0,6.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,30.0,53.0,0,1,7.0,18.0,1,20180917080255.0,11077.0
4,,,,4.0,-24.5,0.8,24.5,0.8695652173913043,103.5,0.8333333333333334,103.5,0.8333333333333334,,,,,,4.0,2.0,6.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,30.0,53.0,0,1,7.0,13.0,0.0,20180917080301.0,11077.0
5,,,,4.0,-24.5,0.8,24.5,0.8695652173913043,103.5,0.8333333333333334,103.5,0.8333333333333334,,,,,,4.0,2.0,6.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,30.0,53.0,0,1,7.0,12.0,1.0,20180917080319.0,11077.0
6,,,,4.0,-24.5,0.8,24.5,0.8695652173913043,102.5,0.8695652173913043,102.5,0.8,,,,,,4.0,2.0,6.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,30.0,53.0,0,1,6.0,58.0,1.0,20180917080337.0,11077.0
7,,,,4.0,-23.5,0.8,23.5,0.8695652173913043,104.5,0.8333333333333334,104.5,0.8333333333333334,,,,,,4.0,2.0,7.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,32.0,53.0,0,1,6.0,54.0,1.0,20180917080341.0,21077.0
8,,,,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,104.5,0.7692307692307693,104.5,0.9090909090909091,,,,,,4.0,2.0,7.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,32.0,53.0,0,1,6.0,45.0,1.0,20180917080349.0,21077.0
9,,,,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,103.5,0.9090909090909091,103.5,0.7692307692307693,,,,,,4.0,2.0,7.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,32.0,53.0,0,1,6.0,40.0,1.0,20180917080355.0,11077.0
10,,,,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,103.5,0.8333333333333334,103.5,0.8333333333333334,,,,,,4.0,2.0,7.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,32.0,53.0,0,1,6.0,35.0,1.0,20180917080359.0,21077.0
11,,,,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,103.5,0.7692307692307693,103.5,0.9090909090909091,,,,,,4.0,2.0,7.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,32.0,53.0,0,1,6.0,27.0,0.0,20180917080407.0,21077.0
12,,,,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,103.5,0.7692307692307693,103.5,0.9090909090909091,,,,,,4.0,2.0,7.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,32.0,53.0,0,1,6.0,27.0,1.0,20180917080418.0,21077.0
13,,,,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,103.5,0.7142857142857143,103.5,1.0,,,,,,4.0,2.0,7.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,32.0,53.0,0,1,6.0,22.0,0.0,20180917080422.0,11077.0
14,,,,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,103.5,0.7142857142857143,103.5,1.0,,,,,,4.0,2.0,7.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,32.0,53.0,0,1,6.0,22.0,1.0,20180917080430.0,11077.0
15,,,,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,103.5,0.7142857142857143,103.5,1.0,,,,,,4.0,2.0,7.0,18.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,32.0,53.0,0,1,6.0,23.0,1.0,20180917080431.0,21077.0
16,,,,4.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,104.5,0.8333333333333334,104.5,0.8333333333333334,,,^,,,4.0,2.0,7.0,19.0,6.0,11,3.0,3.0,1.0,0.0,40.0,57.9,32.0,55.0,0,1,6.0,11.0,0.0,20180917080444.0,21074^11077
