,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,-39.5,0.8333333333333334,39.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,,0.0,1.0,1.0,2.0,0.0,2.0,5.0,5,4.0,2.0,0.0,66.7,2,9,0,1,7.0,11.0,0,20180916153717,21079^21078
1,,,,,-38.5,0.8333333333333334,38.5,0.8333333333333334,142.5,0.8333333333333334,142.5,0.8333333333333334,,15.0,2:2,,,0.0,1.0,1.0,2.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,9,0,1,7.0,11.0,1.0,20180916153730.0,21080.0
2,,,,,-38.5,0.8333333333333334,38.5,0.8333333333333334,142.5,0.8333333333333334,142.5,0.8333333333333334,,18.0,2:2,,,0.0,1.0,1.0,2.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,9,0,1,7.0,11.0,1.0,20180916153732.0,21080.0
3,,,,,-38.5,0.8333333333333334,38.5,0.8333333333333334,142.5,0.8,142.5,0.8695652173913043,,18.0,,,,0.0,1.0,1.0,2.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,9,0,1,7.0,2.0,1.0,20180916153740.0,11077.0
4,,,,,-38.5,0.8333333333333334,38.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,18.0,,,,0.0,1.0,1.0,2.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,9,0,1,6.0,59.0,1.0,20180916153741.0,11077.0
5,,,,,-38.5,0.8333333333333334,38.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,18.0,,,,0.0,1.0,1.0,2.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,9,0,1,6.0,50.0,1.0,20180916153749.0,11077.0
6,,,,,-38.5,0.8333333333333334,38.5,0.8333333333333334,140.5,0.8333333333333334,140.5,0.8333333333333334,,16.0,,,,0.0,1.0,1.0,2.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,9,0,1,6.0,43.0,1.0,20180916153756.0,21077.0
7,,,,,-38.5,0.8333333333333334,38.5,0.8333333333333334,139.5,0.8695652173913043,139.5,0.8,,16.0,,,,0.0,1.0,1.0,2.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,9,0,1,6.0,34.0,1.0,20180916153805.0,21077.0
8,,,,,-39.5,0.8,39.5,0.8695652173913043,142.5,0.8333333333333334,142.5,0.8333333333333334,,13.0,,,,0.0,1.0,1.0,3.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,11,0,1,6.0,34.0,1.0,20180916153806.0,21074.0
9,,,,,-39.5,0.8333333333333334,39.5,0.8333333333333334,142.5,0.8,142.5,0.8695652173913043,,14.0,,,,0.0,1.0,1.0,3.0,0.0,2.0,5.0,5,4.0,2.0,0.0,50.0,2,11,0,1,6.0,29.0,1.0,20180916153811.0,11077.0
