,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,25.5,0.8333333333333334,-25.5,0.8333333333333334,,,,,9,8,,18,7,,7,8,5,3,,2,2,,63.6,61.5,,70,45,0,1,3.0,35.0,0,20180917101308,11077
1,4.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,,,,,9,8,,18,7,,7,8,5,3,,2,2,,63.6,61.5,,70,45,0,1,3.0,27.0,1.0,20180917101334.0,21077.0
2,4.0,22.5,0.8333333333333334,-22.5,0.8333333333333334,,,,9.0,9,8,,18,7,,7,8,5,3,,2,2,,63.6,61.5,48.0,70,48,0,1,3.0,12.0,1.0,20180917101344.0,11077.0
3,4.0,22.5,0.8333333333333334,-22.5,0.8333333333333334,,,,9.0,9,8,,18,7,,7,8,5,3,,2,2,,63.6,61.5,48.0,70,48,0,1,3.0,8.0,0.0,20180917101348.0,11077.0
4,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,,1:1,,9.0,9,8,,18,7,,7,8,5,3,3.0,2,2,,63.6,61.5,72.0,72,47,0,1,3.0,8.0,0.0,20180917101408.0,11078.0
5,4.0,25.5,0.8333333333333334,-25.5,0.8333333333333334,,1:1^,,9.0,9,8,,18,7,8.0,7,8,5,3,3.0,2,2,66.7,63.6,61.5,73.0,73,47,0,1,3.0,7.0,1.0,20180917101412.0,11079^21077
6,4.0,25.5,0.8333333333333334,-25.5,0.8333333333333334,,,,9.0,9,8,,18,7,8.0,7,8,5,3,3.0,2,2,66.7,63.6,61.5,73.0,73,47,0,1,3.0,7.0,1.0,20180917101413.0,21077.0
7,4.0,25.5,0.0,-25.5,0.0,3.0,,,9.0,9,8,,18,7,8.0,7,8,5,3,3.0,2,2,66.7,63.6,61.5,73.0,73,47,0,1,2.0,58.0,1.0,20180917101421.0,21077.0
8,4.0,25.5,0.0,-25.5,0.0,3.0,,,9.0,9,8,,18,7,8.0,7,8,5,3,3.0,2,2,66.7,63.6,61.5,73.0,73,47,0,1,2.0,56.0,1.0,20180917101423.0,21077.0
9,4.0,26.5,0.0,-26.5,0.0,3.0,,,9.0,9,8,,18,7,8.0,7,8,5,3,3.0,2,2,66.7,63.6,61.5,73.0,73,47,0,1,2.0,46.0,1.0,20180917101433.0,11077.0
10,4.0,26.5,0.0,-26.5,0.0,3.0,,,9.0,9,8,,18,7,8.0,7,8,5,3,3.0,2,2,66.7,63.6,61.5,73.0,73,47,0,1,2.0,27.0,1.0,20180917101453.0,11077.0
11,4.0,26.5,0.0,-26.5,0.0,3.0,,,9.0,9,8,,18,7,8.0,7,8,5,3,3.0,2,2,66.7,63.6,61.5,73.0,73,47,0,1,2.0,23.0,0.0,20180917101456.0,11077.0
12,4.0,26.5,0.0,-26.5,0.0,3.0,1:2^2:2,1.0,9.0,9,8,,18,7,8.0,7,8,5,3,4.0,2,2,61.5,63.6,61.5,73.0,73,47,0,1,2.0,23.0,0.0,20180917101532.0,11080^11078
13,4.0,26.5,0.0,-26.5,0.0,3.0,2:2^,1.0,9.0,9,8,,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,74.0,74,47,0,1,2.0,22.0,1.0,20180917101546.0,11079^21077
14,4.0,26.5,0.0,-26.5,0.0,3.0,,1.0,9.0,9,8,,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,74.0,74,47,0,1,2.0,22.0,1.0,20180917101547.0,21077.0
15,4.0,26.5,0.0,-26.5,0.0,3.0,,1.0,9.0,9,8,,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,74.0,74,47,0,1,2.0,13.0,1.0,20180917101555.0,21077.0
16,4.0,25.5,0.0,-25.5,0.0,3.0,,1.0,9.0,9,8,8.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,49.0,74,49,0,1,2.0,12.0,1.0,20180917101557.0,11077.0
17,4.0,24.5,0.0,-24.5,0.0,2.0,,1.0,9.0,9,8,8.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,49.0,74,49,0,1,1.0,52.0,1.0,20180917101617.0,21077.0
18,4.0,24.5,0.0,-24.5,0.0,2.0,,1.0,9.0,9,8,8.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,49.0,74,49,0,1,1.0,50.0,1.0,20180917101618.0,21077.0
19,4.0,24.5,0.0,-24.5,0.0,2.0,,1.0,9.0,9,8,8.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,49.0,74,49,0,1,1.0,49.0,1.0,20180917101619.0,21077.0
20,4.0,24.5,0.0,-24.5,0.0,2.0,,1.0,9.0,9,8,8.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,49.0,74,49,0,1,1.0,41.0,1.0,20180917101627.0,21077.0
21,4.0,25.5,0.0,-25.5,0.0,2.0,,1.0,9.0,9,8,8.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,49.0,74,49,0,1,1.0,37.0,1.0,20180917101631.0,11077.0
22,4.0,25.5,0.0,-25.5,0.0,2.0,,1.0,9.0,9,8,8.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,49.0,74,49,0,1,1.0,21.0,1.0,20180917101648.0,11077.0
23,4.0,25.5,0.0,-25.5,0.0,2.0,,1.0,9.0,9,8,8.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,49.0,74,49,0,1,1.0,20.0,1.0,20180917101648.0,11077.0
24,4.0,24.5,0.0,-24.5,0.0,2.0,,1.0,9.0,9,8,8.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,49.0,74,49,0,1,1.0,18.0,1.0,20180917101651.0,21077.0
25,4.0,23.5,0.0,-23.5,0.0,2.0,,1.0,9.0,9,8,9.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,51.0,74,51,0,1,1.0,10.0,1.0,20180917101658.0,11077.0
26,4.0,23.5,0.0,-23.5,0.0,2.0,,1.0,9.0,9,8,9.0,18,7,9.0,7,8,5,3,4.0,2,2,64.3,63.6,61.5,51.0,74,51,0,1,1.0,1.0,1.0,20180917101707.0,11077.0
