,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,2.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,2.0,2.0,6.0,2.0,1.0,0.0,5,5.0,0.0,0.0,100.0,0.0,19.0,10.0,0,1,10.0,0.0,0,20180917164729,21077,5.5,0.1
1,,,,2.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,^,,2.0,2.0,6.0,2.0,1.0,0.0,5,5.0,0.0,0.0,100.0,0.0,19.0,10.0,0,1,10.0,0.0,1.0,20180917164943.0,01088^21077,5.5,0.1
2,,,,2.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,2.0,2.0,6.0,2.0,1.0,0.0,5,5.0,0.0,0.0,100.0,0.0,19.0,10.0,0,1,10.0,0.0,1.0,20180917164944.0,21077.0,5.5,0.1
3,,,,2.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,142.5,0.8333333333333334,142.5,0.8333333333333334,,,,,2.0,2.0,6.0,2.0,1.0,0.0,5,5.0,0.0,0.0,100.0,0.0,19.0,10.0,0,1,9.0,51.0,1.0,20180917164952.0,21077.0,5.5,0.1
4,,,,2.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,141.5,0.8695652173913043,141.5,0.8,,,,,2.0,2.0,6.0,2.0,1.0,0.0,5,5.0,0.0,0.0,100.0,0.0,19.0,10.0,0,1,9.0,45.0,1.0,20180917164958.0,11077.0,5.5,0.1
5,,,,2.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,,,,2.0,2.0,6.0,2.0,1.0,0.0,5,5.0,0.0,0.0,100.0,0.0,19.0,10.0,0,1,9.0,18.0,0.0,20180917165039.0,11077.0,5.75,0.09090909090909091
6,,,,2.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,,,,2.0,2.0,6.0,2.0,1.0,0.0,5,5.0,0.0,1.0,100.0,0.0,19.0,10.0,0,1,9.0,18.0,1.0,20180917165054.0,11077.0,5.75,0.09090909090909091
7,,,,2.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,,,,2.0,2.0,7.0,2.0,1.0,0.0,5,5.0,0.0,1.0,100.0,0.0,21.0,10.0,0,1,9.0,12.0,1.0,20180917165101.0,21077.0,6.5,0.07142857142857142
8,,,,2.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,140.5,0.8695652173913043,140.5,0.8,,,,,2.0,2.0,7.0,2.0,1.0,0.0,5,5.0,0.0,1.0,100.0,0.0,21.0,10.0,0,1,9.0,3.0,1.0,20180917165110.0,21077.0,6.5,0.07142857142857142
9,,,,2.0,15.5,0.8,-15.5,0.8695652173913043,140.5,0.8333333333333334,140.5,0.8333333333333334,,,,,2.0,2.0,7.0,2.0,1.0,0.0,5,5.0,0.0,1.0,100.0,0.0,21.0,10.0,0,1,8.0,55.0,1.0,20180917165118.0,21077.0,6.5,0.07142857142857142
10,,,,2.0,15.5,0.8,-15.5,0.8695652173913043,139.5,0.8333333333333334,139.5,0.8333333333333334,,,,,2.0,2.0,7.0,2.0,1.0,0.0,5,5.0,0.0,1.0,100.0,0.0,21.0,10.0,0,1,8.0,47.0,1.0,20180917165126.0,21077.0,6.5,0.07142857142857142
