,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,34.5,0.8333333333333334,-34.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,13.0,6.0,20.0,15.0,12.0,10.0,5.0,3.0,5.0,1.0,70.6,52.6,91.0,58.0,0,1,6.0,13.0,1,20180918152824,11077
1,,,4.0,35.5,0.8333333333333334,-35.5,0.8333333333333334,176.5,0.9090909090909091,176.5,0.7692307692307693,,,,13.0,6.0,21.0,15.0,12.0,10.0,5.0,3.0,5.0,1.0,70.6,52.6,93.0,58.0,0,1,6.0,6.0,1,20180918152832.0,21077.0
2,,,4.0,35.5,0.8,-35.5,0.8695652173913043,176.5,0.7142857142857143,176.5,1.0,,,,13.0,6.0,21.0,15.0,12.0,10.0,5.0,3.0,5.0,1.0,70.6,52.6,93.0,58.0,0,1,5.0,54.0,0.0,20180918152844.0,21077.0
3,,,4.0,34.5,0.9090909090909091,-34.5,0.7692307692307693,177.5,0.8,177.5,0.8695652173913043,,1:2,,13.0,6.0,21.0,15.0,12.0,10.0,5.0,3.0,6.0,1.0,70.6,52.6,93.0,58.0,0,1,5.0,54.0,0.0,20180918152851.0,21078.0
4,,,4.0,34.5,0.8,-34.5,0.8695652173913043,178.5,0.7692307692307693,178.5,0.9090909090909091,,,,13.0,6.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,1.0,70.6,57.1,93.0,60.0,0,1,5.0,54.0,1.0,20180918152934.0,11077.0
5,,,4.0,33.5,0.8,-33.5,0.8695652173913043,175.5,0.9090909090909091,175.5,0.7692307692307693,,,,13.0,6.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,1.0,70.6,57.1,93.0,60.0,0,1,5.0,22.0,1.0,20180918153014.0,11077.0
6,,,4.0,31.5,0.8,-31.5,0.8695652173913043,178.5,0.8,178.5,0.8695652173913043,,,,13.0,7.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,1.0,70.6,57.1,93.0,63.0,0,1,5.0,13.0,1.0,20180918153024.0,11077.0
7,,,4.0,30.5,0.8,-30.5,0.8695652173913043,177.5,0.9090909090909091,177.5,0.7692307692307693,,,,13.0,7.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,1.0,70.6,57.1,93.0,63.0,0,1,5.0,7.0,1.0,20180918153030.0,21077.0
8,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,,13.0,8.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,1.0,70.6,57.1,93.0,66.0,0,1,4.0,48.0,1.0,20180918153048.0,11077.0
9,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,,13.0,8.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,1.0,70.6,57.1,93.0,66.0,0,1,4.0,46.0,0.0,20180918153051.0,11077.0
10,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,,13.0,8.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,2.0,70.6,57.1,93.0,66.0,0,1,4.0,46.0,0.0,20180918153100.0,21086.0
11,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,,13.0,8.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,2.0,70.6,57.1,93.0,66.0,0,1,4.0,45.0,0.0,20180918153131.0,21086.0
12,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,,13.0,8.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,2.0,70.6,57.1,93.0,66.0,0,1,4.0,45.0,0.0,20180918153137.0,21086.0
13,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,,13.0,8.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,2.0,70.6,57.1,93.0,66.0,0,1,4.0,45.0,0.0,20180918153139.0,21086.0
14,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,,13.0,8.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,3.0,70.6,57.1,93.0,66.0,0,1,4.0,43.0,0.0,20180918153154.0,21086.0
15,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,,13.0,8.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,3.0,70.6,57.1,93.0,66.0,0,1,4.0,43.0,1.0,20180918153158.0,21086.0
16,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,,13.0,8.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,3.0,70.6,57.1,93.0,66.0,0,1,4.0,30.0,0.0,20180918153213.0,21086.0
17,,,4.0,28.5,0.8333333333333334,-28.5,0.8333333333333334,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,1:2,1.0,13.0,8.0,21.0,15.0,12.0,12.0,5.0,3.0,6.0,4.0,70.6,57.1,93.0,66.0,0,1,4.0,30.0,0.0,20180918153221.0,11078.0
18,,,4.0,29.5,0.7692307692307693,-29.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,1.0,13.0,8.0,21.0,15.0,14.0,12.0,5.0,3.0,6.0,4.0,73.7,57.1,95.0,66.0,0,1,4.0,30.0,1.0,20180918153249.0,21077.0
19,,,4.0,30.5,0.7692307692307693,-30.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,1.0,13.0,8.0,21.0,15.0,14.0,12.0,5.0,3.0,6.0,4.0,73.7,57.1,95.0,66.0,0,1,4.0,12.0,1.0,20180918153307.0,11077.0
20,,,4.0,30.5,0.7692307692307693,-30.5,0.9090909090909091,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,1.0,13.0,8.0,21.0,15.0,14.0,12.0,5.0,3.0,6.0,4.0,73.7,57.1,95.0,66.0,0,1,3.0,56.0,1.0,20180918153323.0,11077.0
21,,,4.0,29.5,0.7142857142857143,-29.5,1.0,177.5,0.9090909090909091,177.5,0.7692307692307693,4.0,,1.0,13.0,8.0,21.0,15.0,14.0,12.0,5.0,3.0,6.0,4.0,73.7,57.1,95.0,66.0,0,1,3.0,43.0,1.0,20180918153336.0,21077.0
