,ED,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,11,7,13,22,,12,9,2,3,,9,7,,60.0,60.0,,71,79,0,1,0,12.0,0,20180919050327,11077
1,,,11,7,13,22,,12,9,2,3,10.0,9,7,,60.0,60.0,,71,79,0,1,0,12.0,0,20180919050434.0,11086.0
2,,,11,7,13,22,,12,9,2,3,10.0,9,7,,60.0,60.0,,71,79,0,1,0,12.0,0,20180919050441.0,11086.0
3,,,11,7,13,22,,12,9,2,3,10.0,9,7,,60.0,60.0,,71,79,0,1,0,12.0,0,20180919050604.0,21077.0
4,,,11,7,13,22,,12,9,2,3,11.0,9,7,,60.0,60.0,,71,79,0,1,0,12.0,0,20180919050608.0,11086.0
5,,,11,7,13,22,,12,9,2,3,11.0,9,7,,60.0,60.0,,71,79,0,1,0,12.0,0,20180919050621.0,21077.0
6,,,11,7,13,22,11.0,12,9,2,3,12.0,9,7,64.7,60.0,60.0,81.0,71,81,0,1,0,12.0,0,20180919050633.0,11077.0
7,,,11,7,13,22,11.0,12,9,2,3,8.0,9,7,64.7,60.0,60.0,81.0,71,81,0,1,0,12.0,0,20180919050636.0,21086.0
8,,2:2^,11,7,13,22,13.0,12,9,2,3,8.0,9,7,59.1,60.0,60.0,72.0,72,81,0,1,0,12.0,1.0,20180919050714.0,11080^11077
9,,,11,7,13,22,13.0,12,9,2,3,8.0,9,7,59.1,60.0,60.0,72.0,72,81,0,1,0,12.0,0.0,20180919050716.0,21077.0
10,,,11,7,13,22,13.0,12,9,2,3,13.0,9,7,59.1,60.0,60.0,72.0,72,81,0,1,0,12.0,0.0,20180919050719.0,21077.0
11,,1:1,11,7,13,22,13.0,12,9,2,3,13.0,9,7,59.1,60.0,60.0,72.0,72,81,0,1,0,12.0,0.0,20180919050727.0,21078.0
12,,1:1^,11,7,13,22,13.0,12,9,2,3,13.0,9,7,61.1,60.0,60.0,72.0,72,81,0,1,0,12.0,1.0,20180919050746.0,21080^21077
13,,,11,7,13,22,13.0,12,9,2,3,14.0,9,7,61.1,60.0,60.0,72.0,72,81,0,1,0,10.0,0.0,20180919050755.0,11086.0
14,,1:2,11,7,13,22,13.0,12,9,2,3,14.0,9,7,61.1,60.0,60.0,72.0,72,81,0,1,0,10.0,0.0,20180919050800.0,21078.0
15,,1:2^2:2,11,7,13,22,13.0,12,9,2,3,14.0,9,7,57.9,60.0,60.0,72.0,72,81,0,1,0,10.0,0.0,20180919050807.0,21080^21078
16,,2:2^,11,7,13,22,12.0,12,9,2,3,14.0,9,7,60.0,60.0,60.0,82.0,72,82,0,1,0,0.0,0.0,20180919050835.0,11077.0
17,,2:2^,11,7,13,22,12.0,12,9,2,3,14.0,9,7,60.0,60.0,60.0,82.0,72,82,0,1,0,0.0,0.0,20180919050839.0,11077.0
18,,2:2^,11,7,13,22,12.0,12,9,2,3,14.0,9,7,60.0,60.0,60.0,82.0,72,82,0,1,0,0.0,0.0,20180919050839.0,1084.0
19,,2:2^,11,7,13,22,12.0,12,9,2,3,14.0,9,7,60.0,60.0,60.0,82.0,72,82,0,1,0,0.0,0.0,20180919050839.0,1084.0
20,,2:2^,11,7,13,22,12.0,12,9,2,3,14.0,9,7,60.0,60.0,60.0,82.0,72,82,0,1,0,0.0,0.0,20180919050839.0,1084.0
21,,2:2^,11,7,13,22,12.0,12,9,2,3,14.0,9,7,60.0,60.0,60.0,82.0,72,82,0,1,0,0.0,0.0,20180919050839.0,1084.0
