,AM,AS,CU,DC,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,UC,VC
0,,,,,,,0,0,,3,4,0,0,6,6,0,0,0.0,0.0,,16,15,0,1,5.0,2.0,1,20180919071315,,11077
1,,,,,,,0,0,,3,4,0,0,6,6,0,0,0.0,0.0,,16,15,0,1,4.0,6.0,0.0,20180919071315,,11077
2,,,,,,,0,0,,3,4,0,0,6,6,0,0,0.0,0.0,,16,15,0,1,4.0,6.0,1.0,20180919071417.0,,11077
3,,,,,,,0,0,,3,4,0,0,6,6,0,0,0.0,0.0,17.0,17,15,0,1,4.0,6.0,1.0,20180919071417.0,,21077.0
4,,,,,,,0,0,,3,4,0,0,6,6,0,0,0.0,0.0,17.0,17,15,0,1,3.0,45.0,0.0,20180919071417.0,,21077.0
5,44.0,5.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,,,,0,0,,3,4,0,0,6,6,0,0,0.0,0.0,17.0,17,15,0,1,3.0,45.0,1.0,20180919071532.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,21077.0
6,44.0,5.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,,,,0,0,,3,4,0,0,6,6,0,0,0.0,0.0,17.0,17,15,0,1,3.0,45.0,1.0,20180919071532.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,11077.0
7,44.0,5.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,,,,0,0,4.0,3,4,0,0,6,6,0,0,0.0,0.0,19.0,19,15,0,1,3.0,45.0,1.0,20180919071532.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,11074.0
8,44.0,5.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,0.0,,,0,0,4.0,3,4,0,0,6,6,0,0,0.0,0.0,19.0,19,15,0,1,3.0,23.0,0.0,19000101000000.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,21077.0
9,44.0,5.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,0.0,,,0,0,4.0,3,4,0,0,6,6,0,0,0.0,0.0,20.0,20,16,0,1,0.0,3.0,0.0,19000101000000.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,21077.0
10,44.0,5.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,0.0,,4.0,0,0,4.0,3,4,0,0,6,6,0,0,0.0,0.0,21.0,21,16,0,1,0.0,0.0,0.0,19000101000000.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,1084.0
11,44.0,5.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,0.0,,4.0,0,0,4.0,3,4,0,0,6,6,0,0,0.0,0.0,21.0,21,16,0,1,0.0,0.0,0.0,19000101000000.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,1084.0
12,44.0,5.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,0.0,,4.0,0,0,4.0,3,4,0,0,6,6,0,0,0.0,0.0,21.0,21,16,0,1,0.0,0.0,0.0,19000101000000.0,At end of 3rd Quarter Lokomotiv-pro 3x3 0-0 Rostov-pro 3x3,1084.0
13,44.0,5.0,At end of 4th Quarter Lokomotiv-pro 3x3 21-16 Rostov-pro 3x3,0.0,,4.0,0,0,4.0,3,4,0,0,6,6,0,0,0.0,0.0,21.0,21,16,0,1,0.0,0.0,0.0,19000101000000.0,At end of 4th Quarter Lokomotiv-pro 3x3 21-16 Rostov-pro 3x3,1084.0
14,44.0,5.0,At end of 4th Quarter Lokomotiv-pro 3x3 21-16 Rostov-pro 3x3,0.0,,4.0,0,0,4.0,3,4,0,0,6,6,0,0,0.0,0.0,21.0,21,16,0,1,0.0,0.0,0.0,19000101000000.0,At end of 4th Quarter Lokomotiv-pro 3x3 21-16 Rostov-pro 3x3,1084.0
15,44.0,5.0,At end of 4th Quarter Lokomotiv-pro 3x3 21-16 Rostov-pro 3x3,0.0,,4.0,0,0,4.0,3,4,0,0,6,6,0,0,0.0,0.0,21.0,21,16,0,1,0.0,0.0,0.0,19000101000000.0,At end of 4th Quarter Lokomotiv-pro 3x3 21-16 Rostov-pro 3x3,1084.0
