,AM,AS,ED,LM,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,6,3,15,20,,13,12,0,0,,4,6,,52.0,54.5,,61,62,0,1,0,6.0,0,20180919050215,21081
1,,,,,,6,3,15,20,,13,12,0,0,,4,6,,52.0,54.5,,61,62,0,1,0,6.0,1.0,20180919050406.0,21077.0
2,,,,,,6,3,15,20,,13,12,0,0,,4,6,,52.0,54.5,,61,62,0,1,0,4.0,0.0,20180919050407.0,21077.0
3,,,,,,6,3,15,20,,13,12,0,0,,4,6,,52.0,54.5,,61,62,0,1,0,3.0,0.0,20180919050410.0,21077.0
4,,,,,^,6,3,15,20,,13,12,0,0,5.0,4,6,,52.0,54.5,,61,62,0,1,0,5.0,0.0,20180919050413.0,11086^21077
5,,,,2.0,1:2,6,3,15,20,,13,12,0,0,5.0,4,6,,52.0,54.5,,61,62,0,1,0,5.0,0.0,20180919050414.0,21078.0
6,,,,1.0,,6,3,15,20,14.0,13,12,0,0,5.0,4,6,58.3,52.0,54.5,64.0,61,64,0,1,0,5.0,1.0,20180919050454.0,11077.0
7,,,,1.0,,6,3,15,20,14.0,13,12,0,0,5.0,4,6,58.3,52.0,54.5,64.0,61,64,0,1,0,5.0,1.0,20180919050455.0,11077.0
8,,,,1.0,,6,3,15,20,14.0,13,12,0,0,5.0,4,6,58.3,52.0,54.5,64.0,61,64,0,1,0,0.0,1.0,20180919050500.0,11094.0
9,,,,1.0,,6,3,15,20,14.0,13,12,0,0,5.0,4,6,58.3,52.0,54.5,64.0,61,64,0,1,0,0.0,0.0,20180919050502.0,11094.0
10,,,,1.0,,6,3,15,20,14.0,13,12,0,0,5.0,4,6,58.3,52.0,54.5,64.0,61,64,0,1,0,0.0,0.0,20180919050513.0,1084.0
11,,,,1.0,,6,3,15,20,14.0,13,12,0,0,5.0,4,6,58.3,52.0,54.5,64.0,61,64,0,1,0,0.0,0.0,20180919050513.0,1084.0
12,,,,1.0,,6,3,15,20,14.0,13,12,0,0,5.0,4,6,58.3,52.0,54.5,64.0,61,64,0,1,0,0.0,0.0,20180919050513.0,1084.0
