,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,6.5,0.7692307692307693,-6.5,0.9090909090909091,134.5,0.8,134.5,0.8695652173913043,,,,,4.0,3.0,6.0,7.0,15.0,11.0,3,4,0.0,4.0,88.2,57.9,39.0,34.0,0,1,7.0,24.0,0,20180919175438,11081,2.5,0.2857142857142857
1,,,,3.0,6.5,0.7692307692307693,-6.5,0.9090909090909091,134.5,0.8,134.5,0.8695652173913043,,,,,4.0,3.0,6.0,7.0,15.0,11.0,3,4,0.0,4.0,88.2,57.9,39.0,34.0,0,1,7.0,24.0,1.0,20180919175607.0,11077.0,2.5,0.2857142857142857
2,,,,3.0,6.5,0.7692307692307693,-6.5,0.9090909090909091,133.5,0.8333333333333334,133.5,0.8333333333333334,,,,,4.0,3.0,6.0,7.0,15.0,11.0,3,4,0.0,4.0,88.2,57.9,39.0,34.0,0,1,7.0,15.0,1.0,20180919175615.0,11077.0,2.5,0.2857142857142857
3,,,,3.0,6.5,0.7692307692307693,-6.5,0.9090909090909091,132.5,0.8695652173913043,132.5,0.8,,,,,4.0,3.0,6.0,7.0,15.0,11.0,3,4,0.0,4.0,88.2,57.9,39.0,34.0,0,1,7.0,7.0,1.0,20180919175624.0,11077.0,2.5,0.2857142857142857
4,,,,3.0,6.5,0.7692307692307693,-6.5,0.9090909090909091,132.5,0.8333333333333334,132.5,0.8333333333333334,,,,,4.0,3.0,6.0,7.0,15.0,11.0,3,4,0.0,4.0,88.2,57.9,39.0,34.0,0,1,7.0,4.0,1.0,20180919175627.0,11094.0,2.5,0.2857142857142857
5,,,,3.0,6.5,0.7692307692307693,-6.5,0.9090909090909091,132.5,0.8333333333333334,132.5,0.8333333333333334,,,,,4.0,3.0,6.0,7.0,15.0,11.0,3,4,0.0,4.0,88.2,57.9,39.0,34.0,0,1,7.0,0.0,0.0,20180919175631.0,11077.0,2.5,0.2857142857142857
6,,,,3.0,6.5,0.7692307692307693,-6.5,0.9090909090909091,132.5,0.8333333333333334,132.5,0.8333333333333334,,,^,,4.0,3.0,6.0,7.0,15.0,11.0,3,4,0.0,5.0,88.2,57.9,39.0,34.0,0,1,7.0,0.0,0.0,20180919175639.0,21086^11077,2.5,0.2857142857142857
7,,,,3.0,6.5,0.8,-6.5,0.8695652173913043,133.5,0.8333333333333334,133.5,0.8333333333333334,,,1:2,,4.0,3.0,6.0,7.0,15.0,11.0,3,4,0.0,5.0,88.2,57.9,39.0,34.0,0,1,7.0,0.0,0.0,20180919175640.0,11078.0,2.65,0.26666666666666666
8,,,,3.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,134.5,0.8,134.5,0.8695652173913043,,,1:2^2:2,,4.0,3.0,6.0,7.0,16.0,11.0,3,4,0.0,5.0,88.9,57.9,40.0,34.0,0,1,7.0,0.0,0.0,20180919175703.0,11079^11078,2.75,0.25
9,,,,3.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,134.5,0.8,134.5,0.8695652173913043,,,1:2^2:2,,4.0,3.0,6.0,7.0,16.0,11.0,3,4,0.0,5.0,88.9,57.9,40.0,34.0,0,1,7.0,0.0,0.0,20180919175715.0,11079^11078,2.75,0.25
10,,,,3.0,5.5,0.8695652173913043,-5.5,0.8,137.5,0.8333333333333334,137.5,0.8333333333333334,13.0,,,,4.0,4.0,6.0,7.0,17.0,11.0,3,4,0.0,5.0,89.5,57.9,41.0,34.0,0,1,6.0,58.0,1.0,20180919175754.0,21077.0,2.85,0.23529411764705882
11,,,,3.0,5.5,0.8695652173913043,-5.5,0.8,136.5,0.8333333333333334,136.5,0.8333333333333334,13.0,,,,4.0,4.0,6.0,7.0,17.0,11.0,3,4,0.0,5.0,89.5,57.9,41.0,34.0,0,1,6.0,33.0,1.0,20180919175803.0,21077.0,2.85,0.23529411764705882
12,,,,3.0,5.5,0.8695652173913043,-5.5,0.8,136.5,0.8333333333333334,136.5,0.8333333333333334,13.0,,,,4.0,4.0,6.0,7.0,17.0,11.0,3,4,0.0,5.0,89.5,57.9,41.0,34.0,0,1,6.0,30.0,1.0,20180919175806.0,21077.0,2.85,0.23529411764705882
13,,,,3.0,5.5,0.8695652173913043,-5.5,0.8,138.5,0.7692307692307693,138.5,0.9090909090909091,13.0,,^,,4.0,4.0,7.0,7.0,17.0,11.0,3,4,0.0,5.0,89.5,57.9,43.0,37.0,0,1,6.0,18.0,1.0,20180919175809.0,11074^21077,2.5,0.2857142857142857
14,,,,3.0,5.5,0.8695652173913043,-5.5,0.8,137.5,0.8695652173913043,137.5,0.8,13.0,,^,,4.0,4.0,7.0,7.0,17.0,11.0,3,4,0.0,5.0,89.5,57.9,43.0,37.0,0,1,6.0,17.0,0.0,20180919175810.0,11074^21077,2.5,0.2857142857142857
15,,,,3.0,6.5,0.8695652173913043,-6.5,0.8,137.5,0.8695652173913043,137.5,0.8,13.0,,^,,4.0,4.0,7.0,7.0,17.0,11.0,3,4,0.0,5.0,89.5,57.9,43.0,37.0,0,1,6.0,17.0,0.0,20180919175811.0,11077.0,2.85,0.23529411764705882
16,,,,3.0,6.5,0.8695652173913043,-6.5,0.8,137.5,0.8695652173913043,137.5,0.8,13.0,,^,,4.0,4.0,7.0,7.0,17.0,11.0,3,4,0.0,5.0,89.5,57.9,43.0,37.0,0,1,6.0,17.0,1.0,20180919175813.0,11077.0,2.85,0.23529411764705882
17,,,,3.0,6.5,0.8695652173913043,-6.5,0.8,137.5,0.8695652173913043,137.5,0.8,13.0,,^,,4.0,4.0,7.0,7.0,17.0,11.0,3,4,0.0,5.0,89.5,57.9,43.0,37.0,0,1,6.0,15.0,1.0,20180919175816.0,11077.0,2.85,0.23529411764705882
18,,,,3.0,5.5,0.8695652173913043,-5.5,0.8,137.5,0.8333333333333334,137.5,0.8333333333333334,13.0,,^,,4.0,4.0,7.0,7.0,17.0,11.0,3,4,0.0,5.0,89.5,57.9,43.0,37.0,0,1,6.0,9.0,1.0,20180919175819.0,21077.0,2.5,0.2857142857142857
19,,,,3.0,5.5,0.8695652173913043,-5.5,0.8,137.5,0.8,137.5,0.8695652173913043,13.0,,^,,4.0,4.0,7.0,7.0,17.0,11.0,3,4,0.0,5.0,89.5,57.9,43.0,37.0,0,1,6.0,6.0,0.0,20180919175822.0,21077.0,2.5,0.2857142857142857
