,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-14.5,0.8333333333333334,14.5,0.8333333333333334,143.5,0.8695652173913043,143.5,0.8,,,,,3.0,5.0,10.0,8.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,32.0,44.0,0,1,7.0,49.0,0,20180919171125,11081,0.044444444444444446,7.75
1,,,,3.0,-14.5,0.8333333333333334,14.5,0.8333333333333334,143.5,0.8695652173913043,143.5,0.8,,,^,,3.0,5.0,10.0,8.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,32.0,44.0,0,1,7.0,49.0,0,20180919171245.0,11077^11077,0.044444444444444446,7.75
2,,,,3.0,-14.5,0.8333333333333334,14.5,0.8333333333333334,143.5,0.8695652173913043,143.5,0.8,,,,,3.0,5.0,10.0,8.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,32.0,44.0,0,1,7.0,49.0,0,20180919171258.0,11077.0,0.044444444444444446,7.75
3,,,,3.0,-14.5,0.8333333333333334,14.5,0.8333333333333334,143.5,0.8695652173913043,143.5,0.8,,,,,3.0,5.0,10.0,8.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,32.0,44.0,0,1,7.0,49.0,1.0,20180919171258.0,11077.0,0.044444444444444446,7.75
4,,,,3.0,-14.5,0.8333333333333334,14.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,3.0,5.0,10.0,8.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,32.0,44.0,0,1,7.0,45.0,1.0,20180919171300.0,11077.0,0.044444444444444446,7.75
5,,,,3.0,-14.5,0.8333333333333334,14.5,0.8333333333333334,142.5,0.8695652173913043,142.5,0.8,,,,,3.0,5.0,10.0,8.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,32.0,44.0,0,1,7.0,36.0,1.0,20180919171309.0,11077.0,0.044444444444444446,7.75
6,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,146.5,0.8,146.5,0.8695652173913043,,,^,,4.0,5.0,10.0,8.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,35.0,44.0,0,1,7.0,30.0,1.0,20180919171316.0,11075^21077,0.07142857142857142,6.5
7,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,,,,4.0,5.0,10.0,8.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,35.0,44.0,0,1,7.0,21.0,1.0,20180919171325.0,21077.0,0.07142857142857142,6.5
8,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,144.5,0.8695652173913043,144.5,0.8,,,,,4.0,5.0,10.0,8.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,35.0,44.0,0,1,7.0,13.0,1.0,20180919171333.0,21077.0,0.06666666666666667,6.75
9,,,,3.0,-13.5,0.8333333333333334,13.5,0.8333333333333334,146.5,0.8695652173913043,146.5,0.8,,,^,,4.0,5.0,10.0,9.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,35.0,46.0,0,1,7.0,8.0,1.0,20180919171339.0,21074^11077,0.05555555555555555,7.25
10,,,,3.0,-13.5,0.8333333333333334,13.5,0.8333333333333334,146.5,0.8,146.5,0.8695652173913043,,,^,,4.0,5.0,10.0,9.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,35.0,46.0,0,1,6.0,59.0,1.0,20180919171347.0,21074^11077,0.05555555555555555,7.25
11,,,,3.0,-13.5,0.8333333333333334,13.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,,^,,4.0,5.0,10.0,9.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,35.0,46.0,0,1,6.0,51.0,1.0,20180919171355.0,21074^11077,0.05555555555555555,7.25
12,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,147.5,0.8695652173913043,147.5,0.8,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,48.0,1.0,20180919171359.0,11074^21077,0.06666666666666667,6.75
13,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,147.5,0.8,147.5,0.8695652173913043,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,40.0,0.0,20180919171406.0,11074^21077,0.06666666666666667,6.75
14,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,147.5,0.8,147.5,0.8695652173913043,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,1.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,40.0,0.0,20180919171408.0,11074^21077,0.06666666666666667,6.75
15,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,147.5,0.8,147.5,0.8695652173913043,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,40.0,0.0,20180919171409.0,11086.0,0.06666666666666667,6.75
16,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,147.5,0.8,147.5,0.8695652173913043,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,40.0,0.0,20180919171410.0,11086.0,0.06666666666666667,6.75
17,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,147.5,0.8,147.5,0.8695652173913043,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,40.0,0.0,20180919171500.0,21077.0,0.06666666666666667,6.75
18,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,147.5,0.8,147.5,0.8695652173913043,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,40.0,1.0,20180919171500.0,21077.0,0.06666666666666667,6.75
19,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,31.0,1.0,20180919171509.0,21077.0,0.06666666666666667,6.75
20,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,145.5,0.8695652173913043,145.5,0.8,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,25.0,0.0,20180919171516.0,21077.0,0.06666666666666667,6.75
21,,,,3.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,145.5,0.8695652173913043,145.5,0.8,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,25.0,1.0,20180919171528.0,11077.0,0.08333333333333333,6.0
22,,,,3.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,16.0,1.0,20180919171537.0,11077.0,0.08333333333333333,6.0
23,,,,3.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,144.5,0.8333333333333334,144.5,0.8333333333333334,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,8.0,1.0,20180919171545.0,11077.0,0.08333333333333333,6.0
24,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,144.5,0.8333333333333334,144.5,0.8333333333333334,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,6.0,8.0,1.0,20180919171546.0,21077.0,0.06666666666666667,6.75
25,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,143.5,0.8695652173913043,143.5,0.8,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,5.0,59.0,1.0,20180919171554.0,21077.0,0.06666666666666667,6.75
26,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,5.0,51.0,1.0,20180919171602.0,21077.0,0.06666666666666667,6.75
27,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,143.5,0.8,143.5,0.8695652173913043,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,5.0,50.0,0.0,20180919171604.0,21077.0,0.06666666666666667,6.75
28,,,,3.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,143.5,0.8,143.5,0.8695652173913043,,,^,,4.0,5.0,11.0,9.0,3.0,13.0,2.0,3.0,2.0,1.0,75.0,76.5,37.0,46.0,0,1,5.0,50.0,0.0,20180919171607.0,21077.0,0.06666666666666667,6.75
