,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,3.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,157.5,0.8,157.5,0.8695652173913043,,,,,5.0,0.0,15.0,11.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,27.0,0,1,10.0,0.0,0,20180919174104,01083
1,,,,3.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,157.5,0.8,157.5,0.8695652173913043,6.0,,^,,5.0,0.0,15.0,11.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,27.0,0,1,10.0,0.0,1.0,20180919175628.0,01089^11077
2,,,,3.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,156.5,0.8333333333333334,156.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,11.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,27.0,0,1,9.0,51.0,1.0,20180919175636.0,01089^11077
3,,,,3.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,155.5,0.8695652173913043,155.5,0.8,6.0,,,,5.0,0.0,15.0,11.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,27.0,0,1,9.0,45.0,1.0,20180919175644.0,11094.0
4,,,,3.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,155.5,0.8,155.5,0.8695652173913043,6.0,,,,5.0,0.0,15.0,11.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,27.0,0,1,9.0,36.0,1.0,20180919175652.0,11094.0
5,,,,3.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,155.5,0.8,155.5,0.8695652173913043,6.0,,,,5.0,0.0,15.0,11.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,27.0,0,1,9.0,36.0,0.0,20180919175653.0,11094.0
6,,,,3.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,155.5,0.8,155.5,0.8695652173913043,6.0,,,,5.0,0.0,15.0,11.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,27.0,0,1,9.0,36.0,0.0,20180919175654.0,11095.0
7,,,,3.0,32.5,0.8,-32.5,0.8695652173913043,154.5,0.8695652173913043,154.5,0.8,6.0,,,,5.0,0.0,15.0,11.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,27.0,0,1,9.0,35.0,0.0,20180919175656.0,21077.0
8,,,,3.0,32.5,0.8,-32.5,0.8695652173913043,155.5,0.8,155.5,0.8695652173913043,6.0,,,,5.0,0.0,15.0,11.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,27.0,0,1,9.0,37.0,1.0,20180919175659.0,21077.0
9,,,,3.0,32.5,0.8,-32.5,0.8695652173913043,154.5,0.8333333333333334,154.5,0.8333333333333334,6.0,,,,5.0,0.0,15.0,11.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,27.0,0,1,9.0,28.0,1.0,20180919175708.0,21077.0
10,,,,3.0,30.5,0.8333333333333334,-30.5,0.8333333333333334,156.5,0.8333333333333334,156.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,12.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,29.0,0,1,9.0,21.0,1.0,20180919175716.0,21074^11077
11,,,,3.0,30.5,0.8333333333333334,-30.5,0.8333333333333334,155.5,0.8333333333333334,155.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,12.0,7.0,5.0,4.0,4.0,0.0,0.0,77.8,55.6,52.0,29.0,0,1,9.0,13.0,0.0,20180919175723.0,21074^11077
12,,,,3.0,30.5,0.8,-30.5,0.8695652173913043,155.5,0.8333333333333334,155.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,12.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,29.0,0,1,9.0,13.0,0.0,20180919175728.0,11086^21077
13,,,,3.0,30.5,0.8,-30.5,0.8695652173913043,155.5,0.8333333333333334,155.5,0.8333333333333334,6.0,,,,5.0,0.0,15.0,12.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,29.0,0,1,9.0,13.0,0.0,20180919175729.0,21077.0
14,,,,3.0,30.5,0.8,-30.5,0.8695652173913043,155.5,0.8333333333333334,155.5,0.8333333333333334,6.0,,,,5.0,0.0,15.0,12.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,29.0,0,1,9.0,13.0,1.0,20180919175737.0,21077.0
15,,,,3.0,29.5,0.8695652173913043,-29.5,0.8,155.5,0.8,155.5,0.8695652173913043,6.0,,,,5.0,0.0,15.0,12.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,29.0,0,1,9.0,4.0,1.0,20180919175746.0,21077.0
16,,,,3.0,28.5,0.8333333333333334,-28.5,0.8333333333333334,157.5,0.8,157.5,0.8695652173913043,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,58.0,1.0,20180919175752.0,21074^11077
17,,,,3.0,28.5,0.8333333333333334,-28.5,0.8333333333333334,156.5,0.8333333333333334,156.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,49.0,1.0,20180919175801.0,21074^11077
18,,,,3.0,28.5,0.8333333333333334,-28.5,0.8333333333333334,155.5,0.8333333333333334,155.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,41.0,1.0,20180919175809.0,21074^11077
19,,,,3.0,28.5,0.8333333333333334,-28.5,0.8333333333333334,155.5,0.8,155.5,0.8695652173913043,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,36.0,1.0,20180919175814.0,11094.0
20,,,,3.0,27.5,0.8333333333333334,-27.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,30.0,0.0,20180919175821.0,21077.0
21,,,,3.0,28.5,0.8333333333333334,-28.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,30.0,0.0,20180919175822.0,11077.0
22,,,,3.0,28.5,0.8333333333333334,-28.5,0.8333333333333334,154.5,0.8695652173913043,154.5,0.8,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,31.0,0.0,20180919175824.0,11077.0
23,,,,3.0,28.5,0.8333333333333334,-28.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,29.0,1.0,20180919175830.0,11077.0
24,,,,3.0,28.5,0.8333333333333334,-28.5,0.8333333333333334,153.5,0.8695652173913043,153.5,0.8,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,20.0,1.0,20180919175838.0,11077.0
25,,,,3.0,27.5,0.8333333333333334,-27.5,0.8333333333333334,153.5,0.8333333333333334,153.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,15.0,1.0,20180919175844.0,11095.0
26,,,,3.0,27.5,0.8333333333333334,-27.5,0.8333333333333334,152.5,0.8695652173913043,152.5,0.8,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,1.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,8.0,0.0,20180919175851.0,11095.0
27,,,,3.0,27.5,0.8333333333333334,-27.5,0.8333333333333334,152.5,0.8695652173913043,152.5,0.8,6.0,,^,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,2.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,8.0,0.0,20180919175855.0,11086^21077
28,,,,3.0,26.5,0.8695652173913043,-26.5,0.8,153.5,0.8695652173913043,153.5,0.8,6.0,,1:2,,5.0,0.0,15.0,13.0,7.0,5.0,4.0,4.0,2.0,0.0,77.8,55.6,52.0,31.0,0,1,8.0,8.0,0.0,20180919175856.0,21078.0
29,,,,3.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,6.0,,1:2^2:2,,5.0,0.0,15.0,13.0,7.0,6.0,4.0,4.0,2.0,0.0,77.8,60.0,52.0,32.0,0,1,8.0,8.0,0.0,20180919175920.0,21079^21078
30,,,,3.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,155.5,0.8333333333333334,155.5,0.8333333333333334,6.0,,2:2^,,5.0,0.0,15.0,13.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,33.0,0,1,8.0,8.0,0.0,20180919175933.0,21079^11077
31,,,,3.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,155.5,0.8333333333333334,155.5,0.8333333333333334,6.0,,,,5.0,0.0,15.0,13.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,33.0,0,1,8.0,8.0,1.0,20180919175933.0,11077.0
32,,,,3.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,154.5,0.8695652173913043,154.5,0.8,6.0,,,,5.0,0.0,15.0,13.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,33.0,0,1,7.0,59.0,1.0,20180919175941.0,11077.0
33,,,,3.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,6.0,,,,5.0,0.0,15.0,13.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,33.0,0,1,7.0,55.0,1.0,20180919175945.0,11094.0
34,,,,3.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,156.5,0.8333333333333334,156.5,0.8333333333333334,6.0,,^,,5.0,0.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,35.0,0,1,7.0,51.0,1.0,20180919175949.0,21074^11077
35,,,,3.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,155.5,0.8695652173913043,155.5,0.8,6.0,,,,5.0,0.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,35.0,0,1,7.0,43.0,0.0,20180919175957.0,11077.0
36,,,,3.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,155.5,0.8333333333333334,155.5,0.8333333333333334,6.0,,,,5.0,0.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,35.0,0,1,7.0,40.0,0.0,20180919180000.0,11077.0
37,,,,3.0,23.5,0.8333333333333334,-23.5,0.8333333333333334,156.5,0.8,156.5,0.8695652173913043,6.0,,,,5.0,0.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,35.0,0,1,7.0,46.0,0.0,20180919180002.0,21077.0
38,,,,3.0,23.5,0.8333333333333334,-23.5,0.8333333333333334,156.5,0.8,156.5,0.8695652173913043,6.0,,,,5.0,0.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,35.0,0,1,7.0,46.0,1.0,20180919180019.0,21077.0
39,,,,3.0,23.5,0.8333333333333334,-23.5,0.8333333333333334,155.5,0.8333333333333334,155.5,0.8333333333333334,6.0,,,,5.0,0.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,35.0,0,1,7.0,37.0,1.0,20180919180027.0,21077.0
40,,,,3.0,23.5,0.8333333333333334,-23.5,0.8333333333333334,154.5,0.8695652173913043,154.5,0.8,6.0,,,,5.0,0.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,35.0,0,1,7.0,29.0,1.0,20180919180035.0,21077.0
41,,,,3.0,23.5,0.8333333333333334,-23.5,0.8333333333333334,154.5,0.8695652173913043,154.5,0.8,6.0,,,,5.0,0.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,35.0,0,1,7.0,29.0,1.0,20180919180036.0,21095.0
42,,,,3.0,23.5,0.8333333333333334,-23.5,0.8333333333333334,154.5,0.8695652173913043,154.5,0.8,6.0,,,,5.0,0.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,35.0,0,1,7.0,29.0,0.0,20180919180036.0,21095.0
43,,,,3.0,23.5,0.8333333333333334,-23.5,0.8333333333333334,154.5,0.8695652173913043,154.5,0.8,6.0,,,,5.0,0.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,35.0,0,1,7.0,29.0,1.0,20180919180050.0,21095.0
44,,,,3.0,21.5,0.8333333333333334,-21.5,0.8333333333333334,157.5,0.9090909090909091,157.5,0.7692307692307693,7.0,,^,,5.0,1.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,38.0,0,1,7.0,22.0,1.0,20180919180057.0,21075^11077
45,,,,3.0,21.5,0.8333333333333334,-21.5,0.8333333333333334,157.5,0.9090909090909091,157.5,0.7692307692307693,7.0,,,,5.0,1.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,38.0,0,1,7.0,22.0,1.0,20180919180058.0,11077.0
46,,,,3.0,21.5,0.8333333333333334,-21.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,7.0,,,,5.0,1.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,38.0,0,1,7.0,13.0,1.0,20180919180106.0,11077.0
47,,,,3.0,21.5,0.8333333333333334,-21.5,0.8333333333333334,156.5,0.8333333333333334,156.5,0.8333333333333334,7.0,,,,5.0,1.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,38.0,0,1,7.0,5.0,1.0,20180919180114.0,11077.0
48,,,,3.0,21.5,0.8333333333333334,-21.5,0.8333333333333334,156.5,0.8,156.5,0.8695652173913043,7.0,,,,5.0,1.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,38.0,0,1,6.0,57.0,1.0,20180919180122.0,11077.0
49,,,,3.0,21.5,0.8333333333333334,-21.5,0.8333333333333334,155.5,0.8695652173913043,155.5,0.8,7.0,,,,5.0,1.0,15.0,14.0,7.0,7.0,4.0,4.0,2.0,0.0,77.8,63.6,52.0,38.0,0,1,6.0,57.0,1.0,20180919180123.0,11094.0
