,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,98.5,0.7692307692307693,98.5,0.9090909090909091,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,7.0,46.0,1,20180919185224,11074^21077
1,,,4.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,97.5,0.9090909090909091,97.5,0.7692307692307693,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,7.0,42.0,1,20180919185228.0,21077.0
2,,,4.0,20.5,0.8,-20.5,0.8695652173913043,97.5,0.8333333333333334,97.5,0.8333333333333334,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,7.0,33.0,1,20180919185236.0,21077.0
3,,,4.0,20.5,0.8,-20.5,0.8695652173913043,97.5,0.7692307692307693,97.5,0.9090909090909091,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,7.0,27.0,1,20180919185243.0,21077.0
4,,,4.0,21.5,0.8,-21.5,0.8695652173913043,97.5,0.7142857142857143,97.5,1.0,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,7.0,25.0,1,20180919185245.0,11077.0
5,,,4.0,21.5,0.8,-21.5,0.8695652173913043,97.5,0.7142857142857143,97.5,1.0,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,7.0,24.0,0.0,20180919185246.0,11077.0
6,,,4.0,21.5,0.8,-21.5,0.8695652173913043,97.5,0.7142857142857143,97.5,1.0,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,7.0,24.0,1.0,20180919185308.0,11077.0
7,,,4.0,21.5,0.8,-21.5,0.8695652173913043,96.5,0.9090909090909091,96.5,0.7692307692307693,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,7.0,23.0,1.0,20180919185309.0,11077.0
8,,,4.0,21.5,0.8,-21.5,0.8695652173913043,96.5,0.8333333333333334,96.5,0.8333333333333334,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,7.0,14.0,1.0,20180919185318.0,11077.0
9,,,4.0,20.5,0.7692307692307693,-20.5,0.9090909090909091,96.5,0.7142857142857143,96.5,1.0,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,7.0,5.0,1.0,20180919185324.0,21077.0
10,,,4.0,20.5,0.7692307692307693,-20.5,0.9090909090909091,95.5,0.8333333333333334,95.5,0.8333333333333334,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,56.0,1.0,20180919185333.0,21077.0
11,,,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,95.5,0.8,95.5,0.8695652173913043,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,51.0,1.0,20180919185338.0,11077.0
12,,,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,94.5,1.0,94.5,0.7142857142857143,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,42.0,1.0,20180919185346.0,11077.0
13,,,4.0,20.5,0.7692307692307693,-20.5,0.9090909090909091,94.5,0.8695652173913043,94.5,0.8,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,38.0,1.0,20180919185351.0,21077.0
14,,,4.0,20.5,0.7692307692307693,-20.5,0.9090909090909091,94.5,0.8,94.5,0.8695652173913043,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,29.0,1.0,20180919185400.0,21077.0
15,,,4.0,19.5,1.0,-19.5,0.7142857142857143,93.5,0.9090909090909091,93.5,0.7692307692307693,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,21.0,1.0,20180919185408.0,21077.0
16,,,4.0,20.5,1.0,-20.5,0.7142857142857143,93.5,0.8695652173913043,93.5,0.8,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,18.0,1.0,20180919185412.0,11077.0
17,,,4.0,20.5,0.9090909090909091,-20.5,0.7692307692307693,93.5,0.8,93.5,0.8695652173913043,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,9.0,1.0,20180919185420.0,11077.0
18,,,4.0,20.5,0.9090909090909091,-20.5,0.7692307692307693,93.5,0.8,93.5,0.8695652173913043,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,9.0,0.0,20180919185421.0,11077.0
19,,,4.0,20.5,0.9090909090909091,-20.5,0.7692307692307693,93.5,0.8,93.5,0.8695652173913043,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,9.0,1.0,20180919185439.0,11077.0
20,,,4.0,20.5,0.9090909090909091,-20.5,0.7692307692307693,93.5,0.7692307692307693,93.5,0.9090909090909091,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,8.0,1.0,20180919185439.0,11077.0
21,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,93.5,0.7692307692307693,93.5,0.9090909090909091,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,6.0,8.0,1.0,20180919185440.0,21077.0
22,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,92.5,0.9090909090909091,92.5,0.7692307692307693,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,5.0,59.0,1.0,20180919185448.0,21077.0
23,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,92.5,0.8695652173913043,92.5,0.8,,,0,2.0,18.0,6,12.0,11.0,3,3.0,0.0,0.0,70.6,64.7,48.0,29.0,0,1,5.0,56.0,0.0,20180919185451.0,21077.0
24,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,92.5,0.8695652173913043,92.5,0.8,,^,0,2.0,18.0,6,12.0,11.0,3,3.0,1.0,0.0,70.6,64.7,48.0,29.0,0,1,5.0,57.0,0.0,20180919185455.0,11086^21077
25,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,92.5,0.8695652173913043,92.5,0.8,,^,0,2.0,18.0,6,12.0,11.0,3,3.0,1.0,0.0,70.6,64.7,48.0,29.0,0,1,5.0,57.0,0.0,20180919185456.0,11086^21077
26,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,92.5,0.8695652173913043,92.5,0.8,,^,0,2.0,18.0,6,12.0,11.0,3,3.0,1.0,0.0,70.6,64.7,48.0,29.0,0,1,5.0,56.0,1.0,20180919185504.0,11086^21077
27,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,92.5,0.8333333333333334,92.5,0.8333333333333334,,,0,2.0,18.0,6,12.0,11.0,3,3.0,1.0,0.0,70.6,64.7,48.0,29.0,0,1,5.0,56.0,1.0,20180919185505.0,21077.0
28,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,92.5,0.8333333333333334,92.5,0.8333333333333334,,,0,2.0,18.0,6,12.0,11.0,3,3.0,1.0,0.0,70.6,64.7,48.0,29.0,0,1,5.0,51.0,0.0,20180919185510.0,21077.0
29,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,92.5,0.7692307692307693,92.5,0.9090909090909091,,^,0,2.0,18.0,6,12.0,11.0,3,3.0,2.0,0.0,70.6,64.7,48.0,29.0,0,1,5.0,49.0,0.0,20180919185513.0,11086^21077
30,,,4.0,19.5,0.8333333333333334,-19.5,0.8333333333333334,93.5,0.8333333333333334,93.5,0.8333333333333334,,1:2,0,2.0,18.0,6,12.0,11.0,3,3.0,2.0,0.0,70.6,64.7,48.0,29.0,0,1,5.0,49.0,0.0,20180919185515.0,21078.0
31,,,4.0,19.5,0.8,-19.5,0.8695652173913043,93.5,1.0,93.5,0.7142857142857143,,1:2,0,2.0,18.0,6,12.0,11.0,3,3.0,2.0,0.0,70.6,64.7,48.0,30.0,0,1,5.0,49.0,0.0,20180919185530.0,21078.0
32,,,4.0,18.5,0.9090909090909091,-18.5,0.7692307692307693,94.5,0.8333333333333334,94.5,0.8333333333333334,,2:2^,0,2.0,18.0,6,12.0,13.0,3,3.0,2.0,0.0,70.6,68.4,48.0,31.0,0,1,5.0,49.0,0.0,20180919185539.0,21079^11077
33,,,4.0,18.5,0.9090909090909091,-18.5,0.7692307692307693,94.5,0.8333333333333334,94.5,0.8333333333333334,,2:2^,0,2.0,18.0,6,12.0,13.0,3,3.0,2.0,0.0,70.6,68.4,48.0,31.0,0,1,5.0,49.0,1.0,20180919185553.0,21079^11077
34,,,4.0,18.5,0.9090909090909091,-18.5,0.7692307692307693,94.5,0.8333333333333334,94.5,0.8333333333333334,,2:2^,0,2.0,18.0,6,12.0,13.0,3,3.0,2.0,0.0,70.6,68.4,48.0,31.0,0,1,5.0,48.0,1.0,20180919185554.0,21079^11077
35,,,4.0,18.5,0.9090909090909091,-18.5,0.7692307692307693,94.5,0.8,94.5,0.8695652173913043,,,0,2.0,18.0,6,12.0,13.0,3,3.0,2.0,0.0,70.6,68.4,48.0,31.0,0,1,5.0,47.0,1.0,20180919185555.0,11077.0
36,,,4.0,18.5,0.9090909090909091,-18.5,0.7692307692307693,93.5,1.0,93.5,0.7142857142857143,,,0,2.0,18.0,6,12.0,13.0,3,3.0,2.0,0.0,70.6,68.4,48.0,31.0,0,1,5.0,38.0,1.0,20180919185603.0,11077.0
37,,,4.0,18.5,0.9090909090909091,-18.5,0.7692307692307693,93.5,1.0,93.5,0.7142857142857143,,,0,2.0,18.0,6,12.0,13.0,3,3.0,2.0,0.0,70.6,68.4,48.0,31.0,0,1,5.0,38.0,0.0,20180919185604.0,11077.0
38,,,4.0,18.5,0.9090909090909091,-18.5,0.7692307692307693,93.5,0.9090909090909091,93.5,0.7692307692307693,,^,0,2.0,18.0,6,12.0,13.0,3,3.0,2.0,1.0,70.6,68.4,48.0,31.0,0,1,5.0,37.0,0.0,20180919185607.0,21086^11077
39,,,4.0,19.5,0.7692307692307693,-19.5,0.9090909090909091,95.5,0.7142857142857143,95.5,1.0,,1:2,0,2.0,18.0,6,12.0,13.0,3,3.0,2.0,1.0,70.6,68.4,48.0,31.0,0,1,5.0,37.0,0.0,20180919185608.0,11078.0
40,,,4.0,19.5,0.8333333333333334,-19.5,0.8333333333333334,95.5,0.8333333333333334,95.5,0.8333333333333334,,1:2^2:2,0,2.0,18.0,6,13.0,13.0,3,3.0,2.0,1.0,72.2,68.4,49.0,31.0,0,1,5.0,37.0,0.0,20180919185623.0,11079^11078
41,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,96.5,0.7142857142857143,96.5,1.0,,2:2^,0,2.0,18.0,6,14.0,13.0,3,3.0,2.0,1.0,73.7,68.4,50.0,31.0,0,1,5.0,37.0,0.0,20180919185634.0,11079^21077
42,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,96.5,0.7142857142857143,96.5,1.0,,2:2^,0,2.0,18.0,6,14.0,13.0,3,3.0,2.0,1.0,73.7,68.4,50.0,31.0,0,1,5.0,37.0,1.0,20180919185637.0,11079^21077
43,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,96.5,0.7142857142857143,96.5,1.0,,2:2^,0,2.0,18.0,6,14.0,13.0,3,3.0,2.0,1.0,73.7,68.4,50.0,31.0,0,1,5.0,36.0,1.0,20180919185637.0,11079^21077
44,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,95.5,1.0,95.5,0.7142857142857143,,,0,2.0,18.0,6,14.0,13.0,3,3.0,2.0,1.0,73.7,68.4,50.0,31.0,0,1,5.0,36.0,1.0,20180919185638.0,21077.0
45,,,4.0,19.5,0.9090909090909091,-19.5,0.7692307692307693,95.5,0.8333333333333334,95.5,0.8333333333333334,,,0,2.0,18.0,6,14.0,13.0,3,3.0,2.0,1.0,73.7,68.4,50.0,31.0,0,1,5.0,27.0,1.0,20180919185646.0,21077.0
46,,,4.0,19.5,0.8695652173913043,-19.5,0.8,95.5,0.7692307692307693,95.5,0.9090909090909091,,,0,2.0,18.0,6,14.0,13.0,3,3.0,2.0,1.0,73.7,68.4,50.0,31.0,0,1,5.0,19.0,1.0,20180919185654.0,21077.0
