,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-15.5,0.8695652173913043,15.5,0.8,148.5,0.9090909090909091,148.5,0.7692307692307693,,,,3,7.0,21.0,17.0,6.0,12.0,5,4,2.0,0.0,50.0,85.7,57,67,0,1,7.0,7.0,1,20180922154024,21077
1,4.0,-15.5,0.9090909090909091,15.5,0.7692307692307693,148.5,0.8333333333333334,148.5,0.8333333333333334,,,,3,7.0,21.0,17.0,6.0,12.0,5,4,2.0,0.0,50.0,85.7,57,67,0,1,6.0,58.0,1,20180922154032.0,21077
2,4.0,-15.5,0.9090909090909091,15.5,0.7692307692307693,148.5,0.7692307692307693,148.5,0.9090909090909091,,,,3,7.0,21.0,17.0,6.0,12.0,5,4,2.0,0.0,50.0,85.7,57,67,0,1,6.0,53.0,0.0,20180922154038.0,21077
3,4.0,-15.5,0.9090909090909091,15.5,0.7692307692307693,148.5,0.7692307692307693,148.5,0.9090909090909091,,,,3,7.0,21.0,17.0,6.0,12.0,5,4,2.0,0.0,50.0,85.7,57,67,0,1,6.0,53.0,0.0,20180922154042.0,21077
4,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,1:2,,3,7.0,21.0,17.0,6.0,12.0,5,4,3.0,0.0,50.0,85.7,57,67,0,1,6.0,53.0,0.0,20180922154043.0,21078.0
5,4.0,-15.5,0.8,15.5,0.8695652173913043,149.5,0.8695652173913043,149.5,0.8,,1:2^2:2,,3,7.0,21.0,17.0,6.0,13.0,5,4,3.0,0.0,50.0,86.7,57,68,0,1,6.0,53.0,0.0,20180922154101.0,21079^21078
6,4.0,-17.5,0.9090909090909091,17.5,0.7692307692307693,150.5,0.7692307692307693,150.5,0.9090909090909091,,2:2,,3,7.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,69,0,1,6.0,53.0,0.0,20180922154112.0,21079.0
7,4.0,-17.5,0.9090909090909091,17.5,0.7692307692307693,150.5,0.7692307692307693,150.5,0.9090909090909091,,2:2,,3,7.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,69,0,1,6.0,53.0,1.0,20180922154115.0,21079.0
8,4.0,-16.5,0.9090909090909091,16.5,0.7692307692307693,150.5,0.7692307692307693,150.5,0.9090909090909091,,,,3,7.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,69,0,1,6.0,53.0,1.0,20180922154115.0,11077.0
9,4.0,-16.5,0.9090909090909091,16.5,0.7692307692307693,150.5,0.8333333333333334,150.5,0.8333333333333334,,,,3,7.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,69,0,1,6.0,43.0,1.0,20180922154125.0,21077.0
10,4.0,-16.5,0.8,16.5,0.8695652173913043,150.5,0.7692307692307693,150.5,0.9090909090909091,,,,3,7.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,69,0,1,6.0,34.0,1.0,20180922154133.0,21077.0
11,4.0,-19.5,0.8,19.5,0.8695652173913043,151.5,0.9090909090909091,151.5,0.7692307692307693,,,,3,8.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,72,0,1,6.0,30.0,1.0,20180922154138.0,21075.0
12,4.0,-18.5,0.8,18.5,0.8695652173913043,151.5,0.9090909090909091,151.5,0.7692307692307693,,,,3,8.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,72,0,1,6.0,28.0,1.0,20180922154140.0,11077.0
13,4.0,-18.5,0.8333333333333334,18.5,0.8333333333333334,151.5,0.8,151.5,0.8695652173913043,,,,3,8.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,72,0,1,6.0,19.0,1.0,20180922154148.0,11077.0
14,4.0,-18.5,0.8333333333333334,18.5,0.8333333333333334,151.5,0.7692307692307693,151.5,0.9090909090909091,,,,3,8.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,72,0,1,6.0,18.0,0.0,20180922154149.0,11077.0
15,4.0,-18.5,0.8333333333333334,18.5,0.8333333333333334,151.5,0.7692307692307693,151.5,0.9090909090909091,,,,3,8.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,72,0,1,6.0,18.0,0.0,20180922154151.0,11077.0
16,4.0,-18.5,0.8695652173913043,18.5,0.8,152.5,0.8333333333333334,152.5,0.8333333333333334,,1:2,,3,8.0,21.0,17.0,6.0,14.0,5,4,3.0,0.0,50.0,87.5,57,72,0,1,6.0,18.0,0.0,20180922154152.0,11078.0
17,4.0,-17.5,0.7692307692307693,17.5,0.9090909090909091,152.5,0.9090909090909091,152.5,0.7692307692307693,,1:2^2:2,,3,8.0,21.0,17.0,7.0,14.0,5,4,3.0,1.0,53.8,87.5,58,72,0,1,6.0,18.0,0.0,20180922154218.0,11079^11078
18,4.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,153.5,0.8,153.5,0.8695652173913043,,2:2,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,1.0,57.1,87.5,59,72,0,1,6.0,18.0,0.0,20180922154226.0,11079.0
19,4.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,153.5,0.8,153.5,0.8695652173913043,,2:2,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,1.0,57.1,87.5,59,72,0,1,6.0,18.0,1.0,20180922154229.0,11079.0
20,4.0,-17.5,0.8333333333333334,17.5,0.8333333333333334,153.5,0.8,153.5,0.8695652173913043,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,1.0,57.1,87.5,59,72,0,1,6.0,18.0,1.0,20180922154230.0,21077.0
21,4.0,-17.5,0.8333333333333334,17.5,0.8333333333333334,152.5,0.9090909090909091,152.5,0.7692307692307693,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,1.0,57.1,87.5,59,72,0,1,6.0,9.0,1.0,20180922154238.0,21077.0
22,4.0,-17.5,0.8333333333333334,17.5,0.8333333333333334,152.5,0.8,152.5,0.8695652173913043,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,1.0,57.1,87.5,59,72,0,1,6.0,1.0,1.0,20180922154246.0,21077.0
23,4.0,-17.5,0.8333333333333334,17.5,0.8333333333333334,151.5,0.9090909090909091,151.5,0.7692307692307693,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,1.0,57.1,87.5,59,72,0,1,5.0,53.0,1.0,20180922154254.0,21077.0
24,4.0,-17.5,0.8695652173913043,17.5,0.8,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,1.0,57.1,87.5,59,72,0,1,5.0,50.0,0.0,20180922154258.0,21077.0
25,4.0,-17.5,0.8695652173913043,17.5,0.8,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,1.0,57.1,87.5,59,72,0,1,5.0,50.0,0.0,20180922154311.0,21077.0
26,4.0,-17.5,0.8695652173913043,17.5,0.8,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,1.0,57.1,87.5,59,72,0,1,5.0,50.0,0.0,20180922154313.0,21086.0
27,4.0,-16.5,0.8695652173913043,16.5,0.8,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,50.0,0.0,20180922154314.0,21086.0
28,4.0,-16.5,0.8695652173913043,16.5,0.8,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,50.0,1.0,20180922154321.0,21086.0
