,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,,1,4,,36.4,75.0,45,61,0,1,2.0,55.0,0,20180922160253,21077
1,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,,1,4,,36.4,75.0,45,61,0,1,2.0,55.0,1.0,20180922160306.0,21077
2,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,,1,4,,36.4,75.0,45,61,0,1,2.0,53.0,0.0,20180922160307.0,21077
3,4.0,-16.5,0.7692307692307693,16.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,,1,4,,36.4,75.0,45,61,0,1,2.0,48.0,0.0,20180922160311.0,21077
4,4.0,-16.5,0.7692307692307693,16.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,,1,4,,36.4,75.0,45,61,0,1,2.0,48.0,1.0,20180922160314.0,21077
5,4.0,-16.5,0.7692307692307693,16.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,,1,4,,36.4,75.0,45,61,0,1,2.0,39.0,1.0,20180922160323.0,21077
6,4.0,-16.5,0.7692307692307693,16.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,,1,4,,36.4,75.0,45,61,0,1,2.0,31.0,1.0,20180922160331.0,21077
7,4.0,-16.5,0.7692307692307693,16.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,,1,4,,36.4,75.0,45,61,0,1,2.0,26.0,0.0,20180922160336.0,21077
8,4.0,-16.5,0.7692307692307693,16.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,,1,4,,36.4,75.0,45,61,0,1,2.0,26.0,0.0,20180922160338.0,21077
9,4.0,-16.5,0.7692307692307693,16.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,,1,4,,36.4,75.0,45,61,0,1,2.0,26.0,0.0,20180922160348.0,11086.0
10,4.0,-16.5,0.7692307692307693,16.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,45,61,0,1,2.0,26.0,1.0,20180922160354.0,11086.0
11,4.0,-16.5,0.7692307692307693,16.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,45,61,0,1,2.0,17.0,1.0,20180922160403.0,11086.0
12,4.0,-15.5,0.7692307692307693,15.5,0.9090909090909091,,,,3,10,,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,45,61,0,1,2.0,14.0,1.0,20180922160406.0,11077.0
13,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,,,,3,10,17.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,47,61,0,1,2.0,9.0,1.0,20180922160411.0,11074.0
14,4.0,-14.5,0.7692307692307693,14.5,0.9090909090909091,,,,3,10,17.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,47,61,0,1,2.0,7.0,1.0,20180922160413.0,21077.0
15,4.0,-14.5,0.0,14.5,0.0,1.0,,,3,10,17.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,47,61,0,1,1.0,58.0,1.0,20180922160421.0,21077.0
16,4.0,-13.5,0.0,13.5,0.0,1.0,,,3,10,17.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,47,61,0,1,1.0,56.0,1.0,20180922160424.0,11077.0
17,4.0,-11.5,0.0,11.5,0.0,1.0,,,3,10,18.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,49,61,0,1,1.0,52.0,1.0,20180922160428.0,11074.0
18,4.0,-12.5,0.0,12.5,0.0,1.0,,,3,10,18.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,49,61,0,1,1.0,50.0,1.0,20180922160430.0,21077.0
19,4.0,-12.5,0.0,12.5,0.0,1.0,,,3,10,18.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,49,61,0,1,1.0,41.0,1.0,20180922160439.0,21077.0
20,4.0,-12.5,0.0,12.5,0.0,1.0,,,3,10,18.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,49,61,0,1,1.0,33.0,1.0,20180922160447.0,21077.0
21,4.0,-12.5,0.0,12.5,0.0,1.0,,,3,10,18.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,49,61,0,1,1.0,32.0,1.0,20180922160448.0,21077.0
22,4.0,-12.5,0.0,12.5,0.0,1.0,,,3,10,18.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,49,61,0,1,1.0,23.0,1.0,20180922160456.0,21077.0
23,4.0,-11.5,0.0,11.5,0.0,1.0,,,3,10,18.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,49,61,0,1,1.0,22.0,1.0,20180922160458.0,11077.0
24,4.0,-11.5,0.0,11.5,0.0,1.0,,,3,10,18.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,49,61,0,1,1.0,19.0,0.0,20180922160501.0,11077.0
25,4.0,-11.5,0.0,11.5,0.0,1.0,,,3,10,18.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,49,61,0,1,1.0,19.0,0.0,20180922160505.0,21086.0
26,4.0,-11.5,0.0,11.5,0.0,1.0,,,3,10,18.0,16,14,,4,3,3,2,2.0,1,4,,36.4,75.0,49,61,0,1,1.0,19.0,0.0,20180922160506.0,21086.0
27,4.0,-11.5,0.0,11.5,0.0,1.0,1:2,,3,10,18.0,16,14,,4,3,3,2,5.0,1,4,,36.4,75.0,49,61,0,1,1.0,19.0,0.0,20180922160513.0,11078.0
28,4.0,-10.5,0.0,10.5,0.0,1.0,1:2,,3,10,18.0,16,14,,4,3,3,2,5.0,1,4,,36.4,75.0,50,61,0,1,1.0,19.0,0.0,20180922160536.0,11078.0
29,4.0,-10.5,0.0,9.5,0.0,1.0,1:2^2:2,,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,50,61,0,1,1.0,19.0,0.0,20180922160536.0,11079^11078
30,4.0,-10.5,0.0,9.5,0.0,1.0,1:2^2:2,,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,50,61,0,1,1.0,19.0,1.0,20180922160546.0,11079^11078
31,4.0,-10.5,0.0,10.5,0.0,1.0,,,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,50,61,0,1,1.0,19.0,1.0,20180922160547.0,21077.0
32,4.0,-10.5,0.0,10.5,0.0,1.0,,,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,50,61,0,1,1.0,10.0,1.0,20180922160555.0,21077.0
33,4.0,-13.5,0.0,13.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,1.0,6.0,1.0,20180922160600.0,21075.0
34,4.0,-12.5,0.0,12.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,1.0,4.0,1.0,20180922160602.0,11077.0
35,4.0,-12.5,0.0,12.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,55.0,1.0,20180922160610.0,11077.0
36,4.0,-12.5,0.0,12.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,54.0,1.0,20180922160612.0,11077.0
37,4.0,-12.5,0.0,12.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,53.0,0.0,20180922160613.0,11077.0
38,4.0,-13.5,0.0,13.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,53.0,0.0,20180922160614.0,11077.0
39,4.0,-13.5,0.0,13.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,53.0,0.0,20180922160626.0,21077.0
40,4.0,-13.5,0.0,13.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,44.0,0.0,20180922160634.0,21077.0
41,4.0,-13.5,0.0,13.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,36.0,0.0,20180922160642.0,21077.0
42,4.0,-12.5,0.0,12.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,29.0,0.0,20180922160649.0,11077.0
43,4.0,-12.5,0.0,12.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,24.0,0.0,20180922160653.0,11077.0
44,4.0,-12.5,0.0,12.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,24.0,0.0,20180922160654.0,21086.0
45,4.0,-12.5,0.0,12.5,0.0,1.0,,11.0,3,10,18.0,16,14,5.0,4,3,3,2,5.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,24.0,0.0,20180922160655.0,21086.0
46,4.0,-12.5,0.0,12.5,0.0,1.0,1:2,11.0,3,10,18.0,16,14,5.0,4,3,3,2,6.0,1,4,41.7,36.4,75.0,51,64,0,1,0.0,24.0,0.0,20180922160701.0,11078.0
47,4.0,-11.5,0.0,11.5,0.0,1.0,1:2^2:2,11.0,3,10,18.0,16,14,7.0,4,3,3,2,6.0,1,4,50.0,36.4,75.0,52,64,0,1,0.0,24.0,0.0,20180922160717.0,11079^11078
48,4.0,-11.5,0.0,11.5,0.0,1.0,1:2^2:2,11.0,3,10,18.0,16,14,7.0,4,3,3,2,6.0,1,4,50.0,36.4,75.0,52,64,0,1,0.0,22.0,0.0,20180922160721.0,11079^11078
49,4.0,-10.5,0.0,10.5,0.0,1.0,2:2,11.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,64,0,1,0.0,22.0,0.0,20180922160729.0,11079.0
50,4.0,-11.5,0.0,11.5,0.0,1.0,2:2,11.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,64,0,1,0.0,22.0,1.0,20180922160732.0,11079.0
51,4.0,-11.5,0.0,11.5,0.0,1.0,,11.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,64,0,1,0.0,16.0,0.0,20180922160738.0,21077.0
52,4.0,-11.5,0.0,11.5,0.0,1.0,,11.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,64,0,1,0.0,18.0,0.0,20180922160744.0,21077.0
53,4.0,-11.5,0.0,11.5,0.0,1.0,,11.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,64,0,1,0.0,18.0,1.0,20180922160750.0,21077.0
54,4.0,-11.5,0.0,11.5,0.0,1.0,,11.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,64,0,1,0.0,9.0,1.0,20180922160759.0,21077.0
55,4.0,-14.5,0.0,14.5,0.0,1.0,,12.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,67,0,1,0.0,2.0,1.0,20180922160806.0,21075.0
56,4.0,-14.5,0.0,14.5,0.0,1.0,,12.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,67,0,1,0.0,0.0,1.0,20180922160809.0,11077.0
57,4.0,-14.5,0.0,14.5,0.0,1.0,,12.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,67,0,1,0.0,0.0,0.0,20180922160810.0,11077.0
58,4.0,-14.5,0.0,14.5,0.0,1.0,,12.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,67,0,1,0.0,0.0,0.0,20180922160810.0,1084.0
59,4.0,-14.5,0.0,14.5,0.0,1.0,,12.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,67,0,1,0.0,0.0,0.0,20180922160816.0,1084.0
60,4.0,-14.5,0.0,14.5,0.0,1.0,,12.0,3,10,18.0,16,14,8.0,4,3,3,2,6.0,1,4,53.3,36.4,75.0,53,67,0,1,0.0,0.0,0.0,20180922160816.0,1084.0
