,AM,AS,ED,PG,S1,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,5,3,19,17,12,12,,2,3,,1,2,66.7,75.0,65,55,0,1,1.0,20.0,0,20180922160300,11077
1,,,,,,5,3,19,17,12,12,,2,3,,1,2,66.7,75.0,65,55,0,1,1.0,22.0,0,20180922160305.0,11077
2,,,,,,5,3,19,17,12,12,,2,3,,1,2,66.7,75.0,65,55,0,1,1.0,22.0,0,20180922160307.0,11077
3,,,,,,5,3,19,17,12,12,,2,3,,1,2,66.7,75.0,65,55,0,1,1.0,22.0,1.0,20180922160315.0,11077
4,,,,,,5,3,19,17,12,12,,2,3,,1,2,66.7,75.0,65,55,0,1,1.0,13.0,1.0,20180922160323.0,11077
5,,,,,,5,3,19,17,12,12,,2,3,,1,2,66.7,75.0,65,55,0,1,1.0,5.0,1.0,20180922160332.0,11077
6,,,,,,5,3,19,17,12,12,,2,3,,1,2,66.7,75.0,65,55,0,1,1.0,1.0,0.0,20180922160335.0,11077
7,,,,,,5,3,19,17,12,12,,2,3,,1,2,66.7,75.0,65,55,0,1,1.0,1.0,0.0,20180922160336.0,11086.0
8,,,,,,5,3,19,17,12,12,,2,3,,1,2,66.7,75.0,65,55,0,1,1.0,1.0,0.0,20180922160344.0,11086.0
9,,,,,,5,3,19,17,12,12,,2,3,2.0,1,2,66.7,75.0,65,55,0,1,1.0,1.0,1.0,20180922160408.0,11086.0
10,,,,,,5,3,19,17,12,12,,2,3,2.0,1,2,66.7,75.0,65,55,0,1,0.0,52.0,1.0,20180922160416.0,11086.0
11,,,,,,5,3,19,17,12,12,,2,3,2.0,1,2,66.7,75.0,65,55,0,1,0.0,47.0,1.0,20180922160423.0,21077.0
12,,,,,,5,3,19,17,12,12,,2,3,2.0,1,2,66.7,75.0,65,55,0,1,0.0,46.0,1.0,20180922160424.0,11077.0
13,,,,,,5,3,19,17,12,12,,2,3,2.0,1,2,66.7,75.0,65,55,0,1,0.0,37.0,1.0,20180922160432.0,11077.0
14,,,,,6.0,5,3,19,17,12,12,,2,3,2.0,1,2,66.7,75.0,68,55,0,1,0.0,32.0,1.0,20180922160438.0,11075.0
15,,,,,6.0,5,3,19,17,12,12,,2,3,2.0,1,2,66.7,75.0,68,55,0,1,0.0,31.0,0.0,20180922160439.0,11075.0
