,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,22.5,0.8333333333333334,-22.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,5,23.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,69,46,0,1,9.0,36.0,1,20180922171958,21077
1,4.0,22.5,0.8333333333333334,-22.5,0.8333333333333334,149.5,0.7692307692307693,149.5,0.9090909090909091,,,,5.0,5,23.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,69,46,0,1,9.0,27.0,1,20180922172007.0,21077
2,4.0,22.5,0.8695652173913043,-22.5,0.8,148.5,0.8333333333333334,148.5,0.8333333333333334,,,,5.0,5,23.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,69,46,0,1,9.0,22.0,1,20180922172013.0,11077.0
3,4.0,22.5,0.8695652173913043,-22.5,0.8,148.5,0.7692307692307693,148.5,0.9090909090909091,,,,5.0,5,23.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,69,46,0,1,9.0,13.0,1,20180922172021.0,11077.0
4,4.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,150.5,0.8,150.5,0.8695652173913043,,^,,5.0,5,24.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,71,46,0,1,9.0,12.0,1,20180922172023.0,11074^21077
5,4.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,5,24.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,71,46,0,1,9.0,3.0,1,20180922172031.0,21077.0
6,4.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,149.5,0.8,149.5,0.8695652173913043,,,,5.0,5,24.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,71,46,0,1,8.0,58.0,0.0,20180922172037.0,21077.0
7,4.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,149.5,0.8,149.5,0.8695652173913043,,,,5.0,5,24.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,71,46,0,1,8.0,58.0,0.0,20180922172053.0,21077.0
8,4.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,149.5,0.8,149.5,0.8695652173913043,,,,5.0,5,24.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,71,46,0,1,8.0,58.0,0.0,20180922172103.0,21077.0
9,4.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,149.5,0.8,149.5,0.8695652173913043,,,,5.0,5,24.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,71,46,0,1,8.0,58.0,1.0,20180922172103.0,21077.0
10,4.0,24.5,0.8695652173913043,-24.5,0.8,148.5,0.9090909090909091,148.5,0.7692307692307693,,,,5.0,5,24.0,10.0,7.0,11.0,2,1,0.0,2.0,77.8,84.6,71,46,0,1,8.0,52.0,1.0,20180922172110.0,11077.0
