,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,2.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,105.5,0.8,105.5,0.8695652173913043,,,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,1.0,75.0,50.0,22,10.0,0,1,5.0,44.0,1,20180922171958,21077,7.5,0.05
1,,,2.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,104.5,0.8695652173913043,104.5,0.8,,,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,1.0,75.0,50.0,22,10.0,0,1,5.0,39.0,0.0,20180922172004.0,21077,7.5,0.05
2,,,2.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,104.5,0.8695652173913043,104.5,0.8,,,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,1.0,75.0,50.0,22,10.0,0,1,5.0,39.0,1.0,20180922172016.0,21077,7.5,0.05
3,,,2.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,104.5,0.8695652173913043,104.5,0.8,,,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,1.0,75.0,50.0,22,10.0,0,1,5.0,38.0,1.0,20180922172016.0,21077,7.5,0.05
4,,,2.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,104.5,0.8695652173913043,104.5,0.8,,,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,1.0,75.0,50.0,22,10.0,0,1,5.0,38.0,1.0,20180922172018.0,21077,7.5,0.05
5,,,2.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,104.5,0.8695652173913043,104.5,0.8,,,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,1.0,75.0,50.0,22,10.0,0,1,5.0,38.0,1.0,20180922172027.0,21077,7.5,0.05
6,,,2.0,15.5,0.8695652173913043,-15.5,0.8,104.5,0.8333333333333334,104.5,0.8333333333333334,,,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,1.0,75.0,50.0,22,10.0,0,1,5.0,36.0,1.0,20180922172028.0,11077.0,7.75,0.044444444444444446
7,,,2.0,15.5,0.8695652173913043,-15.5,0.8,104.5,0.8333333333333334,104.5,0.8333333333333334,,,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,1.0,75.0,50.0,22,10.0,0,1,5.0,28.0,0.0,20180922172035.0,11077.0,7.75,0.044444444444444446
8,,,2.0,15.5,0.8695652173913043,-15.5,0.8,104.5,0.8333333333333334,104.5,0.8333333333333334,,^,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,2.0,75.0,50.0,22,10.0,0,1,5.0,28.0,0.0,20180922172040.0,21086^11077,7.75,0.044444444444444446
9,,,2.0,15.5,0.8695652173913043,-15.5,0.8,104.5,0.8333333333333334,104.5,0.8333333333333334,,^,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,2.0,75.0,50.0,22,10.0,0,1,5.0,28.0,0.0,20180922172043.0,21086^11077,7.75,0.044444444444444446
10,,,2.0,15.5,0.8695652173913043,-15.5,0.8,104.5,0.8333333333333334,104.5,0.8333333333333334,,^,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,2.0,75.0,50.0,22,10.0,0,1,5.0,28.0,1.0,20180922172048.0,21086^11077,7.75,0.044444444444444446
11,,,2.0,15.5,0.8695652173913043,-15.5,0.8,104.5,0.8333333333333334,104.5,0.8333333333333334,,^,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,2.0,75.0,50.0,22,10.0,0,1,5.0,27.0,1.0,20180922172048.0,21086^11077,7.75,0.044444444444444446
12,,,2.0,15.5,0.8695652173913043,-15.5,0.8,104.5,0.8,103.5,0.8695652173913043,,,,0.0,1.0,8.0,2.0,6.0,2.0,3.0,4.0,2.0,2.0,75.0,50.0,22,10.0,0,1,5.0,18.0,1.0,20180922172057.0,11077.0,7.75,0.044444444444444446
13,,,2.0,17.5,0.8,-17.5,0.8695652173913043,105.5,0.8695652173913043,105.5,0.8,,^,,0.0,1.0,9.0,2.0,6.0,2.0,3.0,4.0,2.0,2.0,75.0,50.0,24,10.0,0,1,5.0,17.0,1.0,20180922172058.0,11074^21077,9.0,0.030303030303030304
14,,,2.0,17.5,0.8,-17.5,0.8695652173913043,105.5,0.8695652173913043,105.5,0.8,,^,,0.0,1.0,9.0,2.0,6.0,2.0,3.0,4.0,2.0,2.0,75.0,50.0,24,10.0,0,1,5.0,14.0,0.0,20180922172101.0,11074^21077,9.0,0.030303030303030304
