,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,3.0,49.5,0.8,-49.5,0.8695652173913043,126.5,0.8695652173913043,126.5,0.8,,,,,4.0,3.0,21.0,4.0,5.0,3.0,4,2.0,0.0,1.0,50.0,60.0,59,20,0,1,3.0,57.0,1,20180922171954,21077
1,,,,3.0,48.5,0.9090909090909091,-48.5,0.7692307692307693,126.5,0.8333333333333334,126.5,0.8333333333333334,,,,,4.0,3.0,21.0,4.0,5.0,3.0,4,2.0,0.0,1.0,50.0,60.0,59,20,0,1,3.0,48.0,1,20180922172003.0,21077
2,,,,3.0,45.5,0.9090909090909091,-45.5,0.7692307692307693,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,4.0,4.0,21.0,4.0,5.0,3.0,4,2.0,0.0,1.0,50.0,60.0,59,23,0,1,3.0,45.0,1,20180922172006.0,21075.0
3,,,,3.0,46.5,0.8695652173913043,-46.5,0.8,129.5,0.8,129.5,0.8695652173913043,,,,,4.0,4.0,21.0,4.0,5.0,3.0,4,2.0,0.0,1.0,50.0,60.0,59,23,0,1,3.0,42.0,1,20180922172009.0,11077.0
4,,,,3.0,46.5,0.8695652173913043,-46.5,0.8,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,,4.0,4.0,21.0,4.0,5.0,3.0,4,2.0,0.0,1.0,50.0,60.0,59,23,0,1,3.0,33.0,1,20180922172017.0,11077.0
5,,,,3.0,46.5,0.8333333333333334,-46.5,0.8333333333333334,128.5,0.7692307692307693,128.5,0.9090909090909091,,,,,4.0,4.0,21.0,4.0,5.0,3.0,4,2.0,0.0,1.0,50.0,60.0,59,23,0,1,3.0,25.0,1,20180922172025.0,11077.0
6,,,,3.0,46.5,0.8333333333333334,-46.5,0.8333333333333334,127.5,0.8695652173913043,127.5,0.8,,,,,4.0,4.0,21.0,4.0,5.0,3.0,4,2.0,0.0,1.0,50.0,60.0,59,23,0,1,3.0,22.0,0.0,20180922172029.0,11077.0
7,,,,3.0,46.5,0.8333333333333334,-46.5,0.8333333333333334,127.5,0.8695652173913043,127.5,0.8,,,,,4.0,4.0,21.0,4.0,5.0,3.0,4,2.0,0.0,1.0,50.0,60.0,59,23,0,1,3.0,22.0,0.0,20180922172030.0,21086.0
8,,,,3.0,46.5,0.8333333333333334,-46.5,0.8333333333333334,127.5,0.8695652173913043,127.5,0.8,,,,,4.0,4.0,21.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,59,23,0,1,3.0,22.0,0.0,20180922172037.0,21086.0
9,,,,3.0,46.5,0.8333333333333334,-46.5,0.8333333333333334,127.5,0.8695652173913043,127.5,0.8,,,,,4.0,4.0,21.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,59,23,0,1,3.0,22.0,1.0,20180922172052.0,21086.0
10,,,,3.0,48.5,0.8333333333333334,-48.5,0.8333333333333334,129.5,0.8695652173913043,129.5,0.8,8.0,,,,4.0,4.0,22.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,61,23,0,1,3.0,20.0,1.0,20180922172054.0,11074.0
11,,,,3.0,47.5,0.8333333333333334,-47.5,0.8333333333333334,129.5,0.8333333333333334,129.5,0.8333333333333334,9.0,,,,4.0,4.0,22.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,61,23,0,1,3.0,17.0,1.0,20180922172058.0,21077.0
12,,,,3.0,47.5,0.8333333333333334,-47.5,0.8333333333333334,129.5,0.7692307692307693,129.5,0.9090909090909091,9.0,,,,4.0,4.0,22.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,61,23,0,1,3.0,8.0,1.0,20180922172106.0,21077.0
13,,,,3.0,48.5,0.8333333333333334,-48.5,0.8333333333333334,128.5,0.8695652173913043,128.5,0.8,8.0,,,,4.0,4.0,22.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,61,23,0,1,3.0,5.0,1.0,20180922172109.0,11077.0
14,,,,3.0,48.5,0.8,-48.5,0.8695652173913043,128.5,0.8,128.5,0.8695652173913043,8.0,,,,4.0,4.0,22.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,61,23,0,1,2.0,58.0,1.0,20180922172116.0,11077.0
15,,,,3.0,47.5,0.8,-47.5,0.8695652173913043,128.5,0.7692307692307693,128.5,0.9090909090909091,9.0,,,,4.0,4.0,22.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,61,23,0,1,2.0,57.0,1.0,20180922172117.0,21077.0
16,,,,3.0,47.5,0.8,-47.5,0.8695652173913043,127.5,0.8333333333333334,127.5,0.8333333333333334,9.0,,,,4.0,4.0,22.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,61,23,0,1,2.0,51.0,0.0,20180922172123.0,21077.0
17,,,,3.0,47.5,0.8,-47.5,0.8695652173913043,127.5,0.8333333333333334,127.5,0.8333333333333334,9.0,,,,4.0,4.0,22.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,61,23,0,1,2.0,51.0,0.0,20180922172128.0,11086.0
18,,,,3.0,47.5,0.8,-47.5,0.8695652173913043,127.5,0.8333333333333334,127.5,0.8333333333333334,9.0,,,,4.0,4.0,22.0,4.0,5.0,3.0,4,2.0,0.0,2.0,50.0,60.0,61,23,0,1,2.0,51.0,0.0,20180922172129.0,11086.0
