,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,2.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,164.5,0.8333333333333334,164.5,0.8333333333333334,,,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,0.0,0.0,100.0,87.5,31.0,16.0,0,1,10.0,0.0,0,20180922171926,01082,14.0,0.01
1,,,2.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,164.5,0.8333333333333334,164.5,0.8333333333333334,,^,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,0.0,0.0,100.0,87.5,31.0,16.0,0,1,10.0,0.0,1.0,20180922171926,01088^11077,14.0,0.01
2,,,2.0,24.5,0.8333333333333334,-24.5,0.8333333333333334,164.5,0.8333333333333334,164.5,0.8333333333333334,,,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,0.0,0.0,100.0,87.5,31.0,16.0,0,1,9.0,59.0,1.0,20180922172135.0,21077.0,14.0,0.01
3,,,2.0,24.5,0.8,-24.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,0.0,0.0,100.0,87.5,31.0,16.0,0,1,9.0,50.0,1.0,20180922172143.0,21077.0,14.0,0.01
4,,,2.0,24.5,0.8,-24.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,0.0,0.0,100.0,87.5,31.0,16.0,0,1,9.0,49.0,1.0,20180922172144.0,21077.0,14.0,0.01
5,,,2.0,24.5,0.8,-24.5,0.8695652173913043,162.5,0.8695652173913043,162.5,0.8,,,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,0.0,0.0,100.0,87.5,31.0,16.0,0,1,9.0,41.0,1.0,20180922172152.0,21077.0,14.0,0.01
6,,,2.0,24.5,0.8,-24.5,0.8695652173913043,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,0.0,0.0,100.0,87.5,31.0,16.0,0,1,9.0,40.0,1.0,20180922172154.0,21077.0,14.0,0.01
7,,,2.0,24.5,0.8,-24.5,0.8695652173913043,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,0.0,0.0,100.0,87.5,31.0,16.0,0,1,9.0,37.0,0.0,20180922172156.0,21077.0,14.0,0.01
8,,,2.0,24.5,0.8,-24.5,0.8695652173913043,162.5,0.8333333333333334,162.5,0.8333333333333334,,^,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,1.0,0.0,100.0,87.5,31.0,16.0,0,1,9.0,37.0,0.0,20180922172204.0,11086^21077,14.0,0.01
9,,,2.0,24.5,0.8,-24.5,0.8695652173913043,162.5,0.8333333333333334,162.5,0.8333333333333334,,^,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,1.0,0.0,100.0,87.5,31.0,16.0,0,1,9.0,37.0,0.0,20180922172205.0,11086^21077,14.0,0.01
10,,,2.0,22.5,0.8695652173913043,-22.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,14.0,1:2,,5.0,1.0,6.0,3.0,4.0,7.0,5.0,4.0,1.0,0.0,100.0,87.5,31.0,16.0,0,1,9.0,0.0,0.0,20180922172216.0,21078.0,11.0,0.015151515151515152
