,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-5.5,0.8695652173913043,5.5,0.8,154.5,0.8695652173913043,154.5,0.8,,,,7.0,7.0,11.0,13.0,5.0,4.0,5.0,4.0,0.0,1.0,83.3,80.0,48,51,0,1,5.0,14.0,1,20180923180748,21077,0.3333333333333333,2.25
1,,,3.0,-5.5,0.8695652173913043,5.5,0.8,154.5,0.8,154.5,0.8695652173913043,,,,7.0,7.0,11.0,13.0,5.0,4.0,5.0,4.0,0.0,1.0,83.3,80.0,48,51,0,1,5.0,5.0,1,20180923180756.0,21077,0.3333333333333333,2.25
2,,,3.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,153.5,0.8695652173913043,153.5,0.8,,,,7.0,7.0,11.0,13.0,5.0,4.0,5.0,4.0,0.0,1.0,83.3,80.0,48,51,0,1,4.0,59.0,0.0,20180923180802.0,21077,0.3333333333333333,2.25
3,,,3.0,-4.5,0.8695652173913043,4.5,0.8,153.5,0.8695652173913043,153.5,0.8,,,,7.0,7.0,11.0,13.0,5.0,4.0,5.0,4.0,0.0,1.0,83.3,80.0,48,51,0,1,4.0,59.0,0.0,20180923180807.0,11077.0,0.4,1.75
4,,,3.0,-4.5,0.8695652173913043,4.5,0.8,153.5,0.8695652173913043,153.5,0.8,,,,7.0,7.0,11.0,13.0,5.0,4.0,5.0,4.0,0.0,2.0,83.3,80.0,48,51,0,1,4.0,59.0,0.0,20180923180809.0,21086.0,0.4,1.75
5,,,3.0,-4.5,0.8695652173913043,4.5,0.8,153.5,0.8695652173913043,153.5,0.8,,,,7.0,7.0,11.0,13.0,5.0,4.0,5.0,4.0,0.0,2.0,83.3,80.0,48,51,0,1,4.0,58.0,0.0,20180923180809.0,11077.0,0.4,1.75
6,,,3.0,-4.5,0.8695652173913043,4.5,0.8,153.5,0.8,153.5,0.8695652173913043,,,,7.0,7.0,11.0,13.0,5.0,4.0,5.0,4.0,0.0,2.0,83.3,80.0,48,51,0,1,4.0,50.0,0.0,20180923180834.0,11077.0,0.4,1.75
7,,,3.0,-4.5,0.8695652173913043,4.5,0.8,152.5,0.8695652173913043,152.5,0.8,,,,7.0,7.0,11.0,13.0,5.0,4.0,5.0,4.0,0.0,2.0,83.3,80.0,48,51,0,1,4.0,45.0,0.0,20180923180838.0,11094.0,0.4,1.75
8,,,3.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,152.5,0.8333333333333334,152.5,0.8333333333333334,,,,7.0,7.0,11.0,13.0,5.0,4.0,5.0,4.0,0.0,2.0,83.3,80.0,48,51,0,1,4.0,43.0,0.0,20180923180841.0,21077.0,0.3333333333333333,2.25
9,,,3.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,152.5,0.8,152.5,0.8695652173913043,,,,7.0,7.0,11.0,13.0,5.0,4.0,5.0,4.0,0.0,2.0,83.3,80.0,48,51,0,1,4.0,34.0,0.0,20180923180850.0,21077.0,0.3333333333333333,2.25
