,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,178.5,0.8333333333333334,178.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,7.0,18.0,1,20180925135849,21077,4.25,0.13333333333333333
1,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,177.5,0.8695652173913043,177.5,0.8,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,7.0,10.0,1,20180925135858.0,21077,4.25,0.13333333333333333
2,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,177.5,0.8333333333333334,177.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,7.0,9.0,1,20180925135858.0,21095.0,4.25,0.13333333333333333
3,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,177.5,0.8333333333333334,177.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,7.0,9.0,1,20180925135900.0,21077.0,4.25,0.13333333333333333
4,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,176.5,0.8695652173913043,176.5,0.8,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,7.0,0.0,1,20180925135908.0,21077.0,4.25,0.13333333333333333
5,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,176.5,0.8333333333333334,176.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,55.0,1,20180925135912.0,21094.0,4.25,0.13333333333333333
6,,,,2.0,11.5,0.8695652173913043,-11.5,0.8,176.5,0.8333333333333334,176.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,55.0,1,20180925135914.0,11077.0,4.5,0.125
7,,,,2.0,11.5,0.8695652173913043,-11.5,0.8,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,47.0,0.0,20180925135920.0,11077.0,4.5,0.125
8,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,47.0,0.0,20180925135929.0,21077.0,4.25,0.13333333333333333
9,,,,2.0,11.5,0.8695652173913043,-11.5,0.8,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,47.0,0.0,20180925135937.0,11077.0,4.5,0.125
10,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,47.0,0.0,20180925135954.0,21077.0,4.25,0.13333333333333333
11,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,47.0,1.0,20180925140010.0,21077.0,4.25,0.13333333333333333
12,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,46.0,1.0,20180925140010.0,21077.0,4.25,0.13333333333333333
13,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,175.5,0.8,175.5,0.8695652173913043,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,42.0,0.0,20180925140014.0,21077.0,4.25,0.13333333333333333
14,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,175.5,0.8,175.5,0.8695652173913043,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,42.0,1.0,20180925140026.0,21077.0,4.25,0.13333333333333333
15,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,,,1.0,3.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,33.0,1.0,20180925140035.0,21077.0,4.25,0.13333333333333333
16,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,,,1.0,4.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,33.0,1.0,20180925140035.0,11077.0,4.25,0.13333333333333333
17,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,177.5,0.8333333333333334,177.5,0.8333333333333334,,,,,1.0,4.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,20.0,1.0,20180925140049.0,11077.0,4.25,0.13333333333333333
18,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,176.5,0.8333333333333334,176.5,0.8333333333333334,,,,,1.0,4.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,12.0,1.0,20180925140058.0,11077.0,4.25,0.13333333333333333
19,,,,2.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,176.5,0.8333333333333334,176.5,0.8333333333333334,,,,,1.0,4.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,9.0,1.0,20180925140059.0,11095.0,4.25,0.13333333333333333
20,,,,2.0,9.5,0.8695652173913043,-9.5,0.8,176.5,0.8333333333333334,176.5,0.8333333333333334,,,,,1.0,4.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,9.0,1.0,20180925140100.0,21077.0,3.5,0.16666666666666666
21,,,,2.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,1.0,4.0,12.0,9.0,7.0,2.0,5.0,4,0.0,0.0,63.6,50.0,34.0,29,0,1,6.0,0.0,1.0,20180925140108.0,21077.0,3.4,0.18181818181818182
