,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,KC,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,,,,,,,,,,,,,,,,,,,0,,1,10.0,0.0,0,20180925135102,,0.26666666666666666,2.65
1,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,,,,,,,,,,,,,,,,,,,0,,1,10.0,0.0,0,20180925140106.0,,0.26666666666666666,2.65
2,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,,1,10.0,0.0,0,20180925140106.0,,0.26666666666666666,2.65
3,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,,1,9.0,57.0,0,20180925140119.0,11077.0,0.26666666666666666,2.65
4,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,140.5,0.8333333333333334,140.5,0.8333333333333334,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,,1,9.0,48.0,0,20180925140127.0,11077.0,0.26666666666666666,2.65
5,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,,1,9.0,40.0,0,20180925140135.0,11077.0,0.26666666666666666,2.65
6,,,,1.0,-6.5,0.8695652173913043,6.5,0.8,142.5,0.8333333333333334,142.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,,1,9.0,39.0,0,20180925140137.0,11074.0,0.3333333333333333,2.25
7,,,,1.0,-6.5,0.8695652173913043,6.5,0.8,141.5,0.8695652173913043,141.5,0.8,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,,1,9.0,30.0,0,20180925140146.0,21077.0,0.3333333333333333,2.25
8,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,143.5,0.8695652173913043,143.5,0.8,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0,,1,9.0,25.0,0,20180925140152.0,21074.0,0.26666666666666666,2.65
9,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0,,1,9.0,24.0,0,20180925140152.0,11077.0,0.2857142857142857,2.5
