,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,29.5,0.8,-29.5,0.8695652173913043,,,,16,4,,20,26,,8,4,,5,2,,4,3,66.7,100.0,96,68,0,1,4.0,15.0,0,20180925171326,11077
1,44.0,5.0,4.0,29.5,0.8,-29.5,0.8695652173913043,,,,16,4,,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,4.0,15.0,0,20180925171424.0,21081.0
2,,,4.0,29.5,0.8,-29.5,0.8695652173913043,,,,16,4,,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,4.0,15.0,0,20180925171445.0,11077.0
3,,,4.0,29.5,0.8,-29.5,0.8695652173913043,,,,16,4,,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,4.0,15.0,1.0,20180925171446.0,11077.0
4,,,4.0,28.5,0.8,-28.5,0.8695652173913043,,,,16,4,,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,4.0,14.0,1.0,20180925171447.0,21077.0
5,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,,,,16,4,,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,4.0,5.0,1.0,20180925171455.0,21077.0
6,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,,,,16,4,,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,3.0,57.0,1.0,20180925171503.0,21077.0
7,,,4.0,29.5,0.7692307692307693,-29.5,0.9090909090909091,,,,16,4,,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,3.0,57.0,1.0,20180925171504.0,11077.0
8,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,,,,16,4,,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,3.0,56.0,1.0,20180925171505.0,21077.0
9,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,,,,16,4,27.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,3.0,56.0,1.0,20180925171505.0,11077.0
10,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,,,,16,4,27.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,3.0,44.0,1.0,20180925171516.0,11077.0
11,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,,,,16,4,27.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,3.0,43.0,1.0,20180925171518.0,21077.0
12,,,4.0,27.5,0.7692307692307693,-27.5,0.9090909090909091,,,,16,4,27.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,3.0,41.0,1.0,20180925171520.0,11077.0
13,,,4.0,27.5,0.7692307692307693,-27.5,0.9090909090909091,,,,16,4,27.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,3.0,38.0,1.0,20180925171523.0,11077.0
14,,,4.0,26.5,0.7692307692307693,-26.5,0.9090909090909091,,,,16,4,27.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,68,0,1,3.0,38.0,1.0,20180925171523.0,21077.0
15,,,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,,^,,16,4,28.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,72,0,1,3.0,32.0,1.0,20180925171529.0,21074^11077
16,,,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,,,,16,4,28.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,72,0,1,3.0,23.0,1.0,20180925171537.0,11077.0
17,,,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,,,,16,4,28.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,96,72,0,1,3.0,15.0,1.0,20180925171545.0,11077.0
18,,,4.0,26.5,0.7142857142857143,-26.5,1.0,,,,16,4,21.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,98,72,0,1,3.0,15.0,1.0,20180925171546.0,21077.0
19,,,4.0,26.5,0.7142857142857143,-26.5,1.0,,,,16,4,21.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,98,72,0,1,3.0,6.0,1.0,20180925171554.0,21077.0
20,,,4.0,26.5,0.0,-26.5,0.0,,,,16,4,21.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,98,72,0,1,3.0,0.0,1.0,20180925171601.0,21095.0
21,,,4.0,27.5,0.0,-27.5,0.0,3.0,,,16,4,21.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,98,72,0,1,2.0,52.0,1.0,20180925171608.0,11077.0
22,,,4.0,25.5,0.0,-25.5,0.0,3.0,,,16,4,21.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,98,72,0,1,2.0,52.0,1.0,20180925171609.0,21077.0
23,,,4.0,24.5,0.0,-24.5,0.0,3.0,^,,16,4,29.0,20,26,,8,4,1.0,5,2,,4,3,66.7,100.0,98,74,0,1,2.0,47.0,1.0,20180925171613.0,21074^11077
