,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-4.5,0.9090909090909091,4.5,0.7692307692307693,121.5,0.8333333333333334,121.5,0.8333333333333334,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,5.0,48.0,1,20181010023640,11077,0.4166666666666667,1.7
1,,,3.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,121.5,0.8,121.5,0.8695652173913043,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,5.0,39.0,1,20181010023648.0,11077,0.4166666666666667,1.7
2,,,3.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,120.5,0.8333333333333334,120.5,0.8333333333333334,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,5.0,35.0,1,20181010023653.0,11095.0,0.4166666666666667,1.7
3,,,3.0,-4.5,0.8,4.5,0.8695652173913043,120.5,0.8333333333333334,120.5,0.8333333333333334,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,5.0,32.0,1,20181010023656.0,21077.0,0.3333333333333333,2.25
4,,,3.0,-4.5,0.8,4.5,0.8695652173913043,120.5,0.7692307692307693,120.5,0.9090909090909091,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,5.0,25.0,0.0,20181010023702.0,21077.0,0.3333333333333333,2.25
5,,,3.0,-4.5,0.8,4.5,0.8695652173913043,120.5,0.7692307692307693,120.5,0.9090909090909091,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,5.0,25.0,1.0,20181010023711.0,21077.0,0.3333333333333333,2.25
6,,,3.0,-4.5,0.8,4.5,0.8695652173913043,119.5,0.8333333333333334,119.5,0.8333333333333334,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,5.0,16.0,1.0,20181010023720.0,21077.0,0.3448275862068966,2.15
7,,,3.0,-4.5,0.8,4.5,0.8695652173913043,119.5,0.8,119.5,0.8695652173913043,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,5.0,11.0,1.0,20181010023727.0,21094.0,0.3448275862068966,2.15
8,,,3.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,119.5,0.7692307692307693,119.5,0.9090909090909091,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,5.0,9.0,1.0,20181010023729.0,11077.0,0.4166666666666667,1.7
9,,,3.0,-3.5,0.8,3.5,0.8695652173913043,118.5,0.8333333333333334,118.5,0.8333333333333334,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,5.0,0.0,1.0,20181010023737.0,11077.0,0.4166666666666667,1.7
10,,,3.0,-3.5,0.8,3.5,0.8695652173913043,118.5,0.8,118.5,0.8695652173913043,,,,1.0,1.0,10.0,8.0,9.0,15.0,3.0,3,2.0,5.0,52.9,75.0,33,34,0,1,4.0,56.0,0.0,20181010023741.0,11077.0,0.4166666666666667,1.7
