,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-4.5,0.8695652173913043,4.5,0.8,152.5,0.8695652173913043,152.5,0.8,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,1.0,0,20181010023609,21086,0.3125,2.3
1,,,,3.0,-4.5,0.8695652173913043,4.5,0.8,152.5,0.8695652173913043,152.5,0.8,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,1.0,0,20181010023706.0,11077.0,0.3125,2.3
2,,,,3.0,-4.5,0.8695652173913043,4.5,0.8,152.5,0.8695652173913043,152.5,0.8,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,0.0,0,20181010023706.0,11077.0,0.3125,2.3
3,,,,3.0,-4.5,0.8,4.5,0.8695652173913043,152.5,0.8695652173913043,152.5,0.8,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,0.0,0.0,20181010023707.0,11077.0,0.3125,2.3
4,,,,3.0,-4.5,0.8,4.5,0.8695652173913043,152.5,0.8695652173913043,152.5,0.8,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,0.0,0.0,20181010023710.0,11077.0,0.3125,2.3
5,,,,3.0,-5.5,0.8695652173913043,5.5,0.8,152.5,0.9090909090909091,152.5,0.7692307692307693,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,5.0,0.0,20181010023713.0,11077.0,0.25,2.75
6,,,,3.0,-5.5,0.8695652173913043,5.5,0.8,152.5,0.8695652173913043,152.5,0.8,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,3.0,0.0,20181010023714.0,11077.0,0.25,2.75
7,,,,3.0,-5.5,0.8695652173913043,5.5,0.8,152.5,0.8333333333333334,152.5,0.8333333333333334,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,1.0,0.0,20181010023714.0,11077.0,0.25,2.75
8,,,,3.0,-5.5,0.8695652173913043,5.5,0.8,152.5,0.8333333333333334,152.5,0.8333333333333334,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,1.0,1.0,20181010023724.0,11077.0,0.25,2.75
9,,,,3.0,-5.5,0.8695652173913043,5.5,0.8,152.5,0.8333333333333334,152.5,0.8333333333333334,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,1.0,1.0,20181010023725.0,21077.0,0.25,2.75
10,,,,3.0,-4.5,0.8,4.5,0.8695652173913043,152.5,0.8333333333333334,152.5,0.8333333333333334,,,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,0.0,0.0,0.0,20181010023727.0,21077.0,0.2857142857142857,2.5
11,,,Q4,4th Quarter,-4.5,0.8,4.5,0.8695652173913043,152.5,0.8333333333333334,152.5,0.8333333333333334,25.0,4.0,,,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,4.0,66.7,50.0,54,57.0,0,1,10.0,0.0,0.0,20181010023729.0,21077.0,0.2857142857142857,2.5
12,,,Q4,4th Quarter,-4.5,0.8,4.5,0.8695652173913043,152.5,0.8333333333333334,152.5,0.8333333333333334,25.0,4.0,,0.0,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,0.0,66.7,50.0,54,57.0,0,1,10.0,0.0,0.0,20181010023729.0,1082.0,0.2857142857142857,2.5
13,,,Q4,4th Quarter,-4.5,0.8,4.5,0.8695652173913043,152.5,0.8333333333333334,152.5,0.8333333333333334,19.0,4.0,^,0.0,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,0.0,66.7,50.0,54,57.0,0,1,10.0,0.0,1.0,20181010024028.0,01090^21077,0.2857142857142857,2.5
14,,,Q4,4th Quarter,-4.5,0.8,4.5,0.8695652173913043,152.5,0.8333333333333334,152.5,0.8333333333333334,19.0,4.0,^,0.0,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,0.0,66.7,50.0,54,57.0,0,1,9.0,59.0,1.0,20181010024028.0,01090^21077,0.2857142857142857,2.5
15,,,Q4,4th Quarter,-4.5,0.8,4.5,0.8695652173913043,152.5,0.8333333333333334,152.5,0.8333333333333334,19.0,4.0,,0.0,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,0.0,66.7,50.0,54,57.0,0,1,9.0,59.0,1.0,20181010024029.0,11077.0,0.2857142857142857,2.5
16,,,Q4,4th Quarter,-4.5,0.8,4.5,0.8695652173913043,151.5,0.9090909090909091,151.5,0.7692307692307693,19.0,4.0,,0.0,4.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,0.0,66.7,50.0,54,57.0,0,1,9.0,50.0,1.0,20181010024037.0,11077.0,0.2857142857142857,2.5
17,,,Q4,4th Quarter,-2.5,0.8695652173913043,2.5,0.8,155.5,0.7692307692307693,155.5,0.9090909090909091,18.0,4.0,^,0.0,5.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,0.0,66.7,50.0,57,57.0,0,1,9.0,47.0,1.0,20181010024040.0,11075^21077,0.5555555555555556,1.3
18,,,Q4,4th Quarter,-2.5,0.8695652173913043,2.5,0.8,154.5,0.8333333333333334,154.5,0.8333333333333334,18.0,4.0,,0.0,5.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,0.0,66.7,50.0,57,57.0,0,1,9.0,42.0,1.0,20181010024046.0,21077.0,0.5555555555555556,1.3
19,,,Q4,4th Quarter,-2.5,0.8695652173913043,2.5,0.8,154.5,0.8,154.5,0.8695652173913043,18.0,4.0,,0.0,5.0,6.0,19.0,18.0,4.0,3.0,3.0,2.0,6.0,0.0,66.7,50.0,57,57.0,0,1,9.0,33.0,1.0,20181010024054.0,21077.0,0.5555555555555556,1.3
