,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,134.5,0.8695652173913043,134.5,0.8,,,,8.0,8.0,14.0,11.0,2.0,11.0,3,3.0,2.0,0.0,33.3,78.6,54,57.0,0,1,6.0,36.0,1,20181010041110,11077,0.3333333333333333,2.25
1,,,4.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,134.5,0.7692307692307693,134.5,0.9090909090909091,,,,8.0,8.0,14.0,11.0,2.0,11.0,3,3.0,2.0,0.0,33.3,78.6,54,57.0,0,1,6.0,28.0,1,20181010041118.0,11077,0.3333333333333333,2.25
2,,,4.0,-2.5,0.8,2.5,0.8695652173913043,136.5,0.7692307692307693,136.5,0.9090909090909091,,^,,8.0,8.0,15.0,11.0,2.0,11.0,3,3.0,2.0,0.0,33.3,78.6,56,57.0,0,1,6.0,26.0,1,20181010041121.0,11074^21077,0.43478260869565216,1.65
3,,,4.0,-2.5,0.8,2.5,0.8695652173913043,136.5,0.7692307692307693,136.5,0.9090909090909091,,,,8.0,8.0,15.0,11.0,2.0,11.0,3,3.0,2.0,0.0,33.3,78.6,56,57.0,0,1,6.0,25.0,1,20181010041122.0,21077.0,0.43478260869565216,1.65
4,,,4.0,-2.5,0.8,2.5,0.8695652173913043,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,8.0,8.0,15.0,11.0,2.0,11.0,3,3.0,2.0,0.0,33.3,78.6,56,57.0,0,1,6.0,16.0,1,20181010041130.0,21077.0,0.43478260869565216,1.65
5,,,4.0,-2.5,0.8,2.5,0.8695652173913043,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,8.0,8.0,15.0,11.0,2.0,11.0,3,3.0,2.0,0.0,33.3,78.6,56,57.0,0,1,6.0,16.0,1,20181010041135.0,21077.0,0.43478260869565216,1.65
6,,,4.0,-2.5,0.8,2.5,0.8695652173913043,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,8.0,8.0,15.0,11.0,2.0,11.0,3,3.0,2.0,0.0,33.3,78.6,56,57.0,0,1,6.0,11.0,1,20181010041135.0,21077.0,0.43478260869565216,1.65
7,,,4.0,-2.5,0.8,2.5,0.8695652173913043,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,8.0,8.0,15.0,11.0,2.0,11.0,3,3.0,2.0,0.0,33.3,78.6,56,57.0,0,1,6.0,12.0,1,20181010041142.0,21077.0,0.43478260869565216,1.65
8,,,4.0,-2.5,0.8,2.5,0.8695652173913043,134.5,0.9090909090909091,134.5,0.7692307692307693,,,,8.0,8.0,15.0,11.0,2.0,11.0,3,3.0,2.0,0.0,33.3,78.6,56,57.0,0,1,6.0,6.0,0.0,20181010041148.0,21077.0,0.43478260869565216,1.65
9,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,134.5,0.9090909090909091,134.5,0.7692307692307693,,^,,8.0,8.0,15.0,11.0,2.0,11.0,3,3.0,2.0,1.0,33.3,78.6,56,57.0,0,1,6.0,6.0,0.0,20181010041152.0,21086^11077,0.5714285714285714,1.25
