,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.8333333333333334,114.5,0.8333333333333334,,,1,6.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,8.0,41.0,0,20181010041113,11086^21077
1,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.8333333333333334,114.5,0.8333333333333334,,,1,6.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,8.0,41.0,1.0,20181010041123.0,11086^21077
2,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.7692307692307693,114.5,0.9090909090909091,,,1,6.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,8.0,35.0,0.0,20181010041129.0,11086^21077
3,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.7692307692307693,114.5,0.9090909090909091,,,1,6.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,8.0,35.0,1.0,20181010041144.0,11086^21077
4,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.7692307692307693,114.5,0.9090909090909091,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,8.0,35.0,1.0,20181010041144.0,11077.0
5,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.8,114.5,0.8695652173913043,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,8.0,18.0,1.0,20181010041200.0,11077.0
6,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,115.5,0.9090909090909091,115.5,0.7692307692307693,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,8.0,10.0,1.0,20181010041209.0,11077.0
7,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,115.5,0.8,115.5,0.8695652173913043,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,8.0,2.0,1.0,20181010041217.0,11077.0
8,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,115.5,0.8,115.5,0.8695652173913043,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,8.0,2.0,1.0,20181010041217.0,11095.0
9,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.8695652173913043,114.5,0.8,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,7.0,53.0,1.0,20181010041226.0,11095.0
10,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.8695652173913043,114.5,0.8,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,7.0,53.0,1.0,20181010041233.0,11077.0
11,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.7692307692307693,114.5,0.9090909090909091,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,7.0,38.0,1.0,20181010041241.0,11077.0
12,,,4.0,-32.5,0.7692307692307693,32.5,0.9090909090909091,116.5,0.8333333333333334,116.5,0.8333333333333334,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,7.0,30.0,1.0,20181010041249.0,11077.0
13,,,4.0,-33.5,0.7692307692307693,33.5,0.9090909090909091,116.5,0.8333333333333334,116.5,0.8333333333333334,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,7.0,30.0,1.0,20181010041249.0,21077.0
14,,,4.0,-33.5,0.8,33.5,0.8695652173913043,115.5,0.8695652173913043,115.5,0.8,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,7.0,16.0,1.0,20181010041303.0,21077.0
15,,,4.0,-33.5,0.8,33.5,0.8695652173913043,115.5,0.8,115.5,0.8695652173913043,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,7.0,8.0,1.0,20181010041311.0,21077.0
16,,,4.0,-32.5,0.8,32.5,0.8695652173913043,115.5,0.8,115.5,0.8695652173913043,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,7.0,8.0,1.0,20181010041315.0,11077.0
17,,,4.0,-32.5,0.8,32.5,0.8695652173913043,114.5,0.8333333333333334,114.5,0.8333333333333334,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,6.0,58.0,0.0,20181010041322.0,11077.0
18,,,4.0,-32.5,0.8,32.5,0.8695652173913043,114.5,0.8333333333333334,114.5,0.8333333333333334,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,6.0,58.0,1.0,20181010041342.0,11077.0
19,,,4.0,-32.5,0.8,32.5,0.8695652173913043,114.5,0.7692307692307693,114.5,0.9090909090909091,,,1,7.0,11.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,31.0,54,0,1,6.0,49.0,1.0,20181010041350.0,11077.0
20,,,4.0,-31.5,0.8,31.5,0.8695652173913043,115.5,0.9090909090909091,115.5,0.7692307692307693,,^,1,7.0,12.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,33.0,60,0,1,6.0,44.0,1.0,20181010041355.0,11074^21077
21,,,4.0,-31.5,0.8,31.5,0.8695652173913043,115.5,0.8333333333333334,115.5,0.8333333333333334,,,1,7.0,12.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,33.0,60,0,1,6.0,35.0,1.0,20181010041404.0,21077.0
22,,,4.0,-31.5,0.8,31.5,0.8695652173913043,114.5,0.9090909090909091,114.5,0.7692307692307693,,,1,7.0,12.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,33.0,60,0,1,6.0,27.0,1.0,20181010041412.0,21077.0
23,,,4.0,-31.5,0.8695652173913043,31.5,0.8,114.5,0.8333333333333334,114.5,0.8333333333333334,,,1,7.0,12.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,33.0,60,0,1,6.0,19.0,1.0,20181010041420.0,21077.0
24,,,4.0,-31.5,0.8695652173913043,31.5,0.8,114.5,0.8,114.5,0.8695652173913043,,,1,7.0,12.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,33.0,60,0,1,6.0,18.0,0.0,20181010041421.0,21077.0
25,,,4.0,-30.5,0.8695652173913043,30.5,0.8,114.5,0.8,114.5,0.8695652173913043,,,1,7.0,12.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,33.0,60,0,1,6.0,18.0,0.0,20181010041429.0,11077.0
26,,,4.0,-30.5,0.8695652173913043,30.5,0.8,114.5,0.8,114.5,0.8695652173913043,,,1,7.0,12.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,33.0,60,0,1,6.0,18.0,1.0,20181010041437.0,11077.0
27,,,4.0,-30.5,0.9090909090909091,30.5,0.7692307692307693,113.5,0.9090909090909091,113.5,0.7692307692307693,,,1,7.0,12.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,33.0,60,0,1,6.0,9.0,1.0,20181010041445.0,11077.0
28,,,4.0,-30.5,0.9090909090909091,30.5,0.7692307692307693,113.5,0.8,113.5,0.8695652173913043,,,1,7.0,12.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,33.0,60,0,1,6.0,1.0,1.0,20181010041454.0,11077.0
29,,,4.0,-29.5,0.9090909090909091,29.5,0.7692307692307693,115.5,0.8,115.5,0.8695652173913043,,^,1,7.0,13.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,35.0,60,0,1,6.0,0.0,1.0,20181010041455.0,11074^21077
30,,,4.0,-29.5,0.9090909090909091,29.5,0.7692307692307693,114.5,0.9090909090909091,114.5,0.7692307692307693,,,1,7.0,13.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,35.0,60,0,1,5.0,51.0,1.0,20181010041504.0,21077.0
31,,,4.0,-28.5,0.7692307692307693,28.5,0.9090909090909091,114.5,0.8333333333333334,114.5,0.8333333333333334,,,1,7.0,13.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,35.0,60,0,1,5.0,43.0,1.0,20181010041512.0,21077.0
32,,,4.0,-29.5,0.7692307692307693,29.5,0.9090909090909091,116.5,0.8,116.5,0.8695652173913043,,^,1,7.0,13.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,35.0,62,0,1,5.0,41.0,1.0,20181010041514.0,21074^11077
33,,,4.0,-29.5,0.7692307692307693,29.5,0.9090909090909091,115.5,0.9090909090909091,115.5,0.7692307692307693,,,1,7.0,13.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,35.0,62,0,1,5.0,32.0,1.0,20181010041522.0,11077.0
34,,,4.0,-28.5,0.7692307692307693,28.5,0.9090909090909091,117.5,0.9090909090909091,117.5,0.7692307692307693,,^,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,32.0,1.0,20181010041523.0,11074^21077
35,,,4.0,-28.5,0.7692307692307693,28.5,0.9090909090909091,117.5,0.9090909090909091,117.5,0.7692307692307693,,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,32.0,1.0,20181010041524.0,21077.0
