,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,163.5,0.8,163.5,0.8695652173913043,,,8,7,18.0,22.0,11.0,12.0,1,4.0,5.0,5.0,61.1,54.5,71,77,0,1,3.0,21.0,0,20181012034358,21078,0.16666666666666666,3.5
1,,,4.0,-5.5,0.8695652173913043,5.5,0.8,163.5,0.8695652173913043,163.5,0.8,,1:1^,8,7,18.0,22.0,11.0,13.0,1,4.0,5.0,5.0,61.1,56.5,71,78,0,1,3.0,21.0,0,20181012034431.0,21079^11077,0.15384615384615385,3.75
2,,,4.0,-5.5,0.8695652173913043,5.5,0.8,163.5,0.8695652173913043,163.5,0.8,,,8,7,18.0,22.0,11.0,13.0,1,4.0,5.0,5.0,61.1,56.5,71,78,0,1,3.0,21.0,1.0,20181012034431.0,11077.0,0.15384615384615385,3.75
3,,,4.0,-5.5,0.8695652173913043,5.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,5.0,5.0,61.1,56.5,71,78,0,1,3.0,20.0,0.0,20181012034432.0,11077.0,0.15384615384615385,3.75
4,,,4.0,-5.5,0.8695652173913043,5.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,20.0,0.0,20181012034432.0,21077.0,0.15384615384615385,3.75
5,,,4.0,-5.5,0.7692307692307693,5.5,0.9090909090909091,164.5,0.7692307692307693,164.5,0.9090909090909091,,1:1,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,20.0,0.0,20181012034442.0,21078.0,0.11764705882352941,4.75
6,,,4.0,-5.5,0.7692307692307693,5.5,0.9090909090909091,164.5,0.7692307692307693,164.5,0.9090909090909091,,1:1,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,20.0,1.0,20181012034458.0,21078.0,0.11764705882352941,4.75
7,,,4.0,-5.5,0.7692307692307693,5.5,0.9090909090909091,163.5,1.0,163.5,0.7142857142857143,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,11.0,1.0,20181012034506.0,11077.0,0.11764705882352941,4.75
8,,,4.0,-5.5,0.7692307692307693,5.5,0.9090909090909091,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,3.0,1.0,20181012034514.0,11077.0,0.09090909090909091,5.75
9,,,4.0,-5.5,0.7692307692307693,5.5,0.9090909090909091,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,3.0,1.0,20181012034522.0,11077.0,0.09090909090909091,5.75
10,,,4.0,-5.5,0.7692307692307693,5.5,0.9090909090909091,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,47.0,1.0,20181012034530.0,21077.0,0.125,4.5
11,,,4.0,-5.5,0.7692307692307693,5.5,0.9090909090909091,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,39.0,1.0,20181012034538.0,21077.0,0.11764705882352941,4.75
12,,,4.0,-5.5,0.7692307692307693,5.5,0.9090909090909091,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,31.0,1.0,20181012034546.0,21095.0,0.10526315789473684,5.25
13,,,4.0,-4.5,0.8,4.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,31.0,1.0,20181012034547.0,11077.0,0.15384615384615385,3.75
14,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,22.0,1.0,20181012034555.0,11077.0,0.15384615384615385,3.75
15,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,14.0,1.0,20181012034604.0,11077.0,0.14285714285714285,4.0
16,,,4.0,-5.5,0.8,5.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,13.0,1.0,20181012034604.0,21077.0,0.09090909090909091,5.75
17,,,4.0,-5.5,0.8,5.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,3.0,4.0,1.0,20181012034613.0,21077.0,0.09090909090909091,5.75
18,,,4.0,-5.5,0.0,5.5,0.0,163.5,0.8333333333333334,163.5,0.8333333333333334,3.0,,8,7,18.0,22.0,11.0,13.0,1,4.0,6.0,5.0,61.1,56.5,71,78,0,1,1.0,56.0,1.0,20181012034621.0,21077.0,0.07142857142857142,6.5
