,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,1.5,0.0,-1.5,0.0,,,,8,8,,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,92,0,1,1.0,10.0,0,20181012041844,21081
1,,,4.0,1.5,0.0,-1.5,0.0,,,,8,8,,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,92,0,1,1.0,10.0,1.0,20181012042014.0,21077.0
2,,,4.0,1.5,0.0,-1.5,0.0,,,,8,8,,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,92,0,1,1.0,9.0,1.0,20181012042014.0,21077.0
3,,,4.0,1.5,0.0,-1.5,0.0,,,,8,8,,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,92,0,1,1.0,2.0,1.0,20181012042017.0,11077.0
4,,,4.0,1.5,0.0,-1.5,0.0,,,,8,8,,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,92,0,1,0.0,56.0,1.0,20181012042023.0,21077.0
5,,,4.0,1.5,0.0,-1.5,0.0,,,,8,8,,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,92,0,1,0.0,55.0,1.0,20181012042024.0,21077.0
6,,,4.0,1.5,0.0,-1.5,0.0,,,,8,8,,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,92,0,1,0.0,47.0,1.0,20181012042032.0,21077.0
7,,,4.0,-1.5,0.0,1.5,0.0,,^,,8,8,29.0,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,94,0,1,0.0,45.0,1.0,20181012042034.0,21074^11077
8,,,4.0,-1.5,0.0,1.5,0.0,,,,8,8,29.0,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,94,0,1,0.0,43.0,1.0,20181012042036.0,11077.0
9,,,4.0,-1.5,0.0,1.5,0.0,,,,8,8,29.0,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,94,0,1,0.0,34.0,1.0,20181012042044.0,11077.0
10,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,8,8,29.0,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,94,0,1,0.0,27.0,1.0,20181012042052.0,11077.0
11,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,8,8,29.0,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,94,0,1,0.0,22.0,1.0,20181012042057.0,11077.0
12,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,8,8,29.0,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,94,0,1,0.0,21.0,1.0,20181012042058.0,11077.0
13,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,8,8,29.0,30,28,,14,12,,2,-3,,2,4,,87.5,66.7,93,94,0,1,0.0,13.0,1.0,20181012042106.0,21077.0
