,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,14.5,0.8,-14.5,0.8695652173913043,211.5,0.8695652173913043,211.5,0.8,,,,15.0,4.0,18.0,25.0,10.0,13.0,4.0,2.0,0.0,2.0,83.3,81.2,90,75,0,1,10.0,2.0,0,20181013022017,11077,9.5,0.025
1,,,4.0,14.5,0.8,-14.5,0.8695652173913043,211.5,0.8695652173913043,211.5,0.8,,,,15.0,4.0,18.0,25.0,10.0,13.0,4.0,2.0,0.0,2.0,83.3,81.2,90,75,0,1,10.0,2.0,1.0,20181013022024.0,11077,9.5,0.025
2,,,4.0,14.5,0.8,-14.5,0.8695652173913043,211.5,0.8,211.5,0.8695652173913043,,,,15.0,4.0,18.0,25.0,10.0,13.0,4.0,2.0,0.0,2.0,83.3,81.2,90,75,0,1,9.0,53.0,1.0,20181013022033.0,11077,9.5,0.025
3,,,4.0,14.5,0.8,-14.5,0.8695652173913043,210.5,0.8333333333333334,210.5,0.8333333333333334,,,,15.0,4.0,18.0,25.0,10.0,13.0,4.0,2.0,0.0,2.0,83.3,81.2,90,75,0,1,9.0,45.0,1.0,20181013022041.0,11077,10.0,0.02
4,,,4.0,15.5,0.8,-15.5,0.8695652173913043,211.5,0.8695652173913043,211.5,0.8,16.0,^,,15.0,4.0,19.0,25.0,10.0,13.0,4.0,2.0,0.0,2.0,83.3,81.2,92,75,0,1,9.0,41.0,1.0,20181013022045.0,11074^21077,11.5,0.013333333333333334
5,,,4.0,15.5,0.8,-15.5,0.8695652173913043,211.5,0.8695652173913043,211.5,0.8,16.0,,,15.0,4.0,19.0,25.0,10.0,13.0,4.0,2.0,0.0,2.0,83.3,81.2,92,75,0,1,9.0,41.0,1.0,20181013022046.0,21077.0,11.5,0.013333333333333334
6,,,4.0,15.5,0.8,-15.5,0.8695652173913043,211.5,0.8,211.5,0.8695652173913043,16.0,,,15.0,4.0,19.0,25.0,10.0,13.0,4.0,2.0,0.0,2.0,83.3,81.2,92,75,0,1,9.0,32.0,1.0,20181013022054.0,21077.0,11.5,0.013333333333333334
7,,,4.0,15.5,0.7692307692307693,-15.5,0.9090909090909091,210.5,0.8695652173913043,210.5,0.8,16.0,,,15.0,4.0,19.0,25.0,10.0,13.0,4.0,2.0,0.0,2.0,83.3,81.2,92,75,0,1,9.0,28.0,0.0,20181013022058.0,21077.0,11.5,0.013333333333333334
8,,,4.0,15.5,0.7692307692307693,-15.5,0.9090909090909091,210.5,0.8695652173913043,210.5,0.8,16.0,^,,15.0,4.0,19.0,25.0,10.0,13.0,4.0,2.0,1.0,2.0,83.3,81.2,92,75,0,1,9.0,28.0,0.0,20181013022103.0,11086^21077,11.5,0.013333333333333334
9,,,4.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,211.5,0.8695652173913043,211.5,0.8,16.0,1:2,,15.0,4.0,19.0,25.0,10.0,14.0,4.0,2.0,1.0,2.0,83.3,82.4,92,75,0,1,9.0,28.0,0.0,20181013022103.0,21078.0,10.5,0.016666666666666666
10,,,4.0,14.5,0.8,-14.5,0.8695652173913043,213.5,0.8,213.5,0.8695652173913043,16.0,2:2^,,15.0,4.0,19.0,25.0,10.0,15.0,4.0,2.0,1.0,2.0,83.3,83.3,92,77,0,1,9.0,28.0,0.0,20181013022144.0,21079^11077,10.5,0.016666666666666666
