,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,-7.5,0.8,7.5,0.8695652173913043,143.5,0.7692307692307693,143.5,0.9090909090909091,,,4.0,3.0,16.0,20.0,14.0,14.0,4.0,1.0,4.0,5.0,70.0,70.0,58.0,67,0,1,4.0,40.0,0,20181012203300,11079^11078,0.06666666666666667,6.75
1,,,4.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,2:2^,4.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,4.0,5.0,71.4,70.0,59.0,67,0,1,4.0,40.0,0,20181012203313.0,11079^21077,0.07142857142857142,6.5
2,,,4.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,2:2^,4.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,4.0,5.0,71.4,70.0,59.0,67,0,1,4.0,39.0,0,20181012203313.0,11079^21077,0.07142857142857142,6.5
3,,,4.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,4.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,4.0,5.0,71.4,70.0,59.0,67,0,1,4.0,38.0,0,20181012203317.0,21077.0,0.07142857142857142,6.5
4,,,4.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,142.5,1.0,142.5,0.7142857142857143,,,4.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,4.0,5.0,71.4,70.0,59.0,67,0,1,4.0,29.0,0,20181012203325.0,21077.0,0.07142857142857142,6.5
5,,,4.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,142.5,0.9090909090909091,142.5,0.7692307692307693,,,4.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,4.0,5.0,71.4,70.0,59.0,67,0,1,4.0,28.0,0,20181012203327.0,11077.0,0.1,5.5
6,,,4.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,142.5,0.9090909090909091,142.5,0.7692307692307693,,,4.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,4.0,5.0,71.4,70.0,59.0,67,0,1,4.0,19.0,0,20181012203327.0,11077.0,0.1,5.5
7,,,4.0,-4.5,0.8,4.5,0.8695652173913043,145.5,0.9090909090909091,145.5,0.7692307692307693,,^,5.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,4.0,5.0,71.4,70.0,62.0,67,0,1,4.0,16.0,0,20181012203339.0,11075^21077,0.2,3.3
8,,,4.0,-4.5,0.8,4.5,0.8695652173913043,145.5,0.9090909090909091,145.5,0.7692307692307693,,,5.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,4.0,5.0,71.4,70.0,62.0,67,0,1,4.0,15.0,0,20181012203340.0,21077.0,0.2,3.3
9,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,144.5,0.9090909090909091,144.5,0.7692307692307693,,,5.0,3.0,16.0,20.0,15.0,14.0,4.0,1.0,4.0,5.0,71.4,70.0,62.0,67,0,1,4.0,7.0,0.0,20181012203348.0,21077.0,0.18181818181818182,3.4
