,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,240.5,0.8333333333333334,240.5,0.8333333333333334,,,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,1.0,100.0,85.2,105,91,0,1,9.0,11.0,0,20181013015958,21081,9.5,0.025
1,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,240.5,0.8333333333333334,240.5,0.8333333333333334,,,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,1.0,100.0,85.2,105,91,0,1,9.0,11.0,0,20181013020250.0,21077.0,8.5,0.03571428571428571
2,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,240.5,0.8333333333333334,240.5,0.8333333333333334,,,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,1.0,100.0,85.2,105,91,0,1,9.0,11.0,1.0,20181013020254.0,21077.0,8.5,0.03571428571428571
3,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,239.5,0.8333333333333334,239.5,0.8333333333333334,,,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,1.0,100.0,85.2,105,91,0,1,9.0,2.0,1.0,20181013020302.0,21077.0,8.5,0.03571428571428571
4,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,238.5,0.9090909090909091,238.5,0.7692307692307693,,,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,1.0,100.0,85.2,105,91,0,1,8.0,55.0,0.0,20181013020310.0,21077.0,8.5,0.03571428571428571
5,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,238.5,0.9090909090909091,238.5,0.7692307692307693,,,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,1.0,100.0,85.2,105,91,0,1,8.0,55.0,0.0,20181013020313.0,11077.0,9.5,0.025
6,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,238.5,0.9090909090909091,238.5,0.7692307692307693,,,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,1.0,100.0,85.2,105,91,0,1,8.0,55.0,1.0,20181013020318.0,11077.0,9.5,0.025
7,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,238.5,0.8,238.5,0.8695652173913043,,,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,1.0,100.0,85.2,105,91,0,1,8.0,46.0,1.0,20181013020326.0,11077.0,9.5,0.025
8,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,237.5,0.8333333333333334,237.5,0.8333333333333334,,,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,1.0,100.0,85.2,105,91,0,1,8.0,38.0,1.0,20181013020329.0,11077.0,9.5,0.025
9,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,237.5,0.9090909090909091,237.5,0.7692307692307693,,,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,1.0,100.0,85.2,105,91,0,1,8.0,43.0,0.0,20181013020336.0,11077.0,9.5,0.025
10,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,237.5,0.9090909090909091,237.5,0.7692307692307693,,^,,16.0,6.0,23.0,25.0,11.0,23.0,3.0,3,1.0,2.0,100.0,85.2,105,91,0,1,8.0,43.0,0.0,20181013020341.0,21086^11077,9.5,0.025
11,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,239.5,0.8333333333333334,239.5,0.8333333333333334,,1:2,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,2.0,100.0,85.2,105,91,0,1,8.0,43.0,0.0,20181013020341.0,11078.0,10.0,0.02
12,,,4.0,14.5,0.8,-14.5,0.8695652173913043,238.5,0.8695652173913043,238.5,0.8,,1:2,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,2.0,100.0,85.2,105,91,0,1,8.0,43.0,1.0,20181013020421.0,11078.0,10.5,0.016666666666666666
13,,,4.0,14.5,0.8,-14.5,0.8695652173913043,238.5,0.8333333333333334,238.5,0.8333333333333334,,1:2,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,2.0,100.0,85.2,105,91,0,1,8.0,40.0,1.0,20181013020423.0,11078.0,10.5,0.016666666666666666
14,,,4.0,13.5,0.8,-13.5,0.8695652173913043,238.5,0.8333333333333334,238.5,0.8333333333333334,,,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,2.0,100.0,85.2,105,91,0,1,8.0,31.0,1.0,20181013020432.0,21077.0,9.5,0.025
15,,,4.0,13.5,0.8,-13.5,0.8695652173913043,238.5,0.7692307692307693,238.5,0.9090909090909091,,,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,2.0,100.0,85.2,105,91,0,1,8.0,23.0,1.0,20181013020440.0,21077.0,9.5,0.025
16,,,4.0,14.5,0.8,-14.5,0.8695652173913043,236.5,0.8695652173913043,236.5,0.8,,,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,2.0,100.0,85.2,105,91,0,1,8.0,22.0,1.0,20181013020441.0,11077.0,11.0,0.015151515151515152
17,,,4.0,14.5,0.8,-14.5,0.8695652173913043,236.5,0.8333333333333334,236.5,0.8333333333333334,,,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,2.0,100.0,85.2,105,91,0,1,8.0,18.0,1.0,20181013020446.0,11077.0,11.0,0.015151515151515152
18,,,4.0,13.5,0.8,-13.5,0.8695652173913043,236.5,0.8333333333333334,236.5,0.8333333333333334,,,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,2.0,100.0,85.2,105,91,0,1,8.0,17.0,1.0,20181013020446.0,21077.0,10.0,0.02
19,,,4.0,13.5,0.7692307692307693,-13.5,0.9090909090909091,236.5,0.7692307692307693,236.5,0.9090909090909091,,,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,2.0,100.0,85.2,105,91,0,1,8.0,12.0,0.0,20181013020451.0,21077.0,10.0,0.02
20,,,4.0,14.5,0.8,-14.5,0.8695652173913043,235.5,0.9090909090909091,235.5,0.7692307692307693,,^,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,105,91,0,1,8.0,12.0,0.0,20181013020456.0,21086^11077,11.0,0.015151515151515152
21,,,4.0,14.5,0.8,-14.5,0.8695652173913043,235.5,0.9090909090909091,235.5,0.7692307692307693,,,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,105,91,0,1,8.0,12.0,1.0,20181013020531.0,11077.0,11.0,0.015151515151515152
22,,,4.0,14.5,0.7692307692307693,-14.5,0.9090909090909091,235.5,0.8,235.5,0.8695652173913043,,,,16.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,105,91,0,1,8.0,3.0,1.0,20181013020540.0,11077.0,11.5,0.013333333333333334
23,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,237.5,0.8,237.5,0.8695652173913043,15.0,^,,17.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,57.0,1.0,20181013020547.0,11075^21077,16.0,0.005
24,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,236.5,0.8333333333333334,236.5,0.8333333333333334,15.0,,,17.0,6.0,23.0,25.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,48.0,1.0,20181013020556.0,21077.0,16.0,0.005
25,,,4.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,236.5,0.8333333333333334,236.5,0.8333333333333334,15.0,,,17.0,6.0,23.0,26.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,48.0,1.0,20181013020556.0,11077.0,16.0,0.005
26,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,236.5,0.8695652173913043,236.5,0.8,15.0,,,17.0,6.0,23.0,26.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,46.0,1.0,20181013020601.0,21077.0,12.0,0.0125
27,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,237.5,0.8695652173913043,237.5,0.8,15.0,,,17.0,6.0,23.0,26.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,35.0,1.0,20181013020609.0,21077.0,13.0,0.011111111111111112
28,,,4.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,237.5,0.8,237.5,0.8695652173913043,15.0,,,17.0,6.0,23.0,26.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,29.0,1.0,20181013020615.0,11077.0,15.0,0.006666666666666667
29,,,4.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,236.5,0.8333333333333334,236.5,0.8333333333333334,15.0,,,17.0,6.0,23.0,26.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,20.0,1.0,20181013020623.0,11077.0,15.0,0.006666666666666667
30,,,4.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,236.5,0.8333333333333334,236.5,0.8333333333333334,15.0,,,17.0,6.0,23.0,26.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,20.0,1.0,20181013020623.0,11094.0,15.0,0.006666666666666667
31,,,4.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,236.5,0.7692307692307693,236.5,0.9090909090909091,15.0,,,17.0,6.0,23.0,26.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,16.0,1.0,20181013020628.0,11094.0,15.0,0.006666666666666667
32,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,236.5,0.7692307692307693,236.5,0.9090909090909091,15.0,^,,17.0,6.0,23.0,27.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,16.0,1.0,20181013020628.0,21077.0,14.0,0.01
33,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,237.5,0.7692307692307693,237.5,0.9090909090909091,15.0,,,17.0,6.0,23.0,27.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,7.0,3.0,1.0,20181013020641.0,11077.0,14.0,0.01
34,,,4.0,12.5,0.9090909090909091,-12.5,0.7692307692307693,236.5,0.9090909090909091,236.5,0.7692307692307693,15.0,,,17.0,6.0,23.0,27.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,109,91,0,1,6.0,55.0,1.0,20181013020649.0,11077.0,11.5,0.013333333333333334
35,,,4.0,14.5,0.8,-14.5,0.8695652173913043,238.5,0.8333333333333334,238.5,0.8333333333333334,15.0,^,,18.0,6.0,23.0,27.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,112,95,0,1,6.0,47.0,1.0,20181013020657.0,11075^21077,16.0,0.005
36,,,4.0,14.5,0.8,-14.5,0.8695652173913043,238.5,0.7692307692307693,238.5,0.9090909090909091,15.0,,,18.0,6.0,23.0,27.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,112,95,0,1,6.0,41.0,0.0,20181013020703.0,21077.0,16.0,0.005
37,,,4.0,14.5,0.8,-14.5,0.8695652173913043,238.5,0.8,238.5,0.8695652173913043,15.0,,,18.0,6.0,23.0,27.0,12.0,23.0,3.0,3,1.0,3.0,100.0,85.2,112,95,0,1,6.0,43.0,0.0,20181013020707.0,21077.0,16.0,0.005
38,,,4.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,237.5,0.9090909090909091,237.5,0.7692307692307693,15.0,^,,18.0,6.0,23.0,27.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,95,0,1,6.0,39.0,0.0,20181013020714.0,11086^21077,16.0,0.005
39,,,4.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,237.5,0.9090909090909091,237.5,0.7692307692307693,15.0,^,,18.0,6.0,23.0,27.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,95,0,1,6.0,39.0,1.0,20181013020727.0,11086^21077,16.0,0.005
40,,,4.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,237.5,0.8,237.5,0.8695652173913043,15.0,^,,18.0,6.0,23.0,27.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,95,0,1,6.0,30.0,1.0,20181013020735.0,11086^21077,17.0,0.004
41,,,4.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,236.5,0.8333333333333334,236.5,0.8333333333333334,15.0,^,,18.0,6.0,23.0,27.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,95,0,1,6.0,22.0,1.0,20181013020744.0,11086^21077,17.0,0.004
42,,,4.0,12.5,0.9090909090909091,-12.5,0.7692307692307693,240.5,0.7692307692307693,240.5,0.9090909090909091,15.0,^,,18.0,7.0,23.0,27.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,98,0,1,6.0,19.0,1.0,20181013020746.0,21075^11077,13.0,0.011111111111111112
43,,,4.0,12.5,0.8695652173913043,-12.5,0.8,239.5,0.9090909090909091,239.5,0.7692307692307693,15.0,,,18.0,7.0,23.0,27.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,98,0,1,6.0,18.0,1.0,20181013020748.0,11077.0,13.0,0.011111111111111112
44,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,238.5,0.8,238.5,0.8695652173913043,15.0,,,18.0,7.0,23.0,27.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,97,0,1,6.0,14.0,1.0,20181013020751.0,11077.0,15.0,0.006666666666666667
45,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,238.5,0.7692307692307693,238.5,0.9090909090909091,15.0,,,18.0,7.0,23.0,27.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,97,0,1,6.0,13.0,0.0,20181013020753.0,11077.0,15.0,0.006666666666666667
46,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,238.5,0.7692307692307693,238.5,0.9090909090909091,15.0,,,18.0,7.0,23.0,27.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,97,0,1,6.0,13.0,1.0,20181013020755.0,11077.0,15.0,0.006666666666666667
47,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,238.5,0.7692307692307693,238.5,0.9090909090909091,15.0,,,18.0,7.0,23.0,27.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,97,0,1,6.0,6.0,1.0,20181013020755.0,11077.0,14.0,0.01
48,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,238.5,0.7692307692307693,238.5,0.9090909090909091,15.0,^,,18.0,6.0,23.0,29.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,97,0,1,6.0,6.0,1.0,20181013020755.0,21077.0,14.0,0.01
49,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,238.5,0.7692307692307693,238.5,0.9090909090909091,15.0,,,18.0,6.0,23.0,29.0,12.0,23.0,3.0,3,2.0,3.0,100.0,85.2,112,97,0,1,5.0,54.0,0.0,20181013020813.0,11077.0,11.5,0.013333333333333334
50,44.0,5.0,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,238.5,0.7692307692307693,238.5,0.9090909090909091,15.0,,,18.0,6.0,23.0,29.0,12.0,23.0,2.0,3,2.0,3.0,100.0,85.2,112,97,0,1,5.0,54.0,0.0,20181013020817.0,11081.0,11.5,0.013333333333333334
51,44.0,5.0,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,238.5,0.8,238.5,0.8695652173913043,15.0,,,18.0,6.0,23.0,29.0,12.0,23.0,2.0,3,2.0,3.0,100.0,85.2,112,97,0,1,5.0,55.0,0.0,20181013020823.0,11081.0,11.5,0.013333333333333334
