,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-42.5,0.8695652173913043,42.5,0.8,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,4.0,5.0,1,20181013022017,11077
1,4.0,-42.5,0.8695652173913043,42.5,0.8,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,4.0,5.0,1,20181013022021.0,21077.0
2,4.0,-42.5,0.9090909090909091,42.5,0.7692307692307693,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,3.0,56.0,0.0,20181013022026.0,21077.0
3,4.0,-42.5,0.9090909090909091,42.5,0.7692307692307693,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,3.0,56.0,1.0,20181013022042.0,21077.0
4,4.0,-42.5,0.9090909090909091,42.5,0.7692307692307693,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,3.0,47.0,1.0,20181013022051.0,21077.0
5,4.0,-42.5,0.9090909090909091,42.5,0.7692307692307693,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,3.0,39.0,1.0,20181013022059.0,21077.0
6,4.0,-42.5,1.0,42.5,0.7142857142857143,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,3.0,35.0,0.0,20181013022104.0,21077.0
7,4.0,-42.5,1.0,42.5,0.7142857142857143,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,3.0,35.0,1.0,20181013022115.0,21077.0
8,4.0,-40.5,1.0,40.5,0.7142857142857143,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,3.0,30.0,1.0,20181013022119.0,11077.0
9,4.0,-39.5,0.7142857142857143,39.5,1.0,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,3.0,24.0,0.0,20181013022125.0,11077.0
10,4.0,-39.5,0.7142857142857143,39.5,1.0,,,,3,10,,17,23,,3,11,3,5,,0,0,,42.9,68.8,46,87,0,1,3.0,24.0,0.0,20181013022135.0,11095.0
11,4.0,-39.5,0.7142857142857143,39.5,1.0,,^,,3,10,,17,23,,3,11,3,5,1.0,0,0,,42.9,68.8,46,87,0,1,3.0,24.0,0.0,20181013022135.0,21086^11077
12,4.0,-40.5,0.8695652173913043,40.5,0.8,,1:2^2:2,,3,10,,17,23,,3,11,3,5,1.0,0,0,37.5,42.9,68.8,46,87,0,1,3.0,24.0,0.0,20181013022148.0,11080^11078
13,4.0,-39.5,0.7142857142857143,39.5,1.0,,2:2^,,3,10,,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,49,87,0,1,3.0,24.0,0.0,20181013022155.0,11079^21077
14,4.0,-39.5,0.7142857142857143,39.5,1.0,,,,3,10,,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,49,87,0,1,3.0,24.0,1.0,20181013022155.0,21077.0
15,4.0,-39.5,0.7692307692307693,39.5,0.9090909090909091,,,,3,10,,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,49,87,0,1,3.0,15.0,1.0,20181013022203.0,21077.0
16,4.0,-39.5,0.7692307692307693,39.5,0.9090909090909091,,,,3,10,,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,49,87,0,1,3.0,7.0,1.0,20181013022211.0,21077.0
17,4.0,-38.5,0.7692307692307693,38.5,0.9090909090909091,,,,3,10,,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,49,87,0,1,3.0,7.0,1.0,20181013022212.0,11077.0
18,4.0,-38.5,0.0,38.5,0.0,2.0,,,3,10,,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,49,87,0,1,2.0,58.0,1.0,20181013022220.0,11077.0
19,4.0,-37.5,0.0,37.5,0.0,2.0,^,,3,10,19.0,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,51,87,0,1,2.0,59.0,1.0,20181013022221.0,11074^21077
20,4.0,-37.5,0.0,37.5,0.0,2.0,,,3,10,19.0,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,51,87,0,1,2.0,50.0,1.0,20181013022229.0,21077.0
21,4.0,-36.5,0.0,36.5,0.0,2.0,,,3,10,19.0,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,51,87,0,1,2.0,50.0,1.0,20181013022234.0,11077.0
22,4.0,-36.5,0.0,36.5,0.0,2.0,,,3,10,19.0,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,51,87,0,1,2.0,37.0,1.0,20181013022242.0,11077.0
23,4.0,-36.5,0.0,36.5,0.0,2.0,,,3,10,19.0,17,23,4.0,3,11,3,5,1.0,0,0,44.4,42.9,68.8,51,87,0,1,2.0,29.0,1.0,20181013022250.0,11077.0
