,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,,,,,4.0,2.0,11.0,14.0,7.0,4.0,3.0,3.0,1.0,0.0,87.5,80.0,41,38,0,1,7.0,36.0,0,20181013021944,11086^21078,0.7142857142857143,1.0
1,,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,154.5,0.8695652173913043,154.5,0.8,,,,,4.0,2.0,11.0,14.0,7.0,4.0,3.0,3.0,1.0,0.0,87.5,80.0,41,39,0,1,7.0,36.0,0,20181013022037.0,11086^21078,0.6666666666666666,1.1
2,,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,154.5,0.8695652173913043,154.5,0.8,,,1:1,,4.0,2.0,11.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,7.0,36.0,1.0,20181013022039.0,21079.0,0.6666666666666666,1.1
3,,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,,,1:1,,4.0,2.0,11.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,7.0,31.0,1.0,20181013022044.0,21079.0,0.7142857142857143,1.0
4,,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,154.5,0.8333333333333334,154.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,7.0,31.0,1.0,20181013022044.0,11077.0,0.7142857142857143,1.0
5,,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,155.5,0.8695652173913043,155.5,0.8,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,7.0,20.0,1.0,20181013022055.0,21077.0,0.7142857142857143,1.0
6,,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,155.5,0.8333333333333334,155.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,7.0,11.0,1.0,20181013022103.0,21077.0,0.7142857142857143,1.0
7,,,,3.0,1.5,0.8,-1.5,0.8695652173913043,154.5,0.8695652173913043,154.5,0.8,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,7.0,6.0,1.0,20181013022109.0,11077.0,0.9090909090909091,0.7692307692307693
8,,,,3.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,154.5,0.8,154.5,0.8695652173913043,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,6.0,58.0,1.0,20181013022117.0,21077.0,0.8,0.8695652173913043
9,,,,3.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,154.5,0.8,154.5,0.8695652173913043,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,6.0,57.0,1.0,20181013022117.0,21077.0,0.8,0.8695652173913043
10,,,,3.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,153.5,0.8333333333333334,153.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,6.0,52.0,0.0,20181013022123.0,21077.0,0.8,0.8695652173913043
11,,,,3.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,153.5,0.8333333333333334,153.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,6.0,52.0,0.0,20181013022126.0,21077.0,0.8,0.8695652173913043
12,,,,3.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,153.5,0.8333333333333334,153.5,0.8333333333333334,,,1:2,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,1.0,0.0,87.5,83.3,41,39,0,1,6.0,52.0,0.0,20181013022126.0,11086.0,0.8,0.8695652173913043
13,,,,3.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,153.5,0.8333333333333334,153.5,0.8333333333333334,,,^1:2,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,0.0,87.5,83.3,41,39,0,1,6.0,52.0,0.0,20181013022132.0,11086^21078,0.8,0.8695652173913043
14,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,153.5,0.8333333333333334,153.5,0.8333333333333334,,,^1:2,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,0.0,87.5,83.3,41,39,0,1,6.0,52.0,0.0,20181013022151.0,11086^21078,0.8333333333333334,0.8333333333333334
15,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,153.5,0.8333333333333334,153.5,0.8333333333333334,,,1:2^2:2,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,0.0,87.5,71.4,41,39,0,1,6.0,52.0,0.0,20181013022151.0,21080^21078,0.8333333333333334,0.8333333333333334
16,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,153.5,0.8333333333333334,153.5,0.8333333333333334,,,1:2^2:2,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,0.0,87.5,71.4,41,39,0,1,6.0,52.0,1.0,20181013022212.0,21080^21078,0.8333333333333334,0.8333333333333334
17,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,153.5,0.8333333333333334,153.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,0.0,87.5,71.4,41,39,0,1,6.0,48.0,1.0,20181013022215.0,11077.0,0.8333333333333334,0.8333333333333334
18,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,153.5,0.8695652173913043,153.5,0.8,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,0.0,87.5,71.4,41,39,0,1,6.0,41.0,0.0,20181013022223.0,11077.0,0.8333333333333334,0.8333333333333334
19,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,153.5,0.8695652173913043,153.5,0.8,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,0.0,87.5,71.4,41,39,0,1,6.0,41.0,0.0,20181013022229.0,21086.0,0.8333333333333334,0.8333333333333334
20,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,153.5,0.8695652173913043,153.5,0.8,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,0.0,87.5,71.4,41,39,0,1,6.0,41.0,0.0,20181013022232.0,21086.0,0.8333333333333334,0.8333333333333334
21,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,153.5,0.8695652173913043,153.5,0.8,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,41.0,0.0,20181013022233.0,21086.0,0.8333333333333334,0.8333333333333334
22,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,153.5,0.8695652173913043,153.5,0.8,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,41.0,1.0,20181013022241.0,21086.0,0.8333333333333334,0.8333333333333334
23,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,153.5,0.8333333333333334,153.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,32.0,1.0,20181013022249.0,21086.0,0.8333333333333334,0.8333333333333334
24,,,,3.0,1.5,0.7142857142857143,-1.5,1.0,152.5,0.8333333333333334,152.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,25.0,1.0,20181013022256.0,11077.0,0.8333333333333334,0.8333333333333334
25,,,,3.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,152.5,0.8333333333333334,152.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,25.0,1.0,20181013022257.0,21077.0,0.7142857142857143,1.0
26,,,,3.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,152.5,0.8333333333333334,152.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,24.0,0.0,20181013022257.0,21077.0,0.7142857142857143,1.0
27,,,,3.0,1.5,1.0,-1.5,0.7142857142857143,152.5,0.8333333333333334,152.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,24.0,0.0,20181013022300.0,21077.0,0.8333333333333334,0.8333333333333334
28,,,,3.0,1.5,1.0,-1.5,0.7142857142857143,152.5,0.8333333333333334,152.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,24.0,1.0,20181013022316.0,21077.0,0.8333333333333334,0.8333333333333334
29,,,,3.0,1.5,1.0,-1.5,0.7142857142857143,152.5,0.8,152.5,0.8695652173913043,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,19.0,0.0,20181013022322.0,21077.0,0.8333333333333334,0.8333333333333334
30,,,,3.0,1.5,1.0,-1.5,0.7142857142857143,152.5,0.8,152.5,0.8695652173913043,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,19.0,1.0,20181013022336.0,21077.0,0.8333333333333334,0.8333333333333334
31,,,,3.0,1.5,1.0,-1.5,0.7142857142857143,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,10.0,1.0,20181013022345.0,21077.0,0.8333333333333334,0.8333333333333334
32,,,,3.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,151.5,0.8,151.5,0.8695652173913043,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,6.0,5.0,1.0,20181013022350.0,21077.0,0.7142857142857143,1.0
33,,,,3.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,5.0,59.0,0.0,20181013022356.0,21077.0,0.7142857142857143,1.0
34,,,,3.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,,,4.0,2.0,12.0,14.0,7.0,5.0,3.0,3.0,2.0,1.0,87.5,71.4,41,39,0,1,5.0,59.0,0.0,20181013022359.0,11086.0,0.7142857142857143,1.0
