,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,2.5,0.9090909090909091,-2.5,0.7692307692307693,132.5,0.7692307692307693,132.5,0.9090909090909091,,,,1.0,3.0,20.0,13.0,7.0,9.0,4.0,0.0,4.0,5.0,63.6,60.0,50,44,0,1,0.0,14.0,0,20181013041956,21081,1.55,0.47619047619047616
1,,,3.0,2.5,0.9090909090909091,-2.5,0.7692307692307693,132.5,0.7692307692307693,132.5,0.9090909090909091,,,,1.0,3.0,20.0,13.0,7.0,9.0,4.0,0.0,4.0,5.0,63.6,60.0,50,44,0,1,0.0,14.0,1.0,20181013042143.0,21077.0,1.55,0.47619047619047616
2,,,3.0,2.5,0.9090909090909091,-2.5,0.7692307692307693,132.5,0.7692307692307693,132.5,0.9090909090909091,,,,1.0,3.0,20.0,13.0,7.0,9.0,4.0,0.0,4.0,5.0,63.6,60.0,50,44,0,1,0.0,13.0,1.0,20181013042143.0,21077.0,1.55,0.47619047619047616
3,,,3.0,2.5,0.7692307692307693,-2.5,0.9090909090909091,133.5,0.8695652173913043,133.5,0.8,,^,,1.0,3.0,20.0,14.0,7.0,9.0,4.0,0.0,4.0,5.0,63.6,60.0,50,46,0,1,0.0,6.0,1.0,20181013042151.0,21074^11077,1.25,0.5714285714285714
4,,,3.0,2.5,0.7692307692307693,-2.5,0.9090909090909091,133.5,0.8695652173913043,133.5,0.8,,,,1.0,3.0,20.0,14.0,7.0,9.0,4.0,0.0,4.0,5.0,63.6,60.0,50,46,0,1,0.0,5.0,1.0,20181013042151.0,11077.0,1.25,0.5714285714285714
5,,,3.0,1.5,0.8695652173913043,-1.5,0.8,133.5,0.8333333333333334,133.5,0.8333333333333334,,,,1.0,3.0,20.0,14.0,7.0,9.0,4.0,0.0,4.0,5.0,63.6,60.0,50,46,0,1,0.0,0.0,0.0,20181013042157.0,11077.0,1.25,0.5714285714285714
6,,,3.0,1.5,0.8695652173913043,-1.5,0.8,133.5,0.8333333333333334,133.5,0.8333333333333334,,,,1.0,3.0,20.0,14.0,7.0,9.0,4.0,0.0,4.0,5.0,63.6,60.0,50,46,0,1,0.0,0.0,0.0,20181013042158.0,11077.0,1.25,0.5714285714285714
7,,,3.0,1.5,0.8695652173913043,-1.5,0.8,133.5,0.8333333333333334,133.5,0.8333333333333334,,,0.0,1.0,3.0,20.0,14.0,7.0,9.0,4.0,0.0,4.0,0.0,63.6,60.0,50,46,0,1,0.0,0.0,0.0,20181013042158.0,1082.0,1.25,0.5714285714285714
8,,,3.0,1.5,0.8695652173913043,-1.5,0.8,133.5,0.8333333333333334,133.5,0.8333333333333334,,,0.0,1.0,3.0,20.0,14.0,7.0,9.0,4.0,0.0,4.0,0.0,63.6,60.0,50,46,0,1,0.0,0.0,0.0,20181013042208.0,1082.0,1.25,0.5714285714285714
9,,,3.0,1.5,0.8695652173913043,-1.5,0.8,133.5,0.8333333333333334,133.5,0.8333333333333334,,^,0.0,1.0,3.0,20.0,14.0,7.0,9.0,4.0,0.0,4.0,0.0,63.6,60.0,50,46,0,1,0.0,0.0,1.0,20181013042208.0,01090^21077,1.25,0.5714285714285714
