,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,3.0,-25.5,0.7692307692307693,25.5,0.9090909090909091,161.5,0.8,161.5,0.8695652173913043,,,,2.0,7,14.0,16.0,9.0,13.0,3.0,3.0,8.0,5.0,56.2,65.0,43,66.0,0,1,2.0,57.0,0,20181012181923,21078
1,,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,,1:2^2:2,,2.0,7,14.0,16.0,9.0,13.0,3.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,57.0,0,20181012181956.0,21080^21078
2,,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,,1:2^2:2,,2.0,7,14.0,16.0,9.0,13.0,3.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,57.0,0,20181012182009.0,21080^21078
3,,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,159.5,0.8695652173913043,159.5,0.8,,1:2^2:2,,2.0,7,14.0,16.0,9.0,13.0,3.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,55.0,0.0,20181012182011.0,21080^21078
4,,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,159.5,0.8695652173913043,159.5,0.8,,1:2^2:2,,2.0,7,14.0,16.0,9.0,13.0,3.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,55.0,1.0,20181012182018.0,21080^21078
5,,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,,1:2^2:2,,2.0,7,14.0,16.0,9.0,13.0,3.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,46.0,1.0,20181012182027.0,21080^21078
6,,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,159.5,0.8,159.5,0.8695652173913043,,,,2.0,7,14.0,16.0,9.0,13.0,3.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,44.0,1.0,20181012182030.0,21094.0
7,,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,159.5,0.8,159.5,0.8695652173913043,,,,2.0,7,14.0,16.0,9.0,13.0,3.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,36.0,1.0,20181012182037.0,11077.0
8,,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,159.5,0.8,159.5,0.8695652173913043,,,,2.0,7,14.0,17.0,9.0,13.0,3.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,36.0,1.0,20181012182037.0,11077.0
9,,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,159.5,0.8,159.5,0.8695652173913043,8.0,,,2.0,7,14.0,17.0,9.0,13.0,3.0,3.0,8.0,5.0,56.2,61.9,43,66.0,0,1,2.0,29.0,0.0,20181012182044.0,11077.0
