,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-29.5,0.8695652173913043,29.5,0.8,,,,,6,24,,26,22,,31,17,,2,3,,3,5,,88.6,73.9,,105,135,0,1,4.0,25.0,0,20181013034213,21080^21078
1,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,,2:2^,,,6,24,,26,22,,31,17,,2,3,,3,5,70.8,88.6,73.9,,105,135,0,1,4.0,25.0,1.0,20181013034233.0,21080^11077
2,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,,,,,6,24,,26,22,,31,17,,2,3,,3,5,70.8,88.6,73.9,,105,135,0,1,4.0,25.0,1.0,20181013034234.0,11077.0
3,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,,,,,6,24,,26,22,,31,17,,2,3,,3,5,70.8,88.6,73.9,,105,135,0,1,4.0,17.0,1.0,20181013034242.0,11095.0
4,,,4.0,-29.5,0.8333333333333334,29.5,0.8333333333333334,,,,,6,24,,26,22,,31,17,,2,3,,3,5,70.8,88.6,73.9,,105,135,0,1,4.0,16.0,1.0,20181013034242.0,21077.0
5,,,4.0,-30.5,0.8333333333333334,30.5,0.8333333333333334,,^,,,6,24,23.0,26,22,,31,17,,2,3,,3,5,70.8,88.6,73.9,,105,137,0,1,4.0,11.0,1.0,20181013034248.0,21074^11077
6,,,4.0,-30.5,0.8333333333333334,30.5,0.8333333333333334,,,,,6,24,23.0,26,22,,31,17,,2,3,,3,5,70.8,88.6,73.9,,105,137,0,1,4.0,2.0,1.0,20181013034257.0,11077.0
7,,,4.0,-30.5,0.8,30.5,0.8695652173913043,,,,,6,24,23.0,26,22,,31,17,,2,3,,3,5,70.8,88.6,73.9,,105,137,0,1,4.0,1.0,0.0,20181013034258.0,11077.0
8,,,4.0,-30.5,0.8,30.5,0.8695652173913043,,^,,,6,24,23.0,26,22,,31,17,,2,3,6.0,3,5,70.8,88.6,73.9,,105,137,0,1,4.0,1.0,0.0,20181013034301.0,21086^11077
9,,,4.0,-30.5,0.9090909090909091,30.5,0.7692307692307693,,1:2,,,6,24,23.0,26,22,,31,17,,2,3,6.0,3,5,70.8,88.6,73.9,,105,137,0,1,4.0,4.0,0.0,20181013034305.0,11078.0
10,,,4.0,-30.5,0.7692307692307693,30.5,0.9090909090909091,,1:2^2:2,,,6,24,23.0,26,22,,31,17,,2,3,6.0,3,5,86.1,88.6,73.9,,105,137,0,1,3.0,58.0,0.0,20181013034317.0,11080^11078
11,,,4.0,-30.5,0.8,30.5,0.8695652173913043,,2:2^,,,6,24,23.0,26,22,32.0,31,17,,2,3,6.0,3,5,86.5,88.6,73.9,,106,137,0,1,3.0,58.0,0.0,20181013034330.0,11079^21077
12,,,4.0,-30.5,0.8,30.5,0.8695652173913043,,,,,6,24,23.0,26,22,32.0,31,17,,2,3,6.0,3,5,86.5,88.6,73.9,,106,137,0,1,3.0,58.0,0.0,20181013034332.0,21077.0
13,,,4.0,-30.5,0.8,30.5,0.8695652173913043,,,,,6,24,23.0,26,22,32.0,31,17,,2,3,6.0,3,5,86.5,88.6,73.9,,106,137,0,1,3.0,58.0,1.0,20181013034335.0,21077.0
14,,,4.0,-30.5,0.8,30.5,0.8695652173913043,,,,,6,24,23.0,26,22,32.0,31,17,,2,3,6.0,3,5,86.5,88.6,73.9,,106,137,0,1,3.0,58.0,1.0,20181013034340.0,21077.0
15,,,4.0,-30.5,0.8,30.5,0.8695652173913043,,,,,6,24,23.0,26,22,32.0,31,17,,2,3,6.0,3,5,86.5,88.6,73.9,,106,137,0,1,3.0,47.0,0.0,20181013034340.0,21077.0
