,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-5.5,0.8333333333333334,5.5,0.8333333333333334,173.5,0.8,173.5,0.8695652173913043,,,,2.0,8,19.0,14.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,62.0,0,1,2.0,45.0,0,20181012181958,21080^21078,0.2857142857142857,2.5
1,,,3.0,-5.5,0.8333333333333334,5.5,0.8333333333333334,173.5,0.8,173.5,0.8695652173913043,,,,2.0,8,19.0,14.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,62.0,0,1,2.0,45.0,0.0,20181012181958,21080^21078,0.2857142857142857,2.5
2,,,3.0,-5.5,0.8333333333333334,5.5,0.8333333333333334,173.5,0.8,173.5,0.8695652173913043,,,,2.0,8,19.0,14.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,62.0,0,1,2.0,45.0,1.0,20181012182015.0,21080^21078,0.2857142857142857,2.5
3,,,3.0,-5.5,0.8333333333333334,5.5,0.8333333333333334,173.5,0.8,173.5,0.8695652173913043,,,,2.0,8,19.0,14.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,62.0,0,1,2.0,36.0,1.0,20181012182023.0,21080^21078,0.2857142857142857,2.5
4,,,3.0,-6.5,0.8,6.5,0.8695652173913043,173.5,0.8,173.5,0.8695652173913043,,,,2.0,8,19.0,14.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,62.0,0,1,2.0,36.0,1.0,20181012182023.0,21077.0,0.21052631578947367,3.25
5,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,173.5,0.8695652173913043,173.5,0.8,,^,,2.0,8,19.0,15.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,65.0,0,1,2.0,19.0,1.0,20181012182039.0,21074^11077,0.16666666666666666,3.5
6,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,173.5,0.8695652173913043,173.5,0.8,,,,2.0,8,19.0,15.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,65.0,0,1,2.0,20.0,1.0,20181012182039.0,11077.0,0.16666666666666666,3.5
7,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,173.5,0.8333333333333334,173.5,0.8333333333333334,,,,2.0,8,19.0,15.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,65.0,0,1,2.0,11.0,1.0,20181012182047.0,11077.0,0.16666666666666666,3.5
8,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,172.5,0.8333333333333334,172.5,0.8333333333333334,,,,2.0,8,19.0,15.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,65.0,0,1,2.0,3.0,1.0,20181012182056.0,11077.0,0.16666666666666666,3.5
9,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,172.5,0.8333333333333334,172.5,0.8333333333333334,,,,2.0,8,19.0,15.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,65.0,0,1,2.0,3.0,1.0,20181012182056.0,11094.0,0.16666666666666666,3.5
10,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,174.5,0.8,174.5,0.8695652173913043,,^,,2.0,8,19.0,16.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,56.0,1.0,20181012182103.0,21074^11077,0.10526315789473684,5.25
11,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,174.5,0.8,174.5,0.8695652173913043,,^,,2.0,8,19.0,16.0,13.0,10.0,2.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,56.0,0.0,20181012182103.0,21074^11077,0.10526315789473684,5.25
12,44.0,5.0,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,174.5,0.8,174.5,0.8695652173913043,,^,,2.0,8,19.0,16.0,13.0,10.0,1.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,56.0,0.0,20181012182109.0,11081.0,0.10526315789473684,5.25
13,44.0,5.0,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,174.5,0.8,174.5,0.8695652173913043,,^,,2.0,8,19.0,16.0,13.0,10.0,1.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,56.0,1.0,20181012182109.0,11081.0,0.10526315789473684,5.25
14,44.0,5.0,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,173.5,0.8333333333333334,173.5,0.8333333333333334,,^,,2.0,8,19.0,16.0,13.0,10.0,1.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,47.0,1.0,20181012182300.0,11081.0,0.1,5.5
15,44.0,5.0,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,172.5,0.9090909090909091,172.5,0.7692307692307693,,^,,2.0,8,19.0,16.0,13.0,10.0,1.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,39.0,1.0,20181012182308.0,11081.0,0.1,5.5
16,44.0,5.0,3.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,172.5,0.8333333333333334,172.5,0.8333333333333334,,^,,2.0,8,19.0,16.0,13.0,10.0,1.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,34.0,1.0,20181012182313.0,11081.0,0.07142857142857142,6.5
17,44.0,5.0,3.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,172.5,0.8333333333333334,172.5,0.8333333333333334,,^,,2.0,8,19.0,16.0,13.0,10.0,1.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,34.0,1.0,20181012182313.0,21077.0,0.07142857142857142,6.5
18,44.0,5.0,3.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,172.5,0.8333333333333334,172.5,0.8333333333333334,,^,,2.0,8,19.0,16.0,13.0,10.0,1.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,31.0,0.0,20181012182316.0,21077.0,0.07142857142857142,6.5
19,44.0,5.0,3.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,172.5,0.8,172.5,0.8695652173913043,,^,,2.0,8,19.0,16.0,13.0,10.0,1.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,31.0,0.0,20181012182317.0,21077.0,0.07142857142857142,6.5
20,44.0,5.0,3.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,172.5,0.8,172.5,0.8695652173913043,,^,,2.0,8,19.0,16.0,13.0,10.0,1.0,2,5.0,4.0,68.4,71.4,57,67.0,0,1,1.0,31.0,1.0,20181012182352.0,21077.0,0.07142857142857142,6.5
