,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-25.5,0.0,25.5,0.0,,,,5,11,,16,19,,12,13,1,4,,7,6,,70.6,72.2,59,84,0,1,2.0,36.0,0,20181012194651,21086
1,4.0,-24.5,0.0,24.5,0.0,,1:2,,5,11,,16,19,,12,13,1,4,,7,6,,70.6,72.2,59,84,0,1,2.0,36.0,0,20181012194717.0,11078.0
2,4.0,-24.5,0.0,24.5,0.0,,^1:2,,5,11,,16,19,,12,13,1,4,7.0,7,6,66.7,70.6,72.2,59,84,0,1,2.0,36.0,0,20181012194717.0,21086^11078
3,4.0,-26.5,0.0,26.5,0.0,,2:2^,,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,59,84,0,1,2.0,36.0,1.0,20181012194737.0,11080^21077
4,4.0,-26.5,0.0,26.5,0.0,,2:2^,,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,59,84,0,1,2.0,36.0,1.0,20181012194738.0,11080^21077
5,4.0,-25.5,0.0,25.5,0.0,,,,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,59,84,0,1,2.0,35.0,1.0,20181012194739.0,11077.0
6,4.0,-25.5,0.0,25.5,0.0,,,,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,59,84,0,1,2.0,26.0,1.0,20181012194747.0,11077.0
7,4.0,-26.5,0.0,26.5,0.0,,,,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,59,84,0,1,2.0,20.0,1.0,20181012194754.0,21077.0
8,4.0,-26.5,0.0,26.5,0.0,,,,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,59,84,0,1,2.0,11.0,1.0,20181012194802.0,21077.0
9,4.0,-25.5,0.0,25.5,0.0,,,,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,59,84,0,1,2.0,5.0,1.0,20181012194809.0,11077.0
10,4.0,-25.5,0.0,25.5,0.0,1.0,,,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,59,84,0,1,1.0,59.0,0.0,20181012194815.0,11077.0
11,4.0,-25.5,0.0,25.5,0.0,1.0,,,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,59,84,0,1,1.0,59.0,1.0,20181012194843.0,11077.0
12,4.0,-25.5,0.0,25.5,0.0,1.0,,,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,59,84,0,1,1.0,50.0,1.0,20181012194851.0,11077.0
13,4.0,-23.5,0.0,23.5,0.0,1.0,^,6.0,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,62,84,0,1,1.0,48.0,1.0,20181012194854.0,11075^21077
14,4.0,-23.5,0.0,23.5,0.0,1.0,^,6.0,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,62,84,0,1,1.0,39.0,1.0,20181012194854.0,11075^21077
15,4.0,-25.5,0.0,25.5,0.0,1.0,^,12.0,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,62,87,0,1,1.0,37.0,1.0,20181012194904.0,21075^11077
16,4.0,-24.5,0.0,24.5,0.0,1.0,,12.0,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,62,87,0,1,1.0,32.0,1.0,20181012194909.0,11077.0
17,4.0,-24.5,0.0,24.5,0.0,1.0,,12.0,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,62,87,0,1,1.0,26.0,0.0,20181012194915.0,11077.0
18,4.0,-24.5,0.0,24.5,0.0,1.0,,12.0,5,11,,16,19,,12,13,1,4,7.0,7,6,63.2,70.6,72.2,62,87,0,1,1.0,31.0,0.0,20181012194919.0,11077.0
