,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,,,,8,5,,20,19,,10,8,,3,1,,4,3,,76.9,57.1,74,63,0,1,2.0,38.0,0,20181012203258,21086
1,,,4.0,10.5,0.7692307692307693,-10.5,0.9090909090909091,,,1.0,8,5,,20,19,,10,8,,3,1,4.0,4,3,,76.9,57.1,74,63,0,1,2.0,38.0,0,20181012203311.0,21086
2,,,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,,1:2,1.0,8,5,,20,19,,10,8,,3,1,4.0,4,3,,76.9,57.1,74,63,0,1,2.0,38.0,0,20181012203312.0,11078.0
3,,,4.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,6.0,1:2,1.0,8,5,,20,19,,10,8,,3,1,4.0,4,3,,76.9,57.1,74,63,0,1,2.0,38.0,0,20181012203313.0,11078.0
4,,,4.0,9.5,0.9090909090909091,-9.5,0.7692307692307693,10.0,1:2^2:2,1.0,8,5,,20,19,,10,8,,3,1,4.0,4,3,71.4,76.9,57.1,74,63,0,1,2.0,38.0,0,20181012203324.0,11080^11078
5,,,4.0,10.5,0.9090909090909091,-10.5,0.7692307692307693,9.0,1:2^2:2,1.0,8,5,,20,19,,10,8,,3,1,4.0,4,3,71.4,76.9,57.1,74,63,0,1,2.0,38.0,0,20181012203331.0,11080^11078
6,,,4.0,10.5,0.9090909090909091,-10.5,0.7692307692307693,9.0,1:2^2:2,1.0,8,5,,20,19,,10,8,,3,1,4.0,4,3,71.4,76.9,57.1,74,63,0,1,2.0,38.0,0,20181012203338.0,11080^11078
7,,,4.0,11.5,0.7692307692307693,-11.5,0.9090909090909091,6.0,2:2,1.0,8,5,,20,19,11.0,10,8,,3,1,4.0,4,3,73.3,76.9,57.1,75,63,0,1,2.0,38.0,0,20181012203341.0,11079.0
8,,,4.0,11.5,0.7692307692307693,-11.5,0.9090909090909091,6.0,,1.0,8,5,,20,19,11.0,10,8,,3,1,4.0,4,3,73.3,76.9,57.1,75,63,0,1,2.0,38.0,0,20181012203345.0,11077.0
9,,,4.0,11.5,0.7692307692307693,-11.5,0.9090909090909091,6.0,,1.0,8,5,,20,19,11.0,10,8,,3,1,4.0,4,3,73.3,76.9,57.1,75,63,0,1,2.0,38.0,1.0,20181012203346.0,11077.0
10,,,4.0,11.5,0.7692307692307693,-11.5,0.9090909090909091,6.0,,1.0,8,5,,20,19,11.0,10,8,,3,1,4.0,4,3,73.3,76.9,57.1,75,63,0,1,2.0,34.0,1.0,20181012203348.0,11077.0
11,,,4.0,11.5,0.7692307692307693,-11.5,0.9090909090909091,6.0,,1.0,8,5,,20,19,11.0,10,8,,3,1,4.0,4,3,73.3,76.9,57.1,75,63,0,1,2.0,27.0,1.0,20181012203354.0,11077.0
12,,,4.0,11.5,0.7692307692307693,-11.5,0.9090909090909091,6.0,,1.0,8,5,,20,19,11.0,10,8,,3,1,4.0,4,3,73.3,76.9,57.1,75,63,0,1,2.0,26.0,1.0,20181012203355.0,11077.0
13,,,4.0,11.5,0.8,-11.5,0.8695652173913043,6.0,,1.0,8,5,,20,19,11.0,10,8,,3,1,4.0,4,3,73.3,76.9,57.1,75,63,0,1,2.0,24.0,1.0,20181012203357.0,11077.0
