,AM,AS,ED,LM,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,10,16,28,23,,27,22,,-1,3,,4,6,,87.1,81.5,113,116,0,1,0,9.0,0,20181013052140,11081
1,,,,,,10,16,28,23,,27,22,,-1,3,,4,6,,87.1,81.5,113,116,0,1,0,9.0,0,20181013052315.0,11077.0
2,,,,,,10,16,28,23,,27,22,,-1,3,,4,6,,87.1,81.5,113,116,0,1,0,9.0,1.0,20181013052315.0,11077.0
3,,,,,,10,16,28,23,,27,22,,-1,3,,4,6,,87.1,81.5,113,116,0,1,0,5.0,0.0,20181013052318.0,11077.0
4,,,,,^,10,16,28,23,,27,22,,-1,3,7.0,4,6,,87.1,81.5,113,116,0,1,0,5.0,0.0,20181013052323.0,21086^11077
5,,,,2.0,1:2,10,16,28,23,,27,22,,-1,3,7.0,4,6,,87.1,81.5,113,116,0,1,0,5.0,0.0,20181013052326.0,11078.0
6,,,,2.0,1:2^2:2,10,16,28,23,28.0,27,22,,-1,3,7.0,4,6,87.5,87.1,81.5,114,116,0,1,0,5.0,0.0,20181013052340.0,11079^11078
7,,,,1.0,2:2^,10,16,28,23,29.0,27,22,,-1,3,7.0,4,6,87.9,87.1,81.5,115,116,0,1,0,5.0,0.0,20181013052352.0,11079^21077
8,,,,1.0,,10,16,28,23,29.0,27,22,,-1,3,7.0,4,6,87.9,87.1,81.5,115,116,0,1,0,5.0,0.0,20181013052353.0,21077.0
9,,,,1.0,,10,16,28,23,29.0,27,22,,-1,3,7.0,4,6,87.9,87.1,81.5,115,116,0,1,0,3.0,0.0,20181013052358.0,21077.0
10,44.0,5.0,,2.0,,10,16,28,23,29.0,27,22,2.0,-1,3,7.0,4,6,87.9,87.1,81.5,115,116,0,1,0,7.0,0.0,20181013052359.0,21081.0
11,,,,2.0,,10,16,28,23,29.0,27,22,2.0,-1,3,7.0,4,6,87.9,87.1,81.5,115,116,0,1,0,7.0,0.0,20181013052527.0,21077.0
12,,,,2.0,,10,16,28,23,29.0,27,22,2.0,-1,3,7.0,4,6,87.9,87.1,81.5,115,116,0,1,0,7.0,1.0,20181013052527.0,21077.0
13,,,,1.0,,10,16,28,23,29.0,27,22,2.0,-1,3,7.0,4,6,87.9,87.1,81.5,115,116,0,1,0,5.0,0.0,20181013052529.0,21077.0
14,,,,1.0,^,10,16,28,23,29.0,27,22,2.0,-1,3,5.0,4,6,87.9,87.1,81.5,115,116,0,1,0,5.0,0.0,20181013052530.0,11086^21077
15,,,,1.0,^,10,16,28,23,29.0,27,22,2.0,-1,3,5.0,4,6,87.9,87.1,81.5,115,116,0,1,0,5.0,1.0,20181013052550.0,11086^21077
16,,,,1.0,^,10,16,28,23,29.0,27,22,2.0,-1,3,5.0,4,6,87.9,87.1,81.5,115,116,0,1,0,2.0,0.0,20181013052553.0,11086^21077
17,,,,1.0,^,10,16,28,23,29.0,27,22,2.0,-1,3,6.0,4,6,87.9,87.1,81.5,115,116,0,1,0,2.0,0.0,20181013052556.0,11086^21077
18,,,,2.0,1:2,10,16,28,23,29.0,27,22,2.0,-1,3,6.0,4,6,87.9,87.1,81.5,115,116,0,1,0,2.0,0.0,20181013052558.0,21078.0
19,,,,2.0,1:2^2:2,10,16,28,23,23.0,27,22,2.0,-1,3,6.0,4,6,82.1,87.1,81.5,115,117,0,1,0,2.0,0.0,20181013052615.0,21079^21078
20,,,,1.0,2:2^,10,16,28,23,24.0,27,22,2.0,-1,3,6.0,4,6,82.8,87.1,81.5,115,118,0,1,0,2.0,0.0,20181013052640.0,21079^11077
21,,,,1.0,,10,16,28,23,24.0,27,22,2.0,-1,3,6.0,4,6,82.8,87.1,81.5,115,118,0,1,0,2.0,1.0,20181013052647.0,11077.0
22,,,,1.0,,10,16,28,23,24.0,27,22,2.0,-1,3,6.0,4,6,82.8,87.1,81.5,115,118,0,1,0,0.0,0.0,20181013052650.0,11077.0
23,,,,1.0,,10,16,28,23,24.0,27,22,2.0,-1,3,6.0,4,6,82.8,87.1,81.5,115,118,0,1,0,0.0,0.0,20181013052652.0,11094.0
24,,,,1.0,,10,16,28,23,24.0,27,22,2.0,-1,3,6.0,4,6,82.8,87.1,81.5,115,118,0,1,0,0.0,0.0,20181013052653.0,21077.0
25,,,,1.0,,10,16,28,23,24.0,27,22,2.0,-1,3,6.0,4,6,82.8,87.1,81.5,115,118,0,1,0,0.0,0.0,20181013052658.0,21077.0
26,,,,1.0,,10,16,28,23,24.0,27,22,2.0,-1,3,6.0,4,6,82.8,87.1,81.5,115,118,0,1,0,0.0,0.0,20181013052658.0,1084.0
