,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,1.0,-30.5,0.8333333333333334,30.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,,,,1.0,2.0,3.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,50.0,66.7,14,20,0,1,0.0,45.0,1,20181012182010,11077
1,,,,1.0,-29.5,0.8333333333333334,29.5,0.8333333333333334,159.5,0.8695652173913043,159.5,0.8,,,^,,1.0,2.0,4.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,50.0,66.7,16,20,0,1,0.0,44.0,1,20181012182012.0,11074^21077
2,,,,1.0,-29.5,0.8333333333333334,29.5,0.8333333333333334,159.5,0.8695652173913043,159.5,0.8,,,,,1.0,2.0,4.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,50.0,66.7,16,20,0,1,0.0,43.0,1,20181012182013.0,21077.0
3,,,,1.0,-29.5,0.8333333333333334,29.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,,,,,1.0,2.0,4.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,50.0,66.7,16,20,0,1,0.0,34.0,1,20181012182021.0,21077.0
4,,,,1.0,-29.5,0.8333333333333334,29.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,,,,,1.0,2.0,4.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,50.0,66.7,16,20,0,1,0.0,35.0,1,20181012182021.0,11077.0
5,,,,1.0,-29.5,0.8695652173913043,29.5,0.8,158.5,0.8333333333333334,158.5,0.8333333333333334,,,,,1.0,2.0,4.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,50.0,66.7,16,20,0,1,0.0,26.0,1,20181012182029.0,11077.0
6,,,,1.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,,,^,,1.0,2.0,5.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,50.0,66.7,18,20,0,1,0.0,24.0,1,20181012182032.0,11074^21077
7,,,,1.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,,,,,1.0,2.0,5.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,50.0,66.7,18,20,0,1,0.0,23.0,1,20181012182033.0,21077.0
8,,,,1.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,160.5,0.8,160.5,0.8695652173913043,,,,,1.0,2.0,5.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,50.0,66.7,18,20,0,1,0.0,14.0,1,20181012182041.0,21077.0
9,,,,1.0,-28.5,0.8695652173913043,28.5,0.8,159.5,0.8333333333333334,159.5,0.8333333333333334,,,,,1.0,2.0,5.0,4.0,5.0,6.0,5.0,5.0,8.0,8.0,50.0,66.7,18,20,0,1,0.0,6.0,1,20181012182049.0,21077.0
