,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,2.0,12.0,1,20181013062408,21074^11077
1,,,4.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,2.0,9.0,0.0,20181013062411.0,21074^11077
2,44.0,5.0,4.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,2.0,9.0,1.0,20181013062547.0,11081.0
3,,,4.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,2.0,8.0,1.0,20181013062547.0,11077.0
4,,,4.0,-6.5,0.8,6.5,0.8695652173913043,,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,2.0,4.0,1.0,20181013062552.0,11077.0
5,,,4.0,-6.5,0.0,6.5,0.0,3.0,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,1.0,55.0,1.0,20181013062600.0,11077.0
6,,,4.0,-6.5,0.0,6.5,0.0,3.0,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,1.0,52.0,1.0,20181013062604.0,11077.0
7,,,4.0,-6.5,0.0,6.5,0.0,3.0,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,1.0,48.0,1.0,20181013062608.0,11077.0
8,,,4.0,-6.5,0.0,6.5,0.0,3.0,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,1.0,40.0,1.0,20181013062616.0,11077.0
9,,,4.0,-6.5,0.0,6.5,0.0,3.0,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,1.0,35.0,1.0,20181013062620.0,11077.0
10,,,4.0,-6.5,0.0,6.5,0.0,3.0,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,1.0,32.0,1.0,20181013062623.0,11077.0
11,,,4.0,-7.5,0.0,7.5,0.0,3.0,,,10,5,19,31,,16,14,4,5,,2,4,,88.9,93.3,83,91,0,1,1.0,26.0,1.0,20181013062629.0,21077.0
12,,,4.0,-7.5,0.0,7.5,0.0,3.0,^,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,1.0,23.0,0.0,20181013062632.0,11086^21077
13,,,4.0,-7.5,0.0,7.5,0.0,3.0,^,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,1.0,28.0,0.0,20181013062637.0,11086^21077
14,,,4.0,-7.5,0.0,7.5,0.0,3.0,^,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,1.0,28.0,1.0,20181013062658.0,11086^21077
15,,,4.0,-7.5,0.0,7.5,0.0,3.0,^,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,1.0,20.0,1.0,20181013062707.0,11086^21077
16,,,4.0,-7.5,0.0,7.5,0.0,3.0,^,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,1.0,19.0,1.0,20181013062708.0,11086^21077
17,,,4.0,-7.5,0.0,7.5,0.0,3.0,^,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,1.0,18.0,1.0,20181013062708.0,11086^21077
18,,,4.0,-7.5,0.0,7.5,0.0,3.0,^,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,1.0,13.0,1.0,20181013062709.0,11086^21077
19,,,4.0,-8.5,0.0,8.5,0.0,3.0,^,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,1.0,12.0,1.0,20181013062710.0,11086^21077
20,,,4.0,-8.5,0.0,8.5,0.0,3.0,^,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,1.0,4.0,1.0,20181013062718.0,11086^21077
21,,,4.0,-7.5,0.0,7.5,0.0,3.0,,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,1.0,2.0,1.0,20181013062719.0,11077.0
22,,,4.0,-7.5,0.0,7.5,0.0,3.0,,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,0.0,57.0,1.0,20181013062725.0,11077.0
23,,,4.0,-8.5,0.0,8.5,0.0,1.0,,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,0.0,53.0,1.0,20181013062729.0,21077.0
24,,,4.0,-8.5,0.0,8.5,0.0,1.0,,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,0.0,48.0,1.0,20181013062734.0,21077.0
25,,,4.0,-8.5,0.0,8.5,0.0,1.0,,,10,5,19,31,,16,14,4,5,3.0,2,4,,88.9,93.3,83,91,0,1,0.0,44.0,0.0,20181013062737.0,21077.0
26,,,4.0,-8.5,0.0,8.5,0.0,1.0,^,1.0,10,5,19,31,,16,14,4,5,4.0,2,4,,88.9,93.3,83,91,0,1,0.0,49.0,0.0,20181013062747.0,11086^21077
27,,,4.0,-8.5,0.0,8.5,0.0,1.0,^,1.0,10,5,19,31,,16,14,4,5,4.0,2,4,,88.9,93.3,83,91,0,1,0.0,49.0,1.0,20181013062805.0,11086^21077
28,,,4.0,-8.5,0.0,8.5,0.0,1.0,^,1.0,10,5,19,31,,16,14,4,5,4.0,2,4,,88.9,93.3,83,91,0,1,0.0,41.0,1.0,20181013062808.0,11086^21077
29,,,4.0,-8.5,0.0,8.5,0.0,1.0,^,1.0,10,5,19,31,,16,14,4,5,4.0,2,4,,88.9,93.3,83,91,0,1,0.0,40.0,1.0,20181013062809.0,11086^21077
30,,,4.0,-8.5,0.0,8.5,0.0,1.0,^,1.0,10,5,19,31,,16,14,4,5,4.0,2,4,,88.9,93.3,83,91,0,1,0.0,39.0,1.0,20181013062810.0,11086^21077
31,,,4.0,-8.5,0.0,8.5,0.0,1.0,^,1.0,10,5,19,31,,16,14,4,5,4.0,2,4,,88.9,93.3,83,91,0,1,0.0,33.0,1.0,20181013062816.0,11086^21077
32,,,4.0,-8.5,0.0,8.5,0.0,1.0,^,1.0,10,5,19,31,,16,14,4,5,4.0,2,4,,88.9,93.3,83,91,0,1,0.0,28.0,0.0,20181013062821.0,11086^21077
33,,,4.0,-7.5,0.0,7.5,0.0,1.0,,1.0,10,5,19,31,,16,14,4,5,4.0,2,4,,88.9,93.3,83,91,0,1,0.0,28.0,1.0,20181013062832.0,11077.0
34,,,4.0,-7.5,0.0,7.5,0.0,1.0,,1.0,10,5,19,31,,16,14,4,5,4.0,2,4,,88.9,93.3,83,91,0,1,0.0,26.0,1.0,20181013062834.0,11077.0
