,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-5.5,0.8695652173913043,5.5,0.8,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,56.0,0,20181013041935,11077
1,,,4.0,-5.5,0.8695652173913043,5.5,0.8,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,56.0,1.0,20181013042012.0,11077
2,,,4.0,-5.5,0.8695652173913043,5.5,0.8,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,47.0,1.0,20181013042020.0,11077
3,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,39.0,1.0,20181013042029.0,11077
4,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,31.0,1.0,20181013042037.0,11077
5,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,31.0,1.0,20181013042037.0,11077.0
6,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,24.0,1.0,20181013042045.0,11095.0
7,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,22.0,0.0,20181013042047.0,11095.0
8,,,4.0,-6.5,1.0,6.5,0.7142857142857143,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,22.0,0.0,20181013042054.0,21077.0
9,,,4.0,-6.5,1.0,6.5,0.7142857142857143,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,22.0,1.0,20181013042100.0,21077.0
10,,,4.0,-6.5,1.0,6.5,0.7142857142857143,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,13.0,1.0,20181013042109.0,21094.0
11,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,2.0,4.0,1.0,20181013042118.0,11077.0
12,,,4.0,-5.5,0.0,5.5,0.0,3.0,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,46,51,0,1,1.0,56.0,1.0,20181013042126.0,11077.0
13,,,4.0,-5.5,0.0,5.5,0.0,3.0,,2,3,,17,15,,6,12,,2,3,,3,5,,54.5,75.0,48,51,0,1,1.0,55.0,1.0,20181013042127.0,11077.0
14,,,4.0,-5.5,0.0,5.5,0.0,3.0,,2,3,18.0,17,15,,6,12,,2,3,,3,5,,54.5,75.0,48,51,0,1,1.0,55.0,1.0,20181013042127.0,21077.0
15,,,4.0,-5.5,0.0,5.5,0.0,3.0,,2,3,18.0,17,15,,6,12,,2,3,,3,5,,54.5,75.0,48,51,0,1,1.0,46.0,1.0,20181013042136.0,21077.0
16,,,4.0,-5.5,0.0,5.5,0.0,3.0,,2,3,18.0,17,15,,6,12,,2,3,,3,5,,54.5,75.0,48,51,0,1,1.0,44.0,1.0,20181013042139.0,21095.0
17,,,4.0,-5.5,0.0,5.5,0.0,3.0,,2,3,18.0,17,15,,6,12,,2,3,,3,5,,54.5,75.0,48,51,0,1,1.0,42.0,0.0,20181013042140.0,21095.0
18,,,4.0,-5.5,0.0,5.5,0.0,3.0,,2,3,18.0,17,15,,6,12,,2,3,,3,5,,54.5,75.0,48,51,0,1,1.0,42.0,1.0,20181013042225.0,21095.0
19,,,4.0,-3.5,0.0,3.5,0.0,3.0,,2,3,18.0,17,15,,6,12,,2,3,,3,5,,54.5,75.0,48,51,0,1,1.0,35.0,1.0,20181013042231.0,11077.0
20,,,4.0,-3.5,0.0,3.5,0.0,3.0,,2,3,18.0,17,15,,6,12,,2,3,,3,5,,54.5,75.0,48,51,0,1,1.0,26.0,1.0,20181013042240.0,11077.0
21,,,4.0,-3.5,0.0,3.5,0.0,3.0,,2,3,18.0,17,15,,6,12,,2,3,,3,5,,54.5,75.0,48,51,0,1,1.0,19.0,1.0,20181013042248.0,11094.0
