,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,8.5,0.0,-8.5,0.0,,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,1.0,50.0,1,20181013022016,21079
1,,,4.0,8.5,0.0,-8.5,0.0,,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,1.0,41.0,1,20181013022024.0,21079
2,,,4.0,8.5,0.0,-8.5,0.0,,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,1.0,33.0,1,20181013022033.0,21079
3,,,4.0,8.5,0.0,-8.5,0.0,2.0,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,1.0,24.0,1,20181013022041.0,21079
4,,,4.0,8.5,0.0,-8.5,0.0,2.0,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,1.0,24.0,0.0,20181013022042.0,21079
5,,,4.0,7.5,0.0,-7.5,0.0,3.0,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,1.0,24.0,0.0,20181013022045.0,21079
6,,,4.0,7.5,0.0,-7.5,0.0,3.0,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,1.0,24.0,1.0,20181013022049.0,21079
7,,,4.0,7.5,0.0,-7.5,0.0,3.0,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,1.0,15.0,1.0,20181013022058.0,21079
8,,,4.0,8.5,0.0,-8.5,0.0,1.0,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,1.0,12.0,1.0,20181013022101.0,11077.0
9,,,4.0,8.5,0.0,-8.5,0.0,1.0,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,1.0,3.0,1.0,20181013022109.0,11077.0
10,,,4.0,8.5,0.0,-8.5,0.0,1.0,,,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,82,74,0,1,0.0,55.0,1.0,20181013022118.0,11077.0
11,,,4.0,10.5,0.0,-10.5,0.0,1.0,^,7.0,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,85,74,0,1,0.0,51.0,1.0,20181013022122.0,11075^21077
12,,,4.0,10.5,0.0,-10.5,0.0,1.0,,7.0,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,85,74,0,1,0.0,47.0,1.0,20181013022126.0,21077.0
13,,,4.0,10.5,0.0,-10.5,0.0,1.0,,7.0,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,85,74,0,1,0.0,46.0,1.0,20181013022129.0,21077.0
14,,,4.0,10.5,0.0,-10.5,0.0,1.0,,7.0,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,85,74,0,1,0.0,38.0,0.0,20181013022137.0,21077.0
15,,,4.0,10.5,0.0,-10.5,0.0,1.0,,7.0,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,85,74,0,1,0.0,38.0,0.0,20181013022139.0,11086.0
16,,,4.0,10.5,0.0,-10.5,0.0,1.0,,7.0,6,10,,22,16,,20,12,,2,1,,5,11,,76.9,70.6,85,74,0,1,0.0,38.0,0.0,20181013022140.0,11086.0
