,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,9.5,0.8695652173913043,-9.5,0.8,144.5,0.7692307692307693,144.5,0.9090909090909091,,,,6.0,10.0,19.0,8.0,4.0,5.0,3.0,3.0,2.0,1.0,66.7,83.3,61,51,0,1,8.0,6.0,0,20181013022017,21077,7.0,0.0625
1,,,4.0,9.5,0.8695652173913043,-9.5,0.8,144.5,0.7692307692307693,144.5,0.9090909090909091,,,,6.0,10.0,19.0,8.0,4.0,5.0,3.0,3.0,2.0,1.0,66.7,83.3,61,51,0,1,8.0,5.0,0,20181013022017,21077,7.0,0.0625
2,,,4.0,9.5,0.8695652173913043,-9.5,0.8,143.5,0.9090909090909091,143.5,0.7692307692307693,,,,6.0,10.0,19.0,8.0,4.0,5.0,3.0,3.0,2.0,1.0,66.7,83.3,61,51,0,1,8.0,5.0,0,20181013022032.0,21077,7.0,0.0625
3,,,4.0,9.5,0.8333333333333334,-9.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,6.0,10.0,19.0,8.0,4.0,5.0,3.0,3.0,2.0,1.0,66.7,83.3,61,51,0,1,7.0,56.0,0,20181013022040.0,21077,7.0,0.0625
4,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,^,,6.0,10.0,19.0,9.0,4.0,5.0,3.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,56.0,0,20181013022041.0,21074^11077,6.0,0.08333333333333333
5,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,^,,6.0,10.0,19.0,9.0,4.0,5.0,3.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,54.0,0.0,20181013022042.0,21074^11077,6.0,0.08333333333333333
6,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,^,,6.0,10.0,19.0,9.0,4.0,5.0,3.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,54.0,0.0,20181013022043.0,21074^11077,6.0,0.08333333333333333
7,44.0,5.0,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,,,6.0,10.0,19.0,9.0,4.0,5.0,2.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,55.0,0.0,20181013022044.0,11081.0,6.0,0.08333333333333333
8,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,,,6.0,10.0,19.0,9.0,4.0,5.0,2.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,55.0,1.0,20181013022252.0,11077.0,6.0,0.08333333333333333
9,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,,,,6.0,10.0,19.0,9.0,4.0,5.0,2.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,55.0,1.0,20181013022253.0,11077.0,6.0,0.08333333333333333
10,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,144.5,0.9090909090909091,144.5,0.7692307692307693,,,,6.0,10.0,19.0,9.0,4.0,5.0,2.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,46.0,1.0,20181013022301.0,11077.0,6.0,0.08333333333333333
11,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,144.5,0.8333333333333334,144.5,0.8333333333333334,,,,6.0,10.0,19.0,9.0,4.0,5.0,2.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,38.0,1.0,20181013022310.0,11077.0,6.0,0.08333333333333333
12,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,144.5,0.8,144.5,0.8695652173913043,,,,6.0,10.0,19.0,9.0,4.0,5.0,2.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,37.0,0.0,20181013022310.0,11077.0,6.0,0.08333333333333333
13,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,144.5,0.8,144.5,0.8695652173913043,,,,6.0,10.0,19.0,9.0,4.0,5.0,2.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,37.0,0.0,20181013022311.0,11077.0,6.0,0.08333333333333333
14,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,144.5,0.8,144.5,0.8695652173913043,,,,6.0,10.0,19.0,9.0,4.0,5.0,2.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,37.0,1.0,20181013022320.0,11077.0,6.0,0.08333333333333333
15,,,4.0,8.5,0.8333333333333334,-8.5,0.8333333333333334,144.5,0.8,144.5,0.8695652173913043,,,,6.0,10.0,19.0,9.0,4.0,5.0,2.0,3.0,2.0,1.0,66.7,83.3,61,53,0,1,7.0,36.0,1.0,20181013022320.0,11077.0,6.0,0.08333333333333333
