,AM,AS,ED,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,9,2,,12,24,18,13,,1,3,,2,1,75.0,81.2,,69,67,0,1,0,0.0,0,20181017043349,21077
1,,,,,^,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,,69,69,0,1,0,0.0,0,20181017043415.0,21074^11077
2,,,,,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,70,69,0,1,0,0.0,0,20181017043427.0,21077.0
3,,,,,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,69,0,1,0,0.0,0,20181017043438.0,21077.0
4,,,,,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,70,0,1,0,0.0,0,20181017043444.0,11077.0
5,,,,,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,71,0,1,0,0.0,0,20181017043446.0,11077.0
6,,,,,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,71,0,1,0,0.0,0,20181017043455.0,11077.0
7,,,,,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,71,0,1,0,0.0,0,20181017043502.0,11077.0
8,,,,,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,71,0,1,0,0.0,0,20181017043519.0,11077.0
9,,,,,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,71,0,1,0,0.0,0,20181017043605.0,11077.0
10,,,,3.0,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,71,0,1,0,45.0,1.0,20181017043643.0,11077.0
11,,,,3.0,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,71,0,1,0,36.0,1.0,20181017043651.0,11077.0
12,,,,3.0,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,71,0,1,0,35.0,1.0,20181017043653.0,21095.0
13,,,,3.0,,9,2,25.0,12,24,18,13,,1,3,,2,1,75.0,81.2,70.0,69,71,0,1,0,35.0,1.0,20181017043654.0,11077.0
14,,,,3.0,^,9,2,25.0,12,24,18,13,,1,3,2.0,2,1,75.0,81.2,70.0,69,71,0,1,0,31.0,0.0,20181017043657.0,21086^11077
15,44.0,5.0,,3.0,,9,2,25.0,12,24,18,13,0.0,1,3,2.0,2,1,75.0,81.2,70.0,69,71,0,1,0,31.0,0.0,20181017043707.0,11081.0
16,,,,3.0,,9,2,25.0,12,24,18,13,0.0,1,3,2.0,2,1,75.0,81.2,70.0,69,71,0,1,0,31.0,0.0,20181017043914.0,11077.0
17,,,,3.0,,9,2,25.0,12,24,18,13,0.0,1,3,2.0,2,1,75.0,81.2,70.0,69,71,0,1,0,31.0,1.0,20181017043914.0,11077.0
18,,,,2.0,,9,2,25.0,12,24,18,13,0.0,1,3,2.0,2,1,75.0,81.2,70.0,69,71,0,1,0,22.0,1.0,20181017043923.0,11077.0
19,,,,2.0,,9,2,25.0,12,24,18,13,0.0,1,3,2.0,2,1,75.0,81.2,70.0,69,71,0,1,0,17.0,1.0,20181017043928.0,11095.0
20,,,,1.0,,9,2,25.0,12,24,18,13,0.0,1,3,2.0,2,1,75.0,81.2,70.0,69,71,0,1,0,15.0,0.0,20181017043931.0,21077.0
21,,,,2.0,,9,2,25.0,12,24,18,13,0.0,1,3,2.0,2,1,75.0,81.2,70.0,69,71,0,1,0,15.0,0.0,20181017043940.0,11077.0
22,,,,2.0,^,9,2,25.0,12,24,18,13,0.0,1,3,3.0,2,1,75.0,81.2,70.0,69,71,0,1,0,15.0,0.0,20181017043944.0,21086^11077
23,,,,2.0,^,9,2,13.0,12,24,18,13,0.0,1,3,3.0,2,1,75.0,81.2,70.0,71,71,0,1,0,15.0,0.0,20181017044002.0,11074^21077
24,,,,2.0,,9,2,13.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,71,0,1,0,15.0,0.0,20181017044002.0,21077.0
25,,,,2.0,,9,2,13.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,71,0,1,0,15.0,0.0,20181017044205.0,21077.0
26,,,,2.0,,9,2,13.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,71,0,1,0,15.0,1.0,20181017044206.0,21077.0
27,,,,2.0,^,9,2,13.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,71,0,1,0,12.0,0.0,20181017044208.0,11086^21077
28,,,,2.0,^,9,2,13.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,71,0,1,0,12.0,1.0,20181017044227.0,11086^21077
29,,,,2.0,^,9,2,13.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,71,0,1,0,3.0,1.0,20181017044235.0,11086^21077
30,,,,1.0,^,9,2,26.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,73,0,1,0,2.0,1.0,20181017044237.0,21074^11077
31,,,,1.0,,9,2,26.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,73,0,1,0,0.0,0.0,20181017044240.0,11077.0
32,,,,1.0,,9,2,26.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,73,0,1,0,0.0,0.0,20181017044240.0,1084.0
33,,,,1.0,,9,2,26.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,73,0,1,0,0.0,0.0,20181017044322.0,1084.0
34,,,,1.0,,9,2,26.0,12,24,18,13,2.0,1,3,3.0,2,1,75.0,81.2,70.0,71,73,0,1,0,0.0,0.0,20181017044322.0,1084.0
