,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-2.5,0.0,2.5,0.0,,,,5,6,35,33,,15,17,,1,2,,1,3,,68.2,81.0,100,101,0,1,0,46.0,0,20181018022919,11081
1,,,4.0,-2.5,0.0,2.5,0.0,,,,5,6,35,33,,15,17,,1,2,,1,3,,68.2,81.0,100,101,0,1,0,46.0,0,20181018023016.0,21077.0
2,,,4.0,-2.5,0.0,2.5,0.0,,,,5,6,35,33,,15,17,,1,2,,1,3,,68.2,81.0,100,101,0,1,0,46.0,1.0,20181018023016.0,21077.0
3,,,4.0,-2.5,0.0,2.5,0.0,,,,5,6,35,33,,15,17,,1,2,,1,3,,68.2,81.0,100,101,0,1,0,45.0,0.0,20181018023017.0,21077.0
4,,,4.0,-2.5,0.0,2.5,0.0,,,,5,6,35,33,,15,17,,1,2,,1,3,,68.2,81.0,100,101,0,1,0,45.0,1.0,20181018023021.0,21077.0
5,,,4.0,-2.5,0.0,2.5,0.0,,,,5,6,35,33,,15,17,,1,2,,1,3,,68.2,81.0,100,101,0,1,0,36.0,1.0,20181018023030.0,21077.0
6,,,4.0,-2.5,0.0,2.5,0.0,2.0,,,5,6,35,33,,15,17,,1,2,,1,3,,68.2,81.0,100,101,0,1,0,27.0,1.0,20181018023039.0,21077.0
7,,,4.0,-2.5,0.0,2.5,0.0,2.0,,,5,6,35,33,,15,17,,1,2,,1,3,,68.2,81.0,100,101,0,1,0,18.0,1.0,20181018023047.0,21077.0
8,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,5,6,35,33,,15,17,,1,2,,1,3,,68.2,81.0,100,101,0,1,0,13.0,0.0,20181018023054.0,21077.0
9,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,5,6,35,33,,15,17,,1,2,,1,3,,68.2,81.0,100,101,0,1,0,10.0,0.0,20181018023057.0,21077.0
10,44.0,5.0,4.0,-1.5,0.0,1.5,0.0,2.0,,,5,6,35,33,,15,17,1.0,1,2,,1,3,,68.2,81.0,100,101,0,1,0,16.0,0.0,20181018023104.0,21081.0
11,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,5,6,35,33,,15,17,1.0,1,2,,1,3,,68.2,81.0,100,101,0,1,0,16.0,0.0,20181018023217.0,21077.0
12,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,5,6,35,33,,15,17,1.0,1,2,,1,3,,68.2,81.0,100,101,0,1,0,16.0,1.0,20181018023218.0,21077.0
